bund_nr,team,datum,geraet,randtyp_1,randform_1,anfang_dist_1,anfang_azi_1,end_dist_1,end_azi_1,knick_dist_1,knick_azi_1,randtyp_2,randform_2,anfang_dist_2,anfang_azi_2,end_dist_2,end_azi_2,knick_dist_2,knick_azi_2,beart,besttyp,struktur,schlussgrad_schi1,schlussgrad_schi2,mischung,pk1_aufnahme,pk2_aufnahme,pk3_aufnahme,anmerkung
130057,KF,2012-06-19,-9,,,,,,,,,,,,,,,,,1,4,1,1,-9,1,1,1,1,
130058,KF,2012-06-26,-9,,,,,,,,,,,,,,,,,1,8,1,2,-9,1,1,1,1,
130059,KF,2012-07-01,-9,3,1,1589,314,1959,181,-2,-2,,,,,,,,,1,2,5,2,2,2,1,1,1,
130060,KF,2012-07-02,-9,,,,,,,,,,,,,,,,,1,2,1,2,-9,1,1,1,1,
130061,KF,2012-07-02,-9,,,,,,,,,,,,,,,,,1,2,1,2,-9,1,1,1,1,
130062,-9,1970-01-01,-9,,,,,,,,,,,,,,,,,-9,-9,-9,-9,-9,-9,-1,-1,-1,
130063,KF,2012-07-10,-9,,,,,,,,,,,,,,,,,1,2,2,2,6,1,1,1,1,
130064,KF,2012-07-01,-9,3,1,1973,225,1671,321,-2,-2,,,,,,,,,1,2,1,1,-9,1,1,1,1,
130065,-9,1970-01-01,-9,,,,,,,,,,,,,,,,,-9,-9,-9,-9,-9,-9,-1,-1,-1,
130066,-9,1970-01-01,-9,,,,,,,,,,,,,,,,,-9,-9,-9,-9,-9,-9,-1,-1,-1,
130068,KF,2012-07-12,-9,,,,,,,,,,,,,,,,,1,2,1,2,-9,1,1,1,1,
130069,KF,2012-06-07,-9,,,,,,,,,,,,,,,,,1,8,1,2,-9,1,1,1,1,
130070,KF,2012-06-08,-9,,,,,,,,,,,,,,,,,1,8,1,2,-9,1,1,1,1,
130071,KF,2012-05-25,-9,,,,,,,,,,,,,,,,,1,2,2,2,5,2,1,1,1,
130072,KF,2012-06-13,-9,,,,,,,,,,,,,,,,,1,8,6,2,3,2,1,1,1,
130073,KF,2012-05-23,-9,,,,,,,,,,,,,,,,,1,5,1,5,-9,2,2,2,2,
130074,KF,2012-06-13,-9,,,,,,,,,,,,,,,,,1,5,1,1,-9,3,1,1,2,
130075,KF,2012-05-24,-9,,,,,,,,,,,,,,,,,1,8,1,2,-9,1,1,1,2,
130076,KF,2012-06-30,-9,,,,,,,,,,,,,,,,,1,2,2,2,6,2,1,1,1,
130077,KF,2012-07-01,-9,,,,,,,,,,,,,,,,,1,2,1,2,-9,1,1,1,1,
