bund_nr,status
130001,-9
130002,-9
130003,-9
130004,-9
130005,-9
130006,-9
130007,-9
130008,-9
130009,-9
130010,-9
130011,-9
130012,-9
130013,-9
130014,-9
130015,-9
130016,-9
130017,-9
130018,-9
130019,-9
130020,-9
130021,-9
130022,-9
130023,-9
130024,-9
130025,-9
130026,-9
130027,-9
130028,-9
130029,-9
130030,-9
130031,-9
130032,-9
130033,-9
130034,-9
130035,-9
130036,-9
130037,-9
130038,-9
130039,-9
130040,-9
130041,-9
130042,-9
130043,-9
130044,-9
130045,-9
130046,-9
130047,-9
130048,-9
130049,-9
130050,-9
130051,-9
130052,-9
130053,-9
130054,-9
130055,-9
130056,-9
130057,-9
130058,-9
130059,-9
130060,-9
130061,-9
130062,-9
130063,-9
130064,-9
130065,-9
130066,-9
130068,-9
130069,-9
130070,-9
130071,-9
130072,-9
130073,-9
130074,-9
130075,-9
130076,-9
130077,-9
130078,-9
130079,-9
130080,-9
130081,-9
130082,-9
130083,-9
130084,-9
130085,-9
130086,-9
130087,-9
130088,-9
