bund_nr,bnr,hori,azi,kraft,alter,bhd,oberhoehe
130010,bah1,3000,175,,,,
130010,bah2,3000,200,,,,
130010,bah3,3200,380,,,,
130010,ela1,3500,180,,,,
130010,ela2,2300,120,,,,
130010,gki1,2600,370,,,,
130010,gki2,1300,245,,,,
130010,gki3,2700,150,,,,
130010,rbu1,3000,220,,,,
130010,rbu2,2700,265,,,,
130010,rbu3,3000,325,,,,
130013,rbu1,3500,25,,,,
130014,gki1,2200,360,,,,
130014,gki2,1900,140,,,,
130014,gki3,3000,240,,,,
130017,bah1,2400,370,,,,
130017,bah2,2900,315,,,,
130017,bah3,2800,250,,,,
130017,gfi1,2000,350,,,,
130017,gfi2,2600,370,,,,
130017,gfi3,2200,250,,,,
130017,gki1,2000,240,,,,
130017,gki2,2200,340,,,,
130017,gki3,1500,380,,,,
130017,tei1,1600,155,,,,
130017,tei2,2400,30,,,,
130017,tei3,2500,50,,,,
130022,gki1,3200,70,,,,
130022,gki2,1900,175,,,,
130022,gki3,1900,340,,,,
130023,gki1,2300,155,,,,
130023,gki2,2900,250,,,,
130023,gki3,2600,360,,,,
130026,ela1,3000,10,,,,
130026,ela2,5600,45,,,,
130026,gki1,3000,140,,,,
130026,gki2,2600,205,,,,
130026,gki3,2400,250,,,,
130027,gki1,3400,0,,,,
130027,gki2,1400,300,,,,
130027,gki3,2000,150,,,,
130028,gki1,1700,160,,,,
130028,gki2,1000,40,,,,
130028,gki3,1600,340,,,,
130029,gki1,1900,280,,,,
130029,gki2,2000,120,,,,
130029,gki3,2300,380,,,,
130032,gki1,2200,170,,,,
130032,gki2,3200,255,,,,
130032,gki3,2400,370,,,,
130032,rbu1,3100,195,,,,
130032,rbu2,3200,300,,,,
130032,rbu3,3200,360,,,,
130033,gki1,2000,30,,,,
130033,gki2,2000,215,,,,
130033,gki3,2600,345,,,,
130036,gki1,1200,260,,,,
130036,gki2,1400,175,,,,
130036,gki3,1600,0,,,,
130037,gki1,1400,60,,,,
130037,gki2,2200,160,,,,
130037,gki3,2200,275,,,,
130039,gki1,2600,360,,,,
130039,gki2,2000,260,,,,
130039,gki3,1100,150,,,,
130042,gki1,2300,310,,,,
130042,gki2,1200,215,,,,
130042,gki3,2400,0,,,,
130044,gki1,900,0,,,,
130044,gki2,2700,35,,,,
130044,gki3,900,255,,,,
130046,gki1,900,0,,,,
130046,gki2,2700,40,,,,
130046,gki3,900,250,,,,
130047,gki1,2300,30,,,,
130047,gki2,1300,300,,,,
130047,gki3,2600,200,,,,
130048,gki1,3700,50,,,,
130048,gki2,3000,150,,,,
130048,gki3,2000,250,,,,
130050,rbu1,3000,60,,,,
130050,rbu2,3000,5,,,,
130050,rbu3,3000,210,,,,
130051,gki1,2700,50,,,,
130051,gki2,3000,350,,,,
130051,gki3,1500,150,,,,
130052,gki1,2000,100,,,,
130052,gki2,2300,250,,,,
130052,gki3,2500,360,,,,
130056,rbu1,2500,60,,,,
130056,rbu2,3000,125,,,,
130056,rbu3,3200,290,,,,
130057,rbu1,3000,220,,,,
130057,rbu2,3000,20,,,,
130057,rbu3,3000,180,,,,
130057,tei1,3000,40,,,,
130057,tei2,2800,120,,,,
130057,tei3,3000,375,,,,
130059,gki1,1900,360,,,,
130059,gki2,1800,160,,,,
130059,gki3,3000,40,,,,
130060,gki1,3000,270,,,,
130060,gki2,1800,260,,,,
130060,gki3,1900,40,,,,
130061,gki1,2000,360,,,,
130061,gki2,1200,240,,,,
130061,gki3,1300,40,,,,
130064,gki1,1400,0,,,,
130064,gki2,3000,145,,,,
