bund_nr,team,datum,gruendigkeit,aktuellgrundwstand,scheinbgrundwstand,bodentyp,podsoligkeit,anmerkung,team_mbp,datum_mbp,team_mbc,datum_mbc,anmerkung_mbp,anmerkung_mbc
130001,-9,1970-01-01,-9,-9,,-9,-9,,-9,1970-01-01,-9,1970-01-01,,
130002,-9,1970-01-01,-9,-9,,-9,-9,,-9,1970-01-01,-9,1970-01-01,,
130003,-9,1970-01-01,-9,-9,,-9,-9,,-9,1970-01-01,-9,1970-01-01,,
130004,-9,1970-01-01,-9,-9,,-9,-9,,-9,1970-01-01,-9,1970-01-01,,
130005,-9,1970-01-01,-9,-9,,-9,-9,,-9,1970-01-01,-9,1970-01-01,,
130006,-9,1970-01-01,-9,-9,,-9,-9,,-9,1970-01-01,-9,1970-01-01,,
130007,-9,1970-01-01,-9,-9,,-9,-9,,-9,1970-01-01,-9,1970-01-01,,
130008,-9,1970-01-01,-9,-9,,-9,-9,,-9,1970-01-01,-9,1970-01-01,,
130009,-9,1970-01-01,-9,-9,,-9,-9,,-9,1970-01-01,-9,1970-01-01,,
130010,Heinkele;Martin,2005-11-25,90,-2,-2,bbn,p1,schlierenartig organische Substanz in10 - 60 cm;,Heinkele; Martin,2005-11-25,Heinkele;Martin,2005-11-25,,
130011,-9,1970-01-01,-9,-9,,-9,-9,,-9,1970-01-01,-9,1970-01-01,,
130012,-9,1970-01-01,-9,-9,,-9,-9,,-9,1970-01-01,-9,1970-01-01,,
130013,Heinkele;Martin,2005-10-13,90,-2,-2,bb-lf,p1,"7 - 50 cm: einzelne, kleine hellgrau aufgehellte Flecken     50 - 60 cm: zungenartig in Bt-Horizont übergehend, BT + Ael-Material durchdringend",Heinkele; Martin,2005-10-13,Heinkele;Martin,2005-10-13,,
130014,Heinkele;Martin,2005-10-12,90,-2,-2,pp-bb,p2,,Heinkele;Martin,2005-10-12,Heinkele;Martin,2005-10-12,,
130015,-9,1970-01-01,-9,-9,,-9,-9,,-9,1970-01-01,-9,1970-01-01,,
130016,-9,1970-01-01,-9,-9,,-9,-9,,-9,1970-01-01,-9,1970-01-01,,
130017,Heinkele;Martin,2006-03-29,90,-2,-2,bb,p1,,Heinkele;Martin,2006-03-29,Heinkele;Martin,2006-03-29,,
130018,-9,1970-01-01,-9,-9,,-9,-9,,-9,1970-01-01,-9,1970-01-01,,
130019,-9,1970-01-01,-9,-9,,-9,-9,,-9,1970-01-01,-9,1970-01-01,,
130020,-9,1970-01-01,-9,-9,,-9,-9,,-9,1970-01-01,-9,1970-01-01,,
130021,-9,1970-01-01,-9,-9,,-9,-9,,-9,1970-01-01,-9,1970-01-01,,
130022,Heinkele;Martin,2006-03-28,90,-2,-2,bb-pp,p3,,Heinkele;Martin,2006-03-28,Heinkele;Martin,2006-03-28,,
130023,Heinkele;Martin,2005-11-26,90,-2,-2,ppn,p4,"vertikal verlaufende Schlieren von Bs-Material bis 80 cm; Untergrenze Horizont 3: 20 - 25 cm, Untergrenze Horizont 4: 60 - 80 cm",Heinkele; Martin,2005-11-26,Heinkele;Martin,2005-11-26,,
130024,-9,1970-01-01,-9,-9,,-9,-9,,-9,1970-01-01,-9,1970-01-01,,
130025,-9,1970-01-01,-9,-9,,-9,-9,,-9,1970-01-01,-9,1970-01-01,,
130026,Heinkele;Martin,2005-11-17,90,-2,-2,ll-bb,p1,"Untergrenze Horizont 2 wellig und schwankend 35 - 45 cm; Untergrenze Horizont 3 stark wellig und schwankend zwischen 60 und 90 cm, eiskeilpseudomporphose",Heinkele; Martin,2005-11-17,Heinkele;Martin,2005-11-17,,
130027,Heinkele;Martin,2005-10-28,90,-2,-2,bbn,p2,70 - 90 cm: Verbraunung in Bändern und Flecken,Heinkele; Martin,2005-10-28,Heinkele;Martin,2005-10-28,,
