bund_nr,datum,ort,team,x_laenge,y_laenge,distanz,azimut
130010,2005-08-23,z,Martin; Just,20,20,0,-2
130013,2005-08-17,z,Martin; Just,20,20,0,-2
130014,2005-09-21,z,Just,20,20,0,-2
130017,2005-08-23,z,Martin; Just,20,20,0,-2
130022,2005-08-24,z,Martin; Just,20,20,0,-2
130023,2005-08-24,z,Martin; Just,20,20,0,-2
130026,2005-08-22,z,Martin; Just,20,20,0,-2
130027,2005-08-22,z,Martin; Just,20,20,0,-2
130028,2005-08-17,z,Martin; Just,20,20,0,-2
130029,2005-08-24,z,Martin; Just,20,20,0,-2
130032,2005-08-24,z,Martin; Just,20,20,0,-2
130033,2005-08-24,z,Martin; Just,20,20,0,-2
130036,2005-08-18,z,Martin; Just,20,20,0,-2
130037,2005-08-18,z,Martin; Just,20,20,0,-2
130039,2005-08-10,z,Martin; Just,20,20,0,-2
130042,2005-08-25,z,Martin; Just,20,20,0,-2
130044,2005-09-02,z,Martin; Just,20,20,0,-2
130046,2005-09-01,z,Martin; Just,20,20,0,-2
130047,2005-08-30,z,Martin; Just,20,20,0,-2
130048,2005-08-10,z,Martin; Just,20,20,0,-2
130050,2005-08-31,z,Martin; Just,20,20,0,-2
130051,2005-08-30,z,Martin; Just,20,20,0,-2
130052,2005-08-18,z,Martin; Just,20,20,0,-2
130056,2005-09-07,z,Martin; Just,20,20,0,-2
130057,2005-09-07,z,Martin; Just,20,20,0,-2
130059,2005-08-16,z,Martin; Just,20,20,0,-2
130060,2005-08-15,z,Martin; Just,20,20,0,-2
130061,2005-09-29,z,Martin; Just,20,20,0,-2
130064,2005-08-16,z,Martin; Just,20,20,0,-2
130068,2005-08-15,z,Martin; Just,20,20,0,-2
130069,2006-08-28,z,Martin; Just,20,20,0,-2
130070,2007-04-13,z,Martin; Just,20,20,0,-2
130071,2007-04-25,z,Martin; Just,20,20,0,-2
130072,2006-07-21,z,Martin; Just,20,20,0,-2
130073,2007-03-27,z,Martin; Just,20,20,0,-2
130073,2008-07-02,z,Kompa,20,20,14,250
130074,2006-08-22,z,Martin; Just,20,20,0,-2
130074,2008-07-02,z,Kompa,20,20,14,250
130075,2007-05-23,z,Martin; Just,20,20,0,-2
130076,2006-06-13,z,Martin; Just,20,20,0,-2
130076,2008-07-01,z,Kompa,20,20,14,250
130077,2006-05-31,z,Martin; Just,20,20,0,-2
130078,2006-05-09,z,Martin; Just,20,20,0,-2
130079,2006-07-12,z,Martin; Just,20,20,0,-2
130080,2007-06-06,z,Martin; Just,20,20,0,-2
130080,2008-07-03,z,Kompa,20,20,14,250
130081,2007-05-08,z,Martin; Just,20,20,0,-2
130082,2006-06-06,z,Martin; Just,20,20,0,-2
130083,2006-05-09,z,Martin; Just,20,20,0,-2
130083,2008-07-01,z,Kompa,20,20,14,250
130084,2007-04-10,z,Martin; Just,20,20,0,-2
130088,2007-07-11,z,Martin; Just,20,20,0,-2
