bund_nr,bover_1,bover_2,bover_3,bover_4,auswirkung,richtungskorr,entfkorr
130010,,,,,0,-9,-9
130013,,,,,0,-9,-9
130014,,,,,0,-9,-9
130016,,,,,0,-9,-9
130017,,,,,0,-9,-9
130022,,,,,0,-9,-9
130023,,,,,0,-9,-9
130026,,,,,0,-9,-9
130027,39,,,,1,1,1
130028,,,,,0,-9,-9
130029,,,,,0,-9,-9
130032,,,,,0,-9,-9
130033,,,,,0,-9,-9
130036,,,,,0,-9,-9
130037,,,,,0,-9,-9
130039,,,,,0,-9,-9
130042,,,,,0,-9,-9
130044,,,,,0,-9,-9
130046,,,,,0,-9,-9
130047,,,,,0,-9,-9
130048,19,,,,1,-1,-1
130049,-2,,,,0,-9,-9
130050,,,,,0,-9,-9
130051,,,,,0,-9,-9
130052,,,,,0,-9,-9
130056,,,,,0,-9,-9
130057,,,,,0,-9,-9
130059,39,,,,1,4,1
130060,,,,,0,-9,-9
130061,,,,,0,-9,-9
130064,,,,,0,-9,-9
130068,,,,,0,-9,-9
130069,,,,,0,-9,-9
130070,,,,,0,-9,-9
130071,,,,,0,-9,-9
130072,,,,,0,-9,-9
130073,,,,,0,-9,-9
130074,,,,,0,-9,-9
130075,,,,,0,-9,-9
130076,,,,,0,-9,-9
130077,,,,,0,-9,-9
130078,,,,,0,-9,-9
130079,,,,,0,-9,-9
130080,,,,,0,-9,-9
130081,,,,,0,-9,-9
130082,,,,,0,-9,-9
130083,,,,,0,-9,-9
130084,,,,,0,-9,-9
130085,,,,,0,-9,-9
130086,,,,,0,-9,-9
130087,,,,,0,-9,-9
130088,,,,,0,-9,-9
