id,kurz,lang,gueltig_ab,gueltig_bis
-9,fehlt,"Merkmal vergessen, nicht rekonstruierbar oder unbekannt",2006-01-01,
-2,nicht ausgeprägt,Merkmal nicht ausgeprägt/nicht vorhanden,2006-01-01,
-1,nicht erhoben,Merkmal nicht erhoben,2006-01-01,
z,z,keine Wurzeln,2006-01-01,2022-01-01
g,g,gleichmäßig,2006-01-01,
u,u,ungleichmäßig,2006-01-01,
k,k,in Klüften und Spalten,2006-01-01,
n,n,nesterweise,2006-01-01,
r,r,in Wurm- und Wurzelröhren,2006-01-01,
f,f,als Wurzelfilz,2006-01-01,
s,s,als Wurzelsaum,2006-01-01,
l,l,lagenweise,2006-01-01,
