id,kurz,lang,gueltig_ab,gueltig_bis
-9,fehlt,"Merkmal vergessen, nicht rekonstruierbar oder unbekannt",1998-01-01,
-2,nicht ausgeprägt,Merkmal nicht ausgeprägt/nicht vorhanden,1998-01-01,
-1,nicht erhoben,Merkmal nicht erhoben,1998-01-01,
1,1,(einheitenlos),1998-01-01,
%,%,%,1998-01-01,
masse-%,Masse-%,Masse-%,1998-01-01,
vol-%,Vol-%,Vol-%,1998-01-01,
mg/kg,mg/kg,mg/kg,1998-01-01,
mg/l,mg/l,mg/l,1998-01-01,
g,g,g,1998-01-01,
g/cm3,g/cm3,g/cm3,1998-01-01,
g/kg,g/kg,g/kg,1998-01-01,
mmolc/kg,mmolc/kg,"""mmolc/kg"" oder ""mmol(c)/kg""",1998-01-01,
t/ha,t/ha,t/ha,1998-01-01,
μmol iä/g,µmol IÄ/g,"""µmol IÄ/g"" oder ""µmol IE/g""",1998-01-01,
μg/kg,µg/kg,µg/kg,1998-01-01,
μg/l,µg/l,µg/l,1998-01-01,
cm,cm,cm,1998-01-01,
cg/g,cg/g,cg/g (Gewichtsprozent),1998-01-01,
mval/100g,mval/100g,mval/100g,1998-01-01,
