id,kurz,lang,gueltig_ab,gueltig_bis
-9,fehlt,"Merkmal vergessen, nicht rekonstruierbar oder unbekannt",2006-01-01,
-2,nicht ausgeprägt,Merkmal nicht ausgeprägt/nicht vorhanden,2006-01-01,
-1,nicht erhoben,Merkmal nicht erhoben,2006-01-01,
h1,H1,"farbloses, klares Wasser beim Quetschen austretend",2006-01-01,
h2,H2,"schwach gelbbraunes, fast klares Wasser beim Quetschen austretend",2006-01-01,
h3,H3,"braunes, deutlich trübes Wasser beim Quetschen austretend",2006-01-01,
h4,H4,"braunes, stark trübes Wasser beim Quetschen austretend",2006-01-01,
h5,H5,"stark trübes Wasser beim Quetschen austretend, daneben etwas Torfsubstanz",2006-01-01,
h6,H6,beim Quetschen bis 1/3 der Torfsubstanz austretend,2006-01-01,
h7,H7,beim Quetschen etwa 1/2 der Torfsubstanz austretend,2006-01-01,
h8,H8,beim Quetschen etwa 2/3 der Torfsubstanz austretend,2006-01-01,
h9,H9,beim Quetschen fast die gesamte Torfsubstanz austretend,2006-01-01,
h10,H10,beim Quetschen die gesamte Torfsubstanz austretend,2006-01-01,
