id,kurz,lang,gueltig_ab,gueltig_bis
-9,fehlt,"Merkmal vergessen, nicht rekonstruierbar oder unbekannt",2022-10-01,
-2,nicht ausgeprägt,Merkmal nicht ausgeprägt/nicht vorhanden,2022-10-01,
-1,nicht erhoben,Merkmal nicht erhoben,2022-10-01,
0.1,1,<1,2022-10-01,
3,30,25-35,2022-10-01,
4,40,35-45,2022-10-01,
5,50,45-55,2022-10-01,
6,60,55-65,2022-10-01,
7,70,65-75,2022-10-01,
8,80,75-85,2022-10-01,
9,90,85-95,2022-10-01,
10,"97,5",95-100,2022-10-01,
0.2,2,1-3,2022-10-01,
0.4,4,3-5,2022-10-01,
1,10,5-15,2022-10-01,
2,20,15-25,2022-10-01,
