id,kurz,lang,gueltig_ab,gueltig_bis
ye-pp,YE-PP,Plaggenesch-Podsol,2006-01-01,
pp,PP,Podsol,2006-01-01,
p,P,Podsole,2006-01-01,2006-01-01
cfn,CFn,Normterra fusca,2006-01-01,
cfc,CFc,Kalkterra fusca,2006-01-01,
bb-cf,BB-CF,Braunerde-Terra fusca,2006-01-01,
ll-cf,LL-CF,Parabraunerde-Terra fusca,2006-01-01,
ss-cf,SS-CF,Pseudogley-Terra fusca,2006-01-01,
cf,CF,Terra fusca,2006-01-01,
crn,CRn,Normterra rossa,2006-01-01,
cr,CR,Terra rossa,2006-01-01,
c,C,Terrae calcis,2006-01-01,2006-01-01
vv,VV,Fersiallit,2006-01-01,
vw,VW,Ferrallit,2006-01-01,
v,V,Fersiallitische und ferrallitische Paläoböden,2006-01-01,2006-01-01
ssn,SSn,Normpseudogley,2006-01-01,
ssc,SSc,Kalkpseudogley,2006-01-01,
ssg,SSg,Hangpseudogley,2006-01-01,
ssh,SSh,Humuspseudogley,2006-01-01,
ssm,SSm,Anmoorpseudogley,2006-01-01,
tt-ss,TT-SS,Tschernosem-Pseudogley,2006-01-01,
dd-ss,DD-SS,Pelosol-Pseudogley,2006-01-01,
bb-ss,BB-SS,Braunerde-Pseudogley,2006-01-01,
ll-ss,LL-SS,Parabraunerde-Pseudogley,2006-01-01,
lf-ss,LF-SS,Fahlerde-Pseudogley,2006-01-01,
pp-ss,PP-SS,Podsol-Pseudogley,2006-01-01,
cf-ss,CF-SS,Terra fusca-Pseudogley,2006-01-01,
yk-ss,YK-SS,Kolluvisol-Pseudogley,2006-01-01,
ye-ss,YE-SS,Plaggenesch-Pseudogley,2006-01-01,
gg-ss,GG-SS,Gley-Pseudogley,2006-01-01,
ss,SS,Pseudogley,2006-01-01,
shn,SHn,Normhaftpseudogley,2006-01-01,
shh,SHh,Humushaftpseudogley,2006-01-01,
bb-sh,BB-SH,Braunerde-Haftpseudogley,2006-01-01,
ll-sh,LL-SH,Parabraunerde-Haftpseudogley,2006-01-01,
lf-sh,LF-SH,Fahlerde-Haftpseudogley,2006-01-01,
gg-sh,GG-SH,Gley-Haftpseudogley,2006-01-01,
sh,SH,Haftpseudogley,2006-01-01,
sgn,SGn,Normstagnogley,2006-01-01,
sgd,SGd,Bändchenstagnogley,2006-01-01,
sgm,SGm,Anmoorstagnogley,2006-01-01,
gg-sg,GG-SG,Gley-Stagnogley,2006-01-01,
hn-sg,HN-SG,Niedermoor-Stagnogley,2006-01-01,
hh-sg,HH-SG,Hochmoor-Stagnogley,2006-01-01,
sg,SG,Stagnogley,2006-01-01,
s,S,Stauwasserböden,2006-01-01,2006-01-01
xxn,XXn,Normreduktosol,2006-01-01,
xxt,XXt,Rohreduktosol,2006-01-01,
xxx,XXx,Ockerreduktosol,2006-01-01,
xxu,XXu,Fahlreduktosol,2006-01-01,
xx,XX,Reduktosol,2006-01-01,
x,X,Reduktosole,2006-01-01,2006-01-01
ykn,YKn,Normkolluvisol,2006-01-01,
pp-yk,PP-YK,Podsol-Kolluvisol,2006-01-01,
ss-yk,SS-YK,Pseudogley-Kolluvisol,2006-01-01,
gg-yk,GG-YK,Gley-Kolluvisol,2006-01-01,
yk,YK,Kolluvisol,2006-01-01,
yen,YEn,Normplaggenesch,2006-01-01,
pp-ye,PP-YE,Podsol-Plaggenesch,2006-01-01,
ss-ye,SS-YE,Pseudogley-Plaggenesch,2006-01-01,
gg-ye,GG-YE,Gley-Plaggenesch,2006-01-01,
ye,YE,Plaggenesch,2006-01-01,
yon,YOn,Normhortisol,2006-01-01,
yo,YO,Hortisol,2006-01-01,
yyn,YYn,Normrigosol,2006-01-01,
yy,YY,Rigosol,2006-01-01,
pp-yu,PP-YU,Tiefumbruchboden aus Podsol,2006-01-01,
ll-yu,LL-YU,Tiefumbruchboden aus Parabraunerde,2006-01-01,
lf-yu,LF-YU,Tiefumbruchboden aus Fahlerde,2006-01-01,
gg-yu,GG-YU,Tiefumbruchboden aus Gley,2006-01-01,
yu,YU,Tiefumbruchboden,2006-01-01,
y,Y,Terrestrische Kultosole,1989-01-01,1989-01-01
aon,AOn,Normrambla,2006-01-01,
gg-ao,GG-AO,Gley-Rambla,2006-01-01,
ao,AO,Rambla,2006-01-01,
aqn,AQn,Normpaternia,2006-01-01,
gg-aq,GG-AQ,Gley-Paternia,2006-01-01,
aq,AQ,Paternia,2006-01-01,
azn,AZn,Normkalkpaternia,2006-01-01,
gg-az,GG-AZ,Gley-Kalkpaternia,2006-01-01,
az,AZ,Kalkpaternia,2006-01-01,
atn,ATn,Normtschernitza,2006-01-01,
gg-at,GG-AT,Gley-Tschernitza,2006-01-01,
at,AT,Tschernitza,2006-01-01,
abn,ABn,Normvega,2006-01-01,
aq-ab,AQ-AB,Paternia-Vega,2006-01-01,
ss-ab,SS-AB,Pseudogley-Vega,2006-01-01,
gg-ab,GG-AB,Gley-Vega,2006-01-01,
ab,AB,Vega,2006-01-01,
a,A,Auenböden,2006-01-01,2006-01-01
ggn,GGn,Normgley,2006-01-01,
ggx,GGx,Oxigley,2006-01-01,
gge,GGe,Brauneisengley,2006-01-01,
ggi,GGi,Bleichgley,2006-01-01,
ggw,GGw,Wechselgley,2006-01-01,
ggc,GGc,Kalkgley,2006-01-01,
ggh,GGh,Humusgley,2006-01-01,
ggg,GGg,Hanggley,2006-01-01,
ggq,GGq,Quellengley,2006-01-01,
gga,GGa,Auengley,2006-01-01,
rq-gg,RQ-GG,Regosol-Gley,2006-01-01,
rr-gg,RR-GG,Rendzina-Gley,2006-01-01,
rz-gg,RZ-GG,Pararendzina-Gley,2006-01-01,
tt-gg,TT-GG,Tschernosem-Gley,2006-01-01,
dd-gg,DD-GG,Pelosol-Gley,2006-01-01,
bb-gg,BB-GG,Braunerde-Gley,2006-01-01,
ll-gg,LL-GG,Parabraunerde-Gley,2006-01-01,
lf-gg,LF-GG,Fahlerde-Gley,2006-01-01,
pp-gg,PP-GG,Podsol-Gley,2006-01-01,
ss-gg,SS-GG,Pseudogley-Gley,2006-01-01,
yk-gg,YK-GG,Kolluvisol-Gley,2006-01-01,
ye-gg,YE-GG,Plaggenesch-Gley,2006-01-01,
