id,kurz,lang,gueltig_ab,gueltig_bis
-9,fehlt,"Merkmal vergessen, nicht rekonstruierbar oder unbekannt",2006-01-01,
-2,nicht ausgeprägt,Merkmal nicht ausgeprägt/nicht vorhanden,2006-01-01,
-1,nicht erhoben,Merkmal nicht erhoben,2006-01-01,
hu,Hu,Humusanreicherung,2006-01-01,
vw,Vw,Wurzelreste,2006-01-01,
vr,Vr,Rhizomreste,2006-01-01,
c,C,Kalkkonkretationen allgemein,2006-01-01,
ck,Ck,Lösskindel,2006-01-01,
cmy,Cmy,Kalk-Pseudomycel,2006-01-01,
kw,Kw,Wiesenkalkausfällung,2006-01-01,
sgb,Sgb,"Sandkörner, ausgebleicht",2006-01-01,
oh,Oh,Einmischung von Auflageresten in den Mineralboden,2006-01-01,
oe,Oe,Ortserde,2006-01-01,
ost,Ost,Ortstein,2006-01-01,
m,M,Manganoxid,2006-01-01,
y,Y,Gips (als Beläge),2006-01-01,
z,Z,Salz (als Beläge),2006-01-01,
i,I,SiO2 (als Beläge),2006-01-01,
t,T,Ton (als Beläge),2006-01-01,
ko,Ko,Kohlereste,2006-01-01,
r,R,Rheinweiss (auch Wiesenmergel),2022-01-01,
