ToTraktId;ToEckId;K2_RW;K2_HW;K3_RW;K3_HW;RW_MED;HW_MED;LAT_MED;LON_MED;LAT_MEAN;LON_MEAN;AnzahlMessungen;HDOP;MaxHDOP;NumSat;MinNumSat;RTCMAlter;Hilfspunkt;UTCStartzeit;UTCStopzeit;STDDEV
30036;1;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;369;2,831436;14,7;5,257452;4;2742,986;FALSCH;9494200;9564900;1,765275303
30037;1;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;112;0,9017857;1;8,982142;8;109,9464;FALSCH;12523000;12542300;84338,38484
30039;1;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;199;2,1201;5,9;5,472362;4;99;FALSCH;15183100;15215300;5,31605207
30040;1;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;264;5,330682;12,4;4,700758;4;99;FALSCH;14440200;14534600;5,278269565
30042;1;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;354;3,093503;4;4,09322;4;99;FALSCH;12461500;13004800;117664,9542
30044;1;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;135;3,191111;17,7;4,007407;4;99;FALSCH;7452500;7483500;2,128644212
30051;1;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;106;5,986793;63;4,943396;4;122,7453;FALSCH;11415200;11493000;3,841324144
30053;1;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;112;3,841964;5,9;4,866071;4;94,85714;FALSCH;11431900;11451300;0,573407269
30055;1;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;109;6,955046;210,2;4,926606;4;159,6514;FALSCH;7145800;7180500;4,44738481
30058;1;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;114;2,137719;8,7;4,964912;4;92,07895;FALSCH;14455200;14475200;1,390546763
30059;1;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;101;2,00099;6,9;5,465346;4;84,33663;FALSCH;7270900;7285300;0,884370902
30060;1;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;108;2,739815;2,9;4,518518;4;84,07407;FALSCH;10084700;10105400;2,420144917
30062;1;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;114;2,410526;3,2;4,342105;4;87,2807;FALSCH;9341300;9383200;6,911857618
30063;1;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;108;1,522222;2,1;5,092593;4;82,85185;FALSCH;7393900;7420800;0,224994429
30064;1;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;109;1,854128;2,5;6,715596;6;84,69725;FALSCH;12332200;12454600;2,334534893
30069;1;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;111;3,645946;61,4;4,387387;4;1160,847;FALSCH;9482100;9514000;1,652762548
30070;1;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;141;4,251064;10,2;4,730496;4;94,4539;FALSCH;13092500;13115700;2,061420736
30077;1;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;127;2,966929;4,1;4,629921;4;84,17323;FALSCH;9410900;9432300;0,393658294
30079;1;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;113;1,827434;2,1;6,265487;4;96,38938;FALSCH;8205800;8362100;0,259115516
30080;1;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;123;5,750407;7,4;4,097561;4;90,2683;FALSCH;15092400;15112300;4,573897941
30081;1;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;164;1,893902;2,6;5,29878;4;491,439;FALSCH;7323300;7352200;0,343884751
30083;1;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;109;1,502752;2,1;6,513762;5;106,9908;FALSCH;11100600;11120400;0,201761162
30086;1;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;110;3,773636;5;4,227273;4;100,5455;FALSCH;13080600;13113700;1,979026789
30088;1;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;105;2,695238;14,3;5,133333;4;109,4476;FALSCH;13033100;13053200;1,875319396
30089;1;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;305;2,434098;6,8;5,557377;4;96,4459;FALSCH;7332700;7383600;0,544497463
30094;1;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;109;3,765137;12,3;4,541285;4;83,66972;FALSCH;10210700;10230100;1,174314322
30098;1;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;174;4,19138;36,9;4,252873;4;89,12643;FALSCH;12480700;12574300;3,605889234
30099;1;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;110;3,387273;3,9;4,018182;4;100,4727;FALSCH;8040300;8062600;3,714649802
30105;1;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;115;2,946087;3,8;4,426087;4;87,96522;FALSCH;14530400;14551000;1,62128419
30107;1;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;114;1,165789;1,5;7,342105;6;92,45614;FALSCH;13015400;13035700;0,132039233
30109;1;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;116;2,24569;4,6;5,215517;4;97,34483;FALSCH;8322100;8342600;0,925092085
30110;1;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;263;6,857415;106,1;5,121673;4;97,87833;FALSCH;14144100;14191300;2,223951644
30111;1;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;113;3,260177;14,9;4,787611;4;80,42478;FALSCH;7305100;7324500;0,753383731
30112;1;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;102;6,488235;36,6;4,22549;4;102,902;FALSCH;12364500;12391500;2,921921497
30118;1;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;143;4,027273;6,8;4,41958;4;91,21678;FALSCH;14162200;14344100;3,197355709
30119;1;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;112;4,938393;6,6;5,071429;4;87,07143;FALSCH;12542700;12561700;2,338394021
30123;1;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;107;2,793458;4;4,551402;4;79,25233;FALSCH;10125900;10143900;15,08721531
30125;1;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;110;1,5;3,6;5,827273;4;96,23637;FALSCH;13411900;13431200;0,15579803
30127;1;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;106;1,34434;1,7;6,037736;5;96,73585;FALSCH;11483800;11502700;0,235860958
30128;1;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;108;1,931481;2,1;4,490741;4;92,87037;FALSCH;12291900;12324700;2,296981815
30129;1;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;111;2,240541;3,4;4,63964;4;96;FALSCH;7384400;7415400;3,853416034
30130;1;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;119;1,847059;2,6;4,907563;4;112,7899;FALSCH;8033600;8053800;0,245368261
30131;1;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;125;4,824;16,1;4,952;4;99,264;FALSCH;12514900;12543300;2,366387933
30132;1;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;107;6,731776;32;5,317757;4;547,9813;FALSCH;7135400;7154300;1,021963457
30138;1;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;244;2,811885;16,1;5,286885;4;100,2131;FALSCH;13584800;14031700;1,318858317
30139;1;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;109;1,849541;8,3;6,366972;4;126,367;FALSCH;13584400;14003800;1,006351074
30141;1;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;104;1,864423;2,6;6,038462;5;213,6346;FALSCH;13175800;13194500;0,38818707
30142;1;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;110;2,459091;6,1;4,645454;4;89,23637;FALSCH;8145400;8184900;1,066466905
30143;1;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;111;1,798198;2,1;4,405406;4;100,5946;FALSCH;13242900;13263200;0,723478592
30147;1;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;384;1,350781;2,4;6,609375;5;94,17188;FALSCH;10382100;10445300;0,560513207
30148;1;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;279;2,266667;3;5,297491;4;88,39068;FALSCH;12131700;12180800;0,82177933
30150;1;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;144;10,24653;54,5;4,611111;4;103,625;FALSCH;12281800;12305500;1,749812904
30154;1;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;112;2,9;2,9;4;4;72,57143;FALSCH;10340300;10370800;2,72822171
30157;1;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;110;1,762727;2;6,709091;5;85,12727;FALSCH;7565600;7585600;0,129163778
30158;1;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;114;1,852632;2,5;6,631579;5;109,2807;FALSCH;13135500;13160000;0,474315326
30159;1;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;124;1,715323;3,4;6,596774;6;101,1613;FALSCH;8154500;8180100;0,207289623
30160;1;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;108;2,881481;10,4;5,87963;4;90,68519;FALSCH;10524700;10544500;2,195814857
30161;1;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;102;3,777451;16;4,637255;4;82;FALSCH;10555100;10574700;0,817428517
30163;1;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;111;2,63063;3,5;5,306306;4;82,39639;FALSCH;8074900;8094600;0,28949683
30164;1;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;110;1,945454;8,2;5,409091;4;103,3636;FALSCH;13423400;13442700;1,419180742
30165;1;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;112;2,619643;4,7;5,348214;4;102,5357;FALSCH;8161900;8212800;1,004927359
30167;1;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;145;1,766207;2,3;5,703448;5;88,77242;FALSCH;14484700;14511900;0,144349207
30168;1;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;108;1,594445;1,6;6,055555;6;111,4444;FALSCH;13195300;13215200;0,119910683
30169;1;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;116;4,794827;20,3;5,051724;4;84,74138;FALSCH;13044100;13064300;0,431334644
30170;1;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;109;4,997248;13,6;4,458715;4;103,3578;FALSCH;13102600;13122500;0,460409729
30171;1;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;106;3,201887;13,9;4,160378;4;90,32076;FALSCH;7262300;7284400;3,776923167
30178;1;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;109;1,787156;2,8;5,449541;4;84,18349;FALSCH;7101900;7125700;0,73046651
30179;1;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;109;2,177982;4,4;6,201835;5;105,9817;FALSCH;13022300;13042200;0,733747768
30182;1;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;213;6,055869;12,1;4,478873;4;93,86855;FALSCH;15011100;15063400;3,850456086
30186;1;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;111;4,081081;16;4,666667;4;86,99099;FALSCH;7534900;7560300;1,595422577
30188;1;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;305;2,125902;11,4;5,196721;4;86,0918;FALSCH;11435800;11492300;0,674278768
30191;1;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;517;3,592263;8,1;4,682786;4;89,17602;FALSCH;15314000;15412700;3,761085732
30192;1;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;135;2,434074;9,7;4,103703;4;86,83704;FALSCH;11393700;11425700;2,445035473
30301;1;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;317;4,957098;125,8;5,094637;4;115,7098;FALSCH;7243100;7314800;6,204823221
30302;1;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;479;2,065345;4,1;5,244259;4;2182,025;FALSCH;7493900;7580300;1,428637174
30303;1;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;220;3,196818;9,3;4,636364;4;93,78181;FALSCH;14020800;14060500;1,554261555
30304;1;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;215;4,090232;24;5,255814;4;889,0046;FALSCH;15573600;16031100;3,160030997
