ToTraktId;ToEckId;K2_RW;K2_HW;K3_RW;K3_HW;RW_MED;HW_MED;LAT_MED;LON_MED;LAT_MEAN;LON_MEAN;AnzahlMessungen;HDOP;MaxHDOP;NumSat;MinNumSat;RTCMAlter;Hilfspunkt;UTCStartzeit;UTCStopzeit;STDDEV
30507;1;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;108;2,213889;5,4;5,175926;4;89,83334;FALSCH;11532900;11552600;0,711068098
30508;1;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;109;3,873394;8,2;5,431193;4;104,367;FALSCH;8462200;8482000;0,793467447
30509;1;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;137;4,739416;24,3;5,218978;4;3884,796;FALSCH;13533700;13555100;0,82370001
30510;1;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;115;4,227826;10,3;4,686956;4;86;FALSCH;10000200;10015700;5,53670553
30511;1;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;110;4,73;17,9;5,572727;4;92,8;FALSCH;12520800;12542200;1,236289589
30512;1;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;214;2,091121;2,3;4,995327;4;78,81309;FALSCH;16402453;16434700;0,183088036
30513;1;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;101;3,547525;5,1;5,673267;5;88,85149;FALSCH;12495400;12513400;0,786814817
30514;1;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;116;2,331034;4,7;4,344828;4;83,67242;FALSCH;7502500;7531500;3,091225221
30515;1;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;109;1,208257;1,3;8,880733;7;111,3027;FALSCH;15550100;15565600;0,194445588
30516;1;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;107;5,678504;13,9;4,46729;4;103,2336;FALSCH;13030300;13061800;0,911367655
30517;1;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;127;1,844882;6,1;5,393701;4;92,89764;FALSCH;13104400;13125400;0,989514784
30518;1;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;113;4,870797;15,6;5,256637;4;107,7168;FALSCH;13191800;13211300;0,671303181
30519;1;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;107;3,758878;10,1;5,24299;4;83,23364;FALSCH;9015000;9035600;1,13764065
30520;1;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;112;2,3;3,2;4,044643;4;88,375;FALSCH;7181600;7222800;2,91499412
30521;1;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;361;3,716897;23,5;4,398892;4;89,64543;FALSCH;8524800;9005400;4,25301097
30522;1;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;111;2,065766;4,4;4,756757;4;106,991;FALSCH;11062300;11081900;0,835411455
30523;1;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;154;2,488312;3,6;4,467533;4;91,01299;FALSCH;10473400;10523700;2,901806642
30601;1;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;223;3,182063;12;5,130045;4;99;FALSCH;15133800;15192100;3,033493904
30602;1;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;206;2,621845;5,6;4,883495;4;113,2427;FALSCH;14063800;14112500;0,89536553
30603;1;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;136;5,547059;23,4;4,889706;4;99,52941;FALSCH;7583400;8005000;2,617084249
30604;1;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;124;1,879839;4,2;4,532258;4;90,32258;FALSCH;8095200;8123100;9,144675251
30605;1;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;122;3,867213;5,8;4,696721;4;116,8525;FALSCH;7545200;7565800;5,428200575
30606;1;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;-9999999;145;5,303448;10,1;4,662069;4;99;FALSCH;10320700;10384700;7,737563583
