"","plot_ID","compartiment","B_t_plot","C_t_plot","N_t_plot","plot_A_ha","MoMok_A_ha","B_t_ha","C_t_ha","N_t_ha","B_t_MA","C_t_MA","N_t_MA","N_species_plot","Nt_plot","Nt_ha","Nt_MA"
"1",21020,"ag",0.0517464957443619,0.0258732478721809,0.000349681637764979,0.0271000065483963,0.25,1.90946432621523,0.954732163107617,0.0129033783493928,0.477366081553808,0.238683040776904,0.0032258445873482,5,26,959.409362265952,239.852340566488
"2",21020,"bg",4.74794704526266e-06,2.37397352263133e-06,1.75674040674719e-08,0.0271000065483963,0.25,0.000175200955644922,8.76004778224608e-05,6.4824353588621e-07,4.38002389112304e-05,2.19001194556152e-05,1.62060883971553e-07,5,26,959.409362265952,239.852340566488
"3",21020,"f",6.15775275854223e-06,3.07887637927112e-06,1.69091359576041e-07,0.0271000065483963,0.25,0.000227223294117862,0.000113611647058931,6.23953205598201e-06,5.68058235294655e-05,2.84029117647328e-05,1.5598830139955e-06,5,26,959.409362265952,239.852340566488
"4",21020,"stem",0.0517464957443619,0.0258732478721809,0.000349512546405403,0.0271000065483963,0.25,1.90946432621523,0.954732163107617,0.0128971388173368,0.477366081553808,0.238683040776904,0.0032242847043342,5,26,959.409362265952,239.852340566488
"5",21020,"total",0.0517574014441657,0.0258787007220828,0.000349699205169047,0.0271000065483963,0.25,1.909866750465,0.954933375232498,0.0129040265929287,0.477466687616249,0.238733343808124,0.00322600664823217,5,26,959.409362265952,239.852340566488
"6",21030,"ag",0.0175988689152153,0.00879943445760767,9.03666037530839e-05,0.0211908278466265,0.25,0.830494638651739,0.41524731932587,0.00426442064496644,0.207623659662935,0.103811829831467,0.00106610516124161,2,9,424.712053023108,106.178013255777
"7",21030,"bg",0.00102363740573572,0.000511818702867862,3.10162133937924e-06,0.0211908278466265,0.25,0.048305682682363,0.0241528413411815,0.00014636621852756,0.0120764206705907,0.00603821033529537,3.659155463189e-05,2,9,424.712053023108,106.178013255777
"8",21030,"f",0.000550509732807626,0.000275254866403813,1.51839860296515e-05,0.0211908278466265,0.25,0.0259786798699921,0.0129893399349961,0.000716535764414164,0.00649466996749803,0.00324733498374902,0.000179133941103541,2,9,424.712053023108,106.178013255777
"9",21030,"stem",0.0175988689152153,0.00879943445760767,7.51826177234324e-05,0.0211908278466265,0.25,0.830494638651739,0.41524731932587,0.00354788488055227,0.207623659662935,0.103811829831467,0.000886971220138068,2,9,424.712053023108,106.178013255777
"10",21030,"total",0.0191730160537587,0.00958650802687934,9.34682250924631e-05,0.0211908278466265,0.25,0.904779001204094,0.452389500602047,0.004410786863494,0.226194750301024,0.113097375150512,0.0011026967158735,2,9,424.712053023108,106.178013255777
"11",23060,"ag",0.000532684137109697,0.000266342068554849,2.31955481249884e-06,0.0296306222627159,0.25,0.0179774873570567,0.00898874367852833,7.82823523560464e-05,0.00449437183926417,0.00224718591963208,1.95705880890116e-05,2,20,674.977387335058,168.744346833764
"12",23060,"bg",0,0,0,0.0296306222627159,0.25,0,0,0,0,0,0,2,20,674.977387335058,168.744346833764
"13",23060,"f",0,0,0,0.0296306222627159,0.25,0,0,0,0,0,0,2,20,674.977387335058,168.744346833764
"14",23060,"stem",0.000532684137109697,0.000266342068554849,2.31955481249884e-06,0.0296306222627159,0.25,0.0179774873570567,0.00898874367852833,7.82823523560464e-05,0.00449437183926417,0.00224718591963208,1.95705880890116e-05,2,20,674.977387335058,168.744346833764
"15",23060,"total",0.000532684137109697,0.000266342068554849,2.31955481249884e-06,0.0296306222627159,0.25,0.0179774873570567,0.00898874367852833,7.82823523560464e-05,0.00449437183926417,0.00224718591963208,1.95705880890116e-05,2,20,674.977387335058,168.744346833764
"16",23061,"ag",0.0320771706225795,0.0160385853112897,0.000319155876037985,0.0231453068842044,0.25,1.38590388034434,0.692951940172172,0.0137892263703703,0.346475970086086,0.173237985043043,0.00344730659259258,3,32,1382.56970020296,345.642425050741
"17",23061,"bg",0.00078225204316615,0.000391126021583075,3.07616138482947e-06,0.0231453068842044,0.25,0.0337974366501056,0.0168987183250528,0.000132906485112488,0.0084493591625264,0.0042246795812632,3.32266212781219e-05,3,32,1382.56970020296,345.642425050741
