"","plot_ID","SP_code","compartiment","mean_DBH_cm","sd_DBH_cm","mean_H_m","sd_height_m","SP_BA_plot","SP_BA_m2ha","SP_BA_m2MA","tot_BA_m2ha","BA_SP_per","dom_SP","Nt_P_SP","Nt_ha","Nt_MA","B_t_P_SP","C_t_P_SP","N_t_P_SP","B_t_P_SP_ha","C_t_P_SP_ha","N_t_P_SP_ha","B_t_P_SP_MA","C_t_P_SP_MA","N_t_P_SP_MA"
"1",26010,"MBI","ag",22.6220930232558,7.01505823076057,17.3011833304607,2.7157473288008,17.0467711278278,340.701109444421,85.1752773611052,340.701109444421,100,"MBI",387,7734.6805659725,1933.67014149312,11.314485708824,5.65724285441202,0.0235009103637311,226.134193090478,113.067096545239,0.469695180033625,56.5335482726194,28.2667741363097,0.117423795008406
"2",26010,"MBI","bg",22.6220930232558,7.01505823076057,17.3011833304607,2.7157473288008,17.0467711278278,340.701109444421,85.1752773611052,340.701109444421,100,"MBI",387,7734.6805659725,1933.67014149312,0.00136097565787554,0.000680487828937772,0.00119928688802741,0.0272008061285054,0.0136004030642527,0.023969253193414,0.00680020153212636,0.00340010076606318,0.00599231329835351
"3",26010,"MBI","f",22.6220930232558,7.01505823076057,17.3011833304607,2.7157473288008,17.0467711278278,340.701109444421,85.1752773611052,340.701109444421,100,"MBI",387,7734.6805659725,1933.67014149312,0.254303606594818,0.127151803297409,0.0071902293557307,5.08257665060893,2.54128832530446,0.143705755200659,1.27064416265223,0.635322081326116,0.0359264388001648
"4",26010,"MBI","fw",22.6220930232558,7.01505823076057,17.3011833304607,2.7157473288008,17.0467711278278,340.701109444421,85.1752773611052,340.701109444421,100,"MBI",387,7734.6805659725,1933.67014149312,2.56026258319456,1.28013129159728,0.00386572081327655,51.170060067239,25.5850300336195,0.0772612807439937,12.7925150168097,6.39625750840487,0.0193153201859984
"5",26010,"MBI","stw",22.6220930232558,7.01505823076057,17.3011833304607,2.7157473288008,17.0467711278278,340.701109444421,85.1752773611052,340.701109444421,100,"MBI",387,7734.6805659725,1933.67014149312,0.252777374937938,0.126388687468969,0.00266193430094497,5.05207299599487,2.52603649799743,0.053202096913216,1.26301824899872,0.631509124499358,0.013300524228304
"6",26010,"MBI","stwb",22.6220930232558,7.01505823076057,17.3011833304607,2.7157473288008,17.0467711278278,340.701109444421,85.1752773611052,340.701109444421,100,"MBI",387,7734.6805659725,1933.67014149312,0.0151195714027257,0.00755978570136286,0.00286119849313419,0.302183604895339,0.15109180244767,0.0571846418093924,0.0755459012238348,0.0377729506119174,0.0142961604523481
"7",26010,"MBI","sw",22.6220930232558,7.01505823076057,17.3011833304607,2.7157473288008,17.0467711278278,340.701109444421,85.1752773611052,340.701109444421,100,"MBI",387,7734.6805659725,1933.67014149312,7.90251569746266,3.95125784873133,0.00394739811717802,157.941691440457,78.9708457202287,0.0788937041423599,39.4854228601143,19.7427114300572,0.01972342603559
"8",26010,"MBI","swb",22.6220930232558,7.01505823076057,17.3011833304607,2.7157473288008,17.0467711278278,340.701109444421,85.1752773611052,340.701109444421,100,"MBI",387,7734.6805659725,1933.67014149312,0.583810481826166,0.291905240913083,0.00297442928346668,11.6681849818912,5.83409249094559,0.0594477012240033,2.9170462454728,1.4585231227364,0.0148619253060008
"9",26010,"MBI","total",22.6220930232558,7.01505823076057,17.3011833304607,2.7157473288008,17.0467711278278,340.701109444421,85.1752773611052,340.701109444421,100,"MBI",387,7734.6805659725,1933.67014149312,11.5701502910767,5.78507514553837,0.0247001972517585,231.243970547215,115.621985273608,0.493664433227039,57.8109926368038,28.9054963184019,0.12341610830676
"10",26020,"MBI","ag",27.2666666666667,13.2597424270145,15.4,4.04122982043071,1.93561848608199,38.6857640502209,9.67144101255523,303.13590654911,12.7618547372426,"SER",27,539.628876695756,134.907219173939,1.23516924605686,0.61758462302843,0.0018046837144077,24.6864071399558,12.3432035699779,0.0360688683554426,6.17160178498895,3.08580089249448,0.00901721708886066
"11",26020,"MBI","bg",27.2666666666667,13.2597424270145,15.4,4.04122982043071,1.93561848608199,38.6857640502209,9.67144101255523,303.13590654911,12.7618547372426,"SER",27,539.628876695756,134.907219173939,0.000181786972134405,9.08934860672025e-05,2.25838064123998e-07,0.00363324072484487,0.00181662036242244,4.51365706882877e-06,0.000908310181211219,0.000454155090605609,1.12841426720719e-06
"12",26020,"MBI","f",27.2666666666667,13.2597424270145,15.4,4.04122982043071,1.93561848608199,38.6857640502209,9.67144101255523,303.13590654911,12.7618547372426,"SER",27,539.628876695756,134.907219173939,0.0350453766235919,0.0175226883117959,0.00020534237018561,0.700425822991428,0.350212911495714,0.00410402490967795,0.175106455747857,0.0875532278739286,0.00102600622741949
"13",26020,"MBI","fw",27.2666666666667,13.2597424270145,15.4,4.04122982043071,1.93561848608199,38.6857640502209,9.67144101255523,303.13590654911,12.7618547372426,"SER",27,539.628876695756,134.907219173939,0.298146928576823,0.149073464288411,0.000223312117961562,5.95884045030372,2.97942022515186,0.00446317286548695,1.48971011257593,0.744855056287965,0.00111579321637174
"14",26020,"MBI","stw",27.2666666666667,13.2597424270145,15.4,4.04122982043071,1.93561848608199,38.6857640502209,9.67144101255523,303.13590654911,12.7618547372426,"SER",27,539.628876695756,134.907219173939,0.0274468582646021,0.013723429132301,0.000547522187196421,0.548559899783513,0.274279949891756,0.0109429178830669,0.137139974945878,0.0685699874729391,0.00273572947076674
