"","plot_ID","loc_name","state","date","CCS_nr","t_ID","SP_dec_type","SP_group","DW_type","L_dm","D_cm","dec_type","dom_SP","tpS_SP_com_name","tpS_ID","LH_NH","N_SP_group","H_SP_group","L_m","D_m","D_h_cm","D_h_m","dec_type_BWI","SP_group_char","SP_dw_tps","S_L_DW_type"
"26",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","1",8,"2_3",2,4,3.4,26,4,"GFI","Picea abies",1,"NB","FI","fi",0.34,0.26,34,0.34,3,"BU",15,"S"
"27",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","1",9,"2_2",2,4,2.8,12,3,"GFI","Picea abies",1,"NB","FI","fi",0.28,0.12,28,0.28,2,"BU",15,"S"
"28",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","1",10,"2_4",2,4,3.3,47,5,"GFI","Picea abies",1,"NB","FI","fi",0.33,0.47,33,0.33,4,"BU",15,"S"
"29",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","1",11,"2_1",2,4,2,24,1,"GFI","Picea abies",1,"NB","FI","fi",0.2,0.24,20,0.2,1,"BU",15,"S"
"30",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","1",12,"2_1",2,4,2,14,2,"GFI","Picea abies",1,"NB","FI","fi",0.2,0.14,20,0.2,1,"BU",15,"S"
"31",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","1",13,"2_1",2,4,3,32,2,"GFI","Picea abies",1,"NB","FI","fi",0.3,0.32,30,0.3,1,"BU",15,"S"
"32",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","1",14,"2_3",2,4,3,40,4,"GFI","Picea abies",1,"NB","FI","fi",0.3,0.4,30,0.3,3,"BU",15,"S"
"33",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","1",15,"2_3",2,4,2.4,30,4,"GFI","Picea abies",1,"NB","FI","fi",0.24,0.3,24,0.24,3,"BU",15,"S"
"34",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","1",16,"2_2",2,4,2.4,32.5,3,"GFI","Picea abies",1,"NB","FI","fi",0.24,0.325,24,0.24,2,"BU",15,"S"
"35",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","1",17,"2_1",2,4,2.7,30,2,"GFI","Picea abies",1,"NB","FI","fi",0.27,0.3,27,0.27,1,"BU",15,"S"
"36",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","1",18,"2_3",2,4,2.2,51,4,"GFI","Picea abies",1,"NB","FI","fi",0.22,0.51,22,0.22,3,"BU",15,"S"
"37",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","1",19,"2_2",2,4,2.4,10.5,3,"GFI","Picea abies",1,"NB","FI","fi",0.24,0.105,24,0.24,2,"BU",15,"S"
"38",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","1",20,"2_1",2,4,2.1,26,1,"GFI","Picea abies",1,"NB","FI","fi",0.21,0.26,21,0.21,1,"BU",15,"S"
"39",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","1",21,"2_1",2,4,3.4,35,2,"GFI","Picea abies",1,"NB","FI","fi",0.34,0.35,34,0.34,1,"BU",15,"S"
"40",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","1",22,"2_1",2,4,2.5,14,1,"GFI","Picea abies",1,"NB","FI","fi",0.25,0.14,25,0.25,1,"BU",15,"S"
"41",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","1",23,"2_1",2,4,2,26.5,2,"GFI","Picea abies",1,"NB","FI","fi",0.2,0.265,20,0.2,1,"BU",15,"S"
"42",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","1",24,"2_2",2,4,3,20,3,"GFI","Picea abies",1,"NB","FI","fi",0.3,0.2,30,0.3,2,"BU",15,"S"
"43",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","1",25,"2_1",2,4,2.7,23,1,"GFI","Picea abies",1,"NB","FI","fi",0.27,0.23,27,0.27,1,"BU",15,"S"
"44",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","1",26,"2_1",2,4,2.6,28,2,"GFI","Picea abies",1,"NB","FI","fi",0.26,0.28,26,0.26,1,"BU",15,"S"
"45",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","1",27,"2_1",2,4,3,25,2,"GFI","Picea abies",1,"NB","FI","fi",0.3,0.25,30,0.3,1,"BU",15,"S"
"46",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","1",28,"2_4",2,4,2.1,45,5,"GFI","Picea abies",1,"NB","FI","fi",0.21,0.45,21,0.21,4,"BU",15,"S"
"47",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","1",29,"2_1",2,4,2,24.5,2,"GFI","Picea abies",1,"NB","FI","fi",0.2,0.245,20,0.2,1,"BU",15,"S"
