"","plot_ID","SP_group","DW_type","dec_type","compartiment","D_mean","L_mean","B_t","C_t","N_t","plot_A_ha","B_t_ha","C_t_ha","N_t_ha","C_share","N_share","B_share"
"1",21020,1,1,2,"ag",16,4.6,0.0536433228785764,0.0268216614392882,4.35583781774041e-05,0.0500343869018386,1.07212911359978,0.536064556799888,0.000870568840243017,7.70597147237448,6.02065425016349,7.70597147237448
"2",21020,1,1,2,"bg",16,4.6,0,0,0,0.0500343869018386,0,0,0,7.70597147237448,6.02065425016349,7.70597147237448
"3",21020,1,1,2,"total",16,4.6,0.0536433228785764,0.0268216614392882,4.35583781774041e-05,0.0500343869018386,1.07212911359978,0.536064556799888,0.000870568840243017,7.70597147237448,6.02065425016349,7.70597147237448
"4",21020,1,1,3,"ag",14.3333333333333,6,0.211717583792193,0.105858791896096,0.00017191467803926,0.0500343869018386,4.23144155253779,2.1157207762689,0.00343593054066069,30.4136577183264,23.7621068623599,30.4136577183264
"5",21020,1,1,3,"bg",14.3333333333333,6,0,0,0,0.0500343869018386,0,0,0,30.4136577183264,23.7621068623599,30.4136577183264
"6",21020,1,1,3,"total",14.3333333333333,6,0.211717583792193,0.105858791896096,0.00017191467803926,0.0500343869018386,4.23144155253779,2.1157207762689,0.00343593054066069,30.4136577183264,23.7621068623599,30.4136577183264
"7",21020,1,1,4,"ag",15.2,3.8,0.071233178685842,0.035616589342921,5.78413410929037e-05,0.0500343869018386,1.423684451767,0.7118422258835,0.0011560317748348,10.2327897189023,7.99485037454397,10.2327897189023
"8",21020,1,1,4,"bg",15.2,3.8,0,0,0,0.0500343869018386,0,0,0,10.2327897189023,7.99485037454397,10.2327897189023
"9",21020,1,1,4,"total",15.2,3.8,0.071233178685842,0.035616589342921,5.78413410929037e-05,0.0500343869018386,1.423684451767,0.7118422258835,0.0011560317748348,10.2327897189023,7.99485037454397,10.2327897189023
"10",21020,1,1,5,"ag",14,2.79090909090909,0.128243896189985,0.0641219480949925,0.000104134043706268,0.0500343869018386,2.56311517200329,1.28155758600164,0.00208124951966667,18.4224942176513,14.3934439035677,18.4224942176513
"11",21020,1,1,5,"bg",14,2.79090909090909,0,0,0,0.0500343869018386,0,0,0,18.4224942176513,14.3934439035677,18.4224942176513
"12",21020,1,1,5,"total",14,2.79090909090909,0.128243896189985,0.0641219480949925,0.000104134043706268,0.0500343869018386,2.56311517200329,1.28155758600164,0.00208124951966667,18.4224942176513,14.3934439035677,18.4224942176513
"13",21020,1,2,1,"ag",31,15.3,0.060211128240795,0.0301055641203975,0.000119831760128704,0.0500343869018386,1.20339494433942,0.601697472169709,0.0023949880781751,8.64944995285424,16.5631877519654,8.64944995285424
"14",21020,1,2,1,"bg",31,15.3,0,0,0,0.0500343869018386,0,0,0,8.64944995285424,16.5631877519654,8.64944995285424
"15",21020,1,2,1,"total",31,15.3,0.060211128240795,0.0301055641203975,0.000119831760128704,0.0500343869018386,1.20339494433942,0.601697472169709,0.0023949880781751,8.64944995285424,16.5631877519654,8.64944995285424
"16",21020,1,2,2,"ag",22,14.1,0.0313063005225381,0.0156531502612691,6.97690578319691e-05,0.0500343869018386,0.62569569572137,0.312847847860685,0.00139442215948099,4.49721318118806,9.64350354953874,4.49721318118806
"17",21020,1,2,2,"bg",22,14.1,0,0,0,0.0500343869018386,0,0,0,4.49721318118806,9.64350354953874,4.49721318118806
"18",21020,1,2,2,"total",22,14.1,0.0313063005225381,0.0156531502612691,6.97690578319691e-05,0.0500343869018386,0.62569569572137,0.312847847860685,0.00139442215948099,4.49721318118806,9.64350354953874,4.49721318118806
"19",21020,1,3,2,"ag",22,7.6,0.100572355106008,0.0502861775530038,0.000124603699215068,0.0500343869018386,2.01006470416672,1.00503235208336,0.00249036126813195,14.4474215572116,17.2227668397088,14.4474215572116
"20",21020,1,3,2,"bg",22,7.6,0,0,0,0.0500343869018386,0,0,0,14.4474215572116,17.2227668397088,14.4474215572116
"21",21020,1,3,2,"total",22,7.6,0.100572355106008,0.0502861775530038,0.000124603699215068,0.0500343869018386,2.01006470416672,1.00503235208336,0.00249036126813195,14.4474215572116,17.2227668397088,14.4474215572116
"22",21020,1,3,5,"ag",17,1.8,0.0106226672395832,0.00531133361979159,8.62560579854154e-06,0.0500343869018386,0.212307332963299,0.106153666481649,0.000172393554366199,1.52596756345693,1.19223424709976,1.52596756345693
"23",21020,1,3,5,"bg",17,1.8,0,0,0,0.0500343869018386,0,0,0,1.52596756345693,1.19223424709976,1.52596756345693
"24",21020,1,3,5,"total",17,1.8,0.0106226672395832,0.00531133361979159,8.62560579854154e-06,0.0500343869018386,0.212307332963299,0.106153666481649,0.000172393554366199,1.52596756345693,1.19223424709976,1.52596756345693
"25",21020,1,4,4,"ag",14,1.3,0.00420250849270707,0.00210125424635353,3.41243689607814e-06,0.0500343869018386,0.0839924050823662,0.0419962025411831,6.82018329268814e-05,0.603698816915488,0.471668220017552,0.603698816915488
"26",21020,1,4,4,"bg",14,1.3,0,0,0,0.0500343869018386,0,0,0,0.603698816915488,0.471668220017552,0.603698816915488
"27",21020,1,4,4,"total",14,1.3,0.00420250849270707,0.00210125424635353,3.41243689607814e-06,0.0500343869018386,0.0839924050823662,0.0419962025411831,6.82018329268814e-05,0.603698816915488,0.471668220017552,0.603698816915488
"28",21020,1,4,5,"ag",19,0.875,0.024373732443611,0.0121868662218055,1.97914707442122e-05,0.0500343869018386,0.487139624423286,0.243569812211643,0.000395557375031708,3.50133580111918,2.73558400103474,3.50133580111918
"29",21020,1,4,5,"bg",19,0.875,0,0,0,0.0500343869018386,0,0,0,3.50133580111918,2.73558400103474,3.50133580111918
"30",21020,1,4,5,"total",19,0.875,0.024373732443611,0.0121868662218055,1.97914707442122e-05,0.0500343869018386,0.487139624423286,0.243569812211643,0.000395557375031708,3.50133580111918,2.73558400103474,3.50133580111918
"31",21030,1,1,2,"ag",13,9.7,0.0746751861369313,0.0373375930684657,6.06362511431883e-05,0.0500343869018386,1.49247728933773,0.746238644668865,0.00121189155894224,53.925612169084,40.492924331975,53.925612169084
"32",21030,1,1,2,"bg",13,9.7,0,0,0,0.0500343869018386,0,0,0,53.925612169084,40.492924331975,53.925612169084
"33",21030,1,1,2,"total",13,9.7,0.0746751861369313,0.0373375930684657,6.06362511431883e-05,0.0500343869018386,1.49247728933773,0.746238644668865,0.00121189155894224,53.925612169084,40.492924331975,53.925612169084
"34",21030,1,1,3,"ag",12,5.8,0.0242706882045733,0.0121353441022867,1.97077988221135e-05,0.0500343869018386,0.48508015601729,0.242540078008645,0.000393885086686039,17.5267285815214,13.1608796950383,17.5267285815214
"35",21030,1,1,3,"bg",12,5.8,0,0,0,0.0500343869018386,0,0,0,17.5267285815214,13.1608796950383,17.5267285815214
"36",21030,1,1,3,"total",12,5.8,0.0242706882045733,0.0121353441022867,1.97077988221135e-05,0.0500343869018386,0.48508015601729,0.242540078008645,0.000393885086686039,17.5267285815214,13.1608796950383,17.5267285815214
"37",21030,1,1,5,"ag",12.5,3.85,0.0297626634019463,0.0148813317009732,2.41672826823804e-05,0.0500343869018386,0.594844171076524,0.297422085538262,0.000483013466914138,21.4926795199322,16.1389256511946,21.4926795199322
"38",21030,1,1,5,"bg",12.5,3.85,0,0,0,0.0500343869018386,0,0,0,21.4926795199322,16.1389256511946,21.4926795199322
"39",21030,1,1,5,"total",12.5,3.85,0.0297626634019463,0.0148813317009732,2.41672826823804e-05,0.0500343869018386,0.594844171076524,0.297422085538262,0.000483013466914138,21.4926795199322,16.1389256511946,21.4926795199322
"40",21030,1,2,1,"ag",25,16.9,0.00681886399283352,0.00340943199641676,4.28379660466015e-05,0.0500343869018386,0.136283552473848,0.0681417762369238,0.000856170499913277,4.92414460724614,28.6072190308159,4.92414460724614
"41",21030,1,2,1,"bg",25,16.9,0,0,0,0.0500343869018386,0,0,0,4.92414460724614,28.6072190308159,4.92414460724614
"42",21030,1,2,1,"total",25,16.9,0.00681886399283352,0.00340943199641676,4.28379660466015e-05,0.0500343869018386,0.136283552473848,0.0681417762369238,0.000856170499913277,4.92414460724614,28.6072190308159,4.92414460724614
"43",21030,1,4,5,"ag",17,0.5,0.00295074089988421,0.00147537044994211,2.39600161070598e-06,0.0500343869018386,0.0589742591564719,0.0294871295782359,4.78870984350552e-05,2.13083512221626,1.60005129097607,2.13083512221626
