"","plot_ID","dec_type","DW_type","compartiment","D_mean","L_mean","B_t","C_t","N_t","plot_A_ha","B_t_ha","C_t_ha","N_t_ha","C_share","N_share","B_share"
"1",21020,1,2,"ag",31,15.3,0.0410329165444291,0.0205164582722146,9.75443230654733e-05,0.0500343869018386,0.820094320830406,0.410047160415203,0.00194954568458775,100,100,100
"2",21020,1,2,"bg",31,15.3,0,0,0,0.0500343869018386,0,0,0,100,100,100
"3",21020,1,2,"total",31,15.3,0.0410329165444291,0.0205164582722146,9.75443230654733e-05,0.0500343869018386,0.820094320830406,0.410047160415203,0.00194954568458775,100,100,100
"4",21020,2,1,"ag",16,4.6,0.0536433228785764,0.0268216614392882,4.35583781774041e-05,0.0500343869018386,1.07212911359978,0.536064556799888,0.000870568840243017,28.9119693489286,21.7131764942116,28.9119693489286
"5",21020,2,1,"bg",16,4.6,0,0,0,0.0500343869018386,0,0,0,28.9119693489286,21.7131764942116,28.9119693489286
"6",21020,2,1,"total",16,4.6,0.0536433228785764,0.0268216614392882,4.35583781774041e-05,0.0500343869018386,1.07212911359978,0.536064556799888,0.000870568840243017,28.9119693489286,21.7131764942116,28.9119693489286
"7",21020,2,2,"ag",22,14.1,0.089895342106859,0.0449476710534295,0.00011029606627519,0.0500343869018386,1.7966712030113,0.898335601505648,0.00220440527214968,48.4506036564514,54.9808797723512,48.4506036564514
"8",21020,2,2,"bg",22,14.1,0,0,0,0.0500343869018386,0,0,0,48.4506036564514,54.9808797723512,48.4506036564514
"9",21020,2,2,"total",22,14.1,0.089895342106859,0.0449476710534295,0.00011029606627519,0.0500343869018386,1.7966712030113,0.898335601505648,0.00220440527214968,48.4506036564514,54.9808797723512,48.4506036564514
"10",21020,2,3,"ag",22,7.6,0.0420015250693259,0.021000762534663,4.67535973464311e-05,0.0500343869018386,0.839453177506258,0.419726588753129,0.000934429304353343,22.6374269946201,23.3059437334372,22.6374269946201
"11",21020,2,3,"bg",22,7.6,0,0,0,0.0500343869018386,0,0,0,22.6374269946201,23.3059437334372,22.6374269946201
"12",21020,2,3,"total",22,7.6,0.0420015250693259,0.021000762534663,4.67535973464311e-05,0.0500343869018386,0.839453177506258,0.419726588753129,0.000934429304353343,22.6374269946201,23.3059437334372,22.6374269946201
"13",21020,3,1,"ag",14.3333333333333,6,0.211717583792193,0.105858791896096,0.00017191467803926,0.0500343869018386,4.23144155253779,2.1157207762689,0.00343593054066069,100,100,100
"14",21020,3,1,"bg",14.3333333333333,6,0,0,0,0.0500343869018386,0,0,0,100,100,100
"15",21020,3,1,"total",14.3333333333333,6,0.211717583792193,0.105858791896096,0.00017191467803926,0.0500343869018386,4.23144155253779,2.1157207762689,0.00343593054066069,100,100,100
"16",21020,4,1,"ag",15.2,3.8,0.071233178685842,0.035616589342921,5.78413410929037e-05,0.0500343869018386,1.423684451767,0.7118422258835,0.0011560317748348,94.4290180816407,94.4290180816407,94.4290180816407
"17",21020,4,1,"bg",15.2,3.8,0,0,0,0.0500343869018386,0,0,0,94.4290180816407,94.4290180816407,94.4290180816407
"18",21020,4,1,"total",15.2,3.8,0.071233178685842,0.035616589342921,5.78413410929037e-05,0.0500343869018386,1.423684451767,0.7118422258835,0.0011560317748348,94.4290180816407,94.4290180816407,94.4290180816407
"19",21020,4,4,"ag",14,1.3,0.00420250849270707,0.00210125424635353,3.41243689607814e-06,0.0500343869018386,0.0839924050823662,0.0419962025411831,6.82018329268814e-05,5.57098191835932,5.57098191835932,5.57098191835932
"20",21020,4,4,"bg",14,1.3,0,0,0,0.0500343869018386,0,0,0,5.57098191835932,5.57098191835932,5.57098191835932
"21",21020,4,4,"total",14,1.3,0.00420250849270707,0.00210125424635353,3.41243689607814e-06,0.0500343869018386,0.0839924050823662,0.0419962025411831,6.82018329268814e-05,5.57098191835932,5.57098191835932,5.57098191835932
"22",21020,5,1,"ag",14,2.79090909090909,0.128243896189985,0.0641219480949925,0.000104134043706268,0.0500343869018386,2.56311517200329,1.28155758600164,0.00208124951966667,78.5614210657993,78.5614210657994,78.5614210657993
"23",21020,5,1,"bg",14,2.79090909090909,0,0,0,0.0500343869018386,0,0,0,78.5614210657993,78.5614210657994,78.5614210657993
"24",21020,5,1,"total",14,2.79090909090909,0.128243896189985,0.0641219480949925,0.000104134043706268,0.0500343869018386,2.56311517200329,1.28155758600164,0.00208124951966667,78.5614210657993,78.5614210657994,78.5614210657993
"25",21020,5,3,"ag",17,1.8,0.0106226672395832,0.00531133361979159,8.62560579854154e-06,0.0500343869018386,0.212307332963299,0.106153666481649,0.000172393554366199,6.50738053540155,6.50738053540155,6.50738053540155
"26",21020,5,3,"bg",17,1.8,0,0,0,0.0500343869018386,0,0,0,6.50738053540155,6.50738053540155,6.50738053540155
"27",21020,5,3,"total",17,1.8,0.0106226672395832,0.00531133361979159,8.62560579854154e-06,0.0500343869018386,0.212307332963299,0.106153666481649,0.000172393554366199,6.50738053540155,6.50738053540155,6.50738053540155
"28",21020,5,4,"ag",19,0.875,0.024373732443611,0.0121868662218055,1.97914707442122e-05,0.0500343869018386,0.487139624423286,0.243569812211643,0.000395557375031708,14.9311983987991,14.9311983987991,14.9311983987991
"29",21020,5,4,"bg",19,0.875,0,0,0,0.0500343869018386,0,0,0,14.9311983987991,14.9311983987991,14.9311983987991
"30",21020,5,4,"total",19,0.875,0.024373732443611,0.0121868662218055,1.97914707442122e-05,0.0500343869018386,0.487139624423286,0.243569812211643,0.000395557375031708,14.9311983987991,14.9311983987991,14.9311983987991
