"","plot_ID","compartiment","V_m3_plot","B_t_plot","C_t_plot","N_t_plot","Nt_plot","plot_A_ha","MoMoK_A_ha","V_m3_ha","B_t_ha","C_t_ha","N_t_ha","Nt_ha","V_m3_MA","B_t_MA","C_t_MA","N_t_MA","Nt_MA","N_dec_type_plot","N_DW_type_plot"
"1",21020,"ag",1.98295230599289,0.696126673591838,0.348063336795919,0.000723482471630409,33,0.0500343869018386,0.25,39.6317898305259,13.9129649966043,6.95648249830216,0.014459704943518,659.546404850368,9.90794745763147,3.47824124915108,1.73912062457554,0.0036149262358795,164.886601212592,5,4
"2",21020,"bg",1.98295230599289,0,0,0,33,0.0500343869018386,0.25,39.6317898305259,0,0,0,659.546404850368,9.90794745763147,0,0,0,164.886601212592,5,4
"3",21020,"total",1.98295230599289,0.696126673591838,0.348063336795919,0.000723482471630409,33,0.0500343869018386,0.25,39.6317898305259,13.9129649966043,6.95648249830216,0.014459704943518,659.546404850368,9.90794745763147,3.47824124915108,1.73912062457554,0.0036149262358795,164.886601212592,5,4
"4",21030,"ag",0.331924223365579,0.138478142636169,0.0692390713180843,0.00014974530030499,6,0.0500343869018386,0.25,6.63392206677328,2.76765942806186,1.38382971403093,0.00299284771089075,119.917528154612,1.65848051669332,0.691914857015466,0.345957428507733,0.000748211927722686,29.9793820386531,4,3
"5",21030,"bg",0.331924223365579,0,0,0,6,0.0500343869018386,0.25,6.63392206677328,0,0,0,119.917528154612,1.65848051669332,0,0,0,29.9793820386531,4,3
"6",21030,"total",0.331924223365579,0.138478142636169,0.0692390713180843,0.00014974530030499,6,0.0500343869018386,0.25,6.63392206677328,2.76765942806186,1.38382971403093,0.00299284771089075,119.917528154612,1.65848051669332,0.691914857015466,0.345957428507733,0.000748211927722686,29.9793820386531,4,3
"7",23060,"ag",0.752929372416172,0.183240504010427,0.0916202520052137,0.000409679821366843,18,0.0500343869018386,0.25,15.0482382025252,3.66229138312263,1.83114569156131,0.00818796525218917,359.752584463837,3.76205955063129,0.915572845780657,0.457786422890329,0.00204699131304729,89.9381461159593,4,3
"8",23060,"bg",0.752929372416172,0,0,0,18,0.0500343869018386,0.25,15.0482382025252,0,0,0,359.752584463837,3.76205955063129,0,0,0,89.9381461159593,4,3
"9",23060,"total",0.752929372416172,0.183240504010427,0.0916202520052137,0.000409679821366843,18,0.0500343869018386,0.25,15.0482382025252,3.66229138312263,1.83114569156131,0.00818796525218917,359.752584463837,3.76205955063129,0.915572845780657,0.457786422890329,0.00204699131304729,89.9381461159593,4,3
"10",23061,"ag",0.959343068478449,0.224426301280052,0.112213150640026,0.00019590524946084,37,0.0500343869018386,0.25,19.1736749040328,4.48544121706436,2.24272060853218,0.00391541221130945,739.491423620109,4.79341872600819,1.12136030426609,0.560680152133045,0.000978853052827362,184.872855905027,3,3
"11",23061,"bg",0.959343068478449,0,0,0,37,0.0500343869018386,0.25,19.1736749040328,0,0,0,739.491423620109,4.79341872600819,0,0,0,184.872855905027,3,3
"12",23061,"total",0.959343068478449,0.224426301280052,0.112213150640026,0.00019590524946084,37,0.0500343869018386,0.25,19.1736749040328,4.48544121706436,2.24272060853218,0.00391541221130945,739.491423620109,4.79341872600819,1.12136030426609,0.560680152133045,0.000978853052827362,184.872855905027,3,3
"13",23090,"ag",0.713824828767039,0.173234071241385,0.0866170356206926,0.000231267485107249,9,0.0500343869018386,0.25,14.2666848335221,3.46230026923782,1.73115013461891,0.00462217085943249,179.876292231919,3.56667120838053,0.865575067309455,0.432787533654728,0.00115554271485812,44.9690730579796,2,2
"14",23090,"bg",0.713824828767039,0,0,0,9,0.0500343869018386,0.25,14.2666848335221,0,0,0,179.876292231919,3.56667120838053,0,0,0,44.9690730579796,2,2
"15",23090,"total",0.713824828767039,0.173234071241385,0.0866170356206926,0.000231267485107249,9,0.0500343869018386,0.25,14.2666848335221,3.46230026923782,1.73115013461891,0.00462217085943249,179.876292231919,3.56667120838053,0.865575067309455,0.432787533654728,0.00115554271485812,44.9690730579796,2,2
"16",23110,"ag",0.285463599530009,0.0672036605659342,0.0336018302829671,0.000295551865340788,4,0.0500343869018386,0.25,5.70534820562614,1.34314947633474,0.671574738167369,0.00590697485552536,79.9450187697416,1.42633705140654,0.335787369083685,0.167893684541842,0.00147674371388134,19.9862546924354,3,2
"17",23110,"bg",0.285463599530009,0,0,0,4,0.0500343869018386,0.25,5.70534820562614,0,0,0,79.9450187697416,1.42633705140654,0,0,0,19.9862546924354,3,2
"18",23110,"total",0.285463599530009,0.0672036605659342,0.0336018302829671,0.000295551865340788,4,0.0500343869018386,0.25,5.70534820562614,1.34314947633474,0.671574738167369,0.00590697485552536,79.9450187697416,1.42633705140654,0.335787369083685,0.167893684541842,0.00147674371388134,19.9862546924354,3,2
"19",23150,"ag",0.710820515504975,0.206827440082025,0.103413720041013,0.000498063660930407,12,0.0500343869018386,0.25,14.2066398634906,4.13370589486378,2.06685294743189,0.0099544271804019,239.835056309225,3.55165996587266,1.03342647371594,0.516713236857972,0.00248860679510048,59.9587640773062,4,4
"20",23150,"bg",0.710820515504975,0,0,0,12,0.0500343869018386,0.25,14.2066398634906,0,0,0,239.835056309225,3.55165996587266,0,0,0,59.9587640773062,4,4
"21",23150,"total",0.710820515504975,0.206827440082025,0.103413720041013,0.000498063660930407,12,0.0500343869018386,0.25,14.2066398634906,4.13370589486378,2.06685294743189,0.0099544271804019,239.835056309225,3.55165996587266,1.03342647371594,0.516713236857972,0.00248860679510048,59.9587640773062,4,4
