"","plot_ID","C_layer","SP_code","mean_DBH_cm","sd_DBH_cm","d_g","mean_H_m","sd_height_m","h_g","SP_BA_plot","mean_BA_SP_plot","SP_BA_m2ha","tot_BA_m2ha","Nt_plot","Nt_ha","BA_SP_per","dom_SP"
"1",21020,1,"MBI",17.8333333333333,5.52931581059839,1.83959234614629,16.1,2.16333076527839,16.1,0.0797359777425992,0.0265786592475331,1.59362355931395,41.9694242718398,3,59.9587640773062,3.79710607653777,"SER"
"2",21020,1,"SER",23.374,5.08168789066997,2.3908023153559,16.0647208393328,0.785913861755519,16.0647208393328,2.02017843432205,0.0448928540960455,40.3758007125259,41.9694242718398,45,899.381461159593,96.2028939234622,"SER"
"3",21020,2,"MBI",11.1,NA,1.11,12.5,NA,12.5,0.00967689077121996,0.00967689077121996,0.19340480358448,1.40188720768734,1,19.9862546924354,13.7960317009765,"SER"
"4",21020,2,"SER",10.3116666666667,1.47581051177537,1.03993020599141,8.7271147483198,2.22590422017036,8.7271147483198,0.0509623583938376,0.00849372639897294,1.01854667458641,1.40188720768734,6,119.917528154612,72.6553940289306,"SER"
"5",21020,2,"SWE",11,NA,1.1,10.733136722314,NA,10.733136722314,0.00950331777710912,0.00950331777710912,0.189935729516452,1.40188720768734,1,19.9862546924354,13.548574270093,"SER"
"6",21030,1,"SER",32.1166666666667,7.64971049048494,3.29658511864087,17.2882963348186,2.2759240665889,17.2882963348186,1.5363528631267,0.0853529368403721,30.7059396199025,30.7059396199025,18,359.752584463837,100,"SER"
"7",23060,1,"GFI",39.9941176470588,8.38989078472891,4.083931208731,29.9578748670753,1.75319743349559,29.9578748670753,4.45374794039995,0.130992586482351,89.013740672743,89.013740672743,34,679.532659542803,100,"GFI"
"8",23061,1,"MBI",16.9581632653061,3.38017114548792,1.72850132679576,18.1247431270139,1.51825876636198,18.1247431270139,1.1498081849983,0.0234654731632306,22.9803592328229,22.9803592328229,49,979.326479929334,100,"MBI"
"9",23150,1,"GKI",30.5422222222222,2.6783800037419,3.06464349929609,16.9044056594183,1.99740493889437,16.9044056594183,0.66388417128202,0.0737649079202245,13.2685581335189,15.9342668543629,9,179.876292231919,83.2705907011079,"GKI"
"10",23150,1,"STR",23.3,5.89660919512223,2.3792225620988,12.6,1.113552872566,12.6,0.133377101506318,0.0444590338354394,2.66570872084408,15.9342668543629,3,59.9587640773062,16.7294092988921,"GKI"
"11",23150,2,"ELA",8.7,NA,0.87,5.3,NA,5.3,0.00594467869875529,0.00594467869875529,0.118811862538019,4.33719023209204,1,19.9862546924354,2.73937402281545,"MBI"
"12",23150,2,"GFI",10.5333333333333,1.15470053837925,1.05754432531218,7.16666666666667,2.58134331953991,7.16666666666667,0.0263516791783112,0.00878389305943706,0.526671371631074,4.33719023209204,3,59.9587640773062,12.1431466790202,"MBI"
"13",23150,2,"MBI",9.95714285714286,2.1819942486402,1.01767241431472,4.5035395538786,3.66388370769073,4.50353955387861,0.113876450507323,0.00813403217909449,2.27596374330987,4.33719023209204,14,279.807565694096,52.4755341942208,"MBI"
"14",23150,2,"STR",11.8166666666667,3.58073549241865,1.22604377300867,8.26666666666667,1.93769622662239,8.26666666666667,0.0708358457549793,0.0118059742924965,1.41574325461308,4.33719023209204,6,119.917528154612,32.6419451039435,"MBI"
"15",23170,1,"GKI",15.6190243902439,4.14357985616185,1.61463436924322,10.1667656879233,2.0647555276946,10.1667656879233,0.839502750617388,0.0204756768443265,16.7785157888392,16.7785157888392,41,819.436442389851,100,"GKI"
"16",23170,2,"GFI",8.5,NA,0.85,6.3,NA,6.3,0.00567450173054656,0.00567450173054656,0.113412036839369,0.335213016844945,1,19.9862546924354,33.8328260360571,"GKI"
"17",23170,2,"GKI",8.4,0.42426406871193,0.840535543567314,5.7,0.282842712474619,5.7,0.0110976760488059,0.00554883802440297,0.221800980005576,0.335213016844945,2,39.9725093848708,66.1671739639429,"GKI"
"18",25100,1,"MBI",19.94,6.6013584460574,2.09393866314178,10.5210470987003,2.02158395335187,10.5210470987003,0.550982462727327,0.0344364039204579,11.0120758311336,13.5483771012229,16,319.780075078966,81.2796672904808,"MBI"
"19",25100,1,"SER",22.9,4.61194102304008,2.3207541877588,10.7666666666667,0.472581562625261,10.7666666666667,0.12690227904727,0.0423007596824232,2.53630127008924,13.5483771012229,3,59.9587640773062,18.7203327095192,"MBI"
"20",25100,2,"MBI",15.2,8.29390740242499,1.66402904622085,8.4,5.3507008886687,8.4,0.0652428526458301,0.02174761754861,1.30396026984059,3.71515511313263,3,59.9587640773062,35.0984072032753,"SER"
"21",25100,2,"SER",10.2071428571429,2.44114231952499,1.04746974044259,5.02917040542594,2.95979533913123,5.02917040542595,0.120642655684992,0.00861733254892799,2.41119484329204,3.71515511313263,14,279.807565694096,64.9015927967247,"SER"
"22",26010,1,"MBI",22.9464285714286,6.84430930486248,2.39221196206117,17.8945329085427,2.12998064338264,17.8945329085427,1.88772395574624,0.0449458084701485,37.7285317685559,37.7285317685559,42,839.422697082287,100,"MBI"
"23",26010,2,"MBI",9,NA,0.9,10.2,NA,10.2,0.00636172512351933,0.00636172512351933,0.127147058601922,0.127147058601922,1,19.9862546924354,100,"MBI"
"24",26020,1,"MBI",36.15,5.86898628384835,3.63874291479901,18.15,1.34350288425444,18.15,0.207980502251115,0.103990251125557,4.15675128905142,33.1048964803183,2,39.9725093848708,12.5563035411475,"SER"
