"","plot_ID","compartiment","stand_component","B_t_plot","C_t_plot","N_t_plot","Nt_plot","B_t_MA","C_t_MA","N_t_MA","Nt_MA","B_t_ha","C_t_ha","N_t_ha","Nt_ha"
"1",21020,"ag","LT",8.65837533368905,4.32918766684452,0.0396641390244808,504,43.2621236604524,21.6310618302262,0.19818439617486,2518.26809124686,173.04849464181,86.5242473209048,0.792737584699439,10073.0723649874
"2",21020,"bg","LT",0.00150049282913229,0.000750246414566145,0.00309199848333652,504,0.00749730796180272,0.00374865398090136,0.0154493672991469,2518.26809124686,0.0299892318472109,0.0149946159236054,0.0617974691965876,10073.0723649874
"3",21020,"f","LT",0.326003402899514,0.163001701449757,0.0118698525891619,504,1.62889676023758,0.814448380118789,0.0593084742521632,2518.26809124686,6.51558704095031,3.25779352047516,0.237233897008653,10073.0723649874
"4",21020,"fw","LT",2.30490380807468,1.15245190403734,0.00548180499733036,504,11.5165986374362,5.75829931871811,0.0273901877127274,2518.26809124686,46.0663945497449,23.0331972748724,0.10956075085091,10073.0723649874
"5",21020,"stw","LT",0.186553168612737,0.0932765843063687,0.00592663929594115,504,0.932124785393753,0.466062392696877,0.029612830609719,2518.26809124686,3.72849914157501,1.86424957078751,0.118451322438876,10073.0723649874
"6",21020,"stwb","LT",0.0113591920491533,0.00567959602457663,0.00532043548707859,504,0.056756926348666,0.028378463174333,0.0265838946798561,2518.26809124686,0.227027705394664,0.113513852697332,0.106335578719424,10073.0723649874
"7",21020,"sw","LT",5.73314482120208,2.86657241060104,0.00513887647246099,504,28.6460231462904,14.3230115731452,0.0256767235028923,2518.26809124686,114.584092585162,57.2920462925808,0.102706894011569,10073.0723649874
"8",21020,"swb","LT",0.422414343750397,0.211207171875198,0.00592653018250782,504,2.11062016498335,1.05531008249167,0.0296122854175017,2518.26809124686,8.44248065993339,4.22124032996669,0.118449141670007,10073.0723649874
"9",21020,"total","LT",8.98587922941769,4.49293961470885,0.0427561375078173,504,44.8985177286518,22.4492588643259,0.213633763474007,2518.26809124686,179.594070914607,89.7970354573036,0.854535053896026,10073.0723649874
"10",21030,"ag","LT",7.09870998497343,3.54935499248672,0.00380842394911766,162,35.4691564368533,17.7345782184266,0.019029032755959,809.443315043633,141.876625747413,70.9383128737066,0.0761161310238361,3237.77326017453
