"","plot_ID","loc_name","state","date","CCS_nr","t_ID","SP_group","DW_type","L_dm","D_cm","dec_type","dom_SP","tpS_SP_com_name","tpS_ID","LH_NH","L_m","D_m","D_h_m","dec_type_BWI"
"18",32020,"Postluch/Britz","BB","15.02.2022","MB",18,1,1,50,13,2,"SER","Alnus spp.",28,"LB",5,0.13,1.3,1
"19",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","1",1,2,4,2,30,4,"GFI","Picea abies",1,"NB",0.2,0.3,1.3,3
"20",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","1",2,2,4,3,19,5,"GFI","Picea abies",1,"NB",0.3,0.19,1.3,4
"21",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","1",3,2,4,2.2,31,1,"GFI","Picea abies",1,"NB",0.22,0.31,1.3,1
"22",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","1",4,2,4,2.3,27,4,"GFI","Picea abies",1,"NB",0.23,0.27,1.3,3
"23",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","1",5,2,4,2.5,27,4,"GFI","Picea abies",1,"NB",0.25,0.27,1.3,3
"24",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","1",6,2,4,2,26,3,"GFI","Picea abies",1,"NB",0.2,0.26,1.3,2
"25",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","1",7,2,4,2.5,24,4,"GFI","Picea abies",1,"NB",0.25,0.24,1.3,3
"26",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","1",8,2,4,3.4,26,4,"GFI","Picea abies",1,"NB",0.34,0.26,1.3,3
"27",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","1",9,2,4,2.8,12,3,"GFI","Picea abies",1,"NB",0.28,0.12,1.3,2
"28",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","1",10,2,4,3.3,47,5,"GFI","Picea abies",1,"NB",0.33,0.47,1.3,4
"29",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","1",11,2,4,2,24,1,"GFI","Picea abies",1,"NB",0.2,0.24,1.3,1
"30",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","1",12,2,4,2,14,2,"GFI","Picea abies",1,"NB",0.2,0.14,1.3,1
"31",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","1",13,2,4,3,32,2,"GFI","Picea abies",1,"NB",0.3,0.32,1.3,1
"32",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","1",14,2,4,3,40,4,"GFI","Picea abies",1,"NB",0.3,0.4,1.3,3
"33",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","1",15,2,4,2.4,30,4,"GFI","Picea abies",1,"NB",0.24,0.3,1.3,3
"34",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","1",16,2,4,2.4,32.5,3,"GFI","Picea abies",1,"NB",0.24,0.32,1.3,2
"35",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","1",17,2,4,2.7,30,2,"GFI","Picea abies",1,"NB",0.27,0.3,1.3,1
"36",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","1",18,2,4,2.2,51,4,"GFI","Picea abies",1,"NB",0.22,0.51,1.3,3
"37",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","1",19,2,4,2.4,10.5,3,"GFI","Picea abies",1,"NB",0.24,0.1,1.3,2
"38",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","1",20,2,4,2.1,26,1,"GFI","Picea abies",1,"NB",0.21,0.26,1.3,1
"39",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","1",21,2,4,3.4,35,2,"GFI","Picea abies",1,"NB",0.34,0.35,1.3,1
"40",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","1",22,2,4,2.5,14,1,"GFI","Picea abies",1,"NB",0.25,0.14,1.3,1
"41",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","1",23,2,4,2,26.5,2,"GFI","Picea abies",1,"NB",0.2,0.26,1.3,1
"42",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","1",24,2,4,3,20,3,"GFI","Picea abies",1,"NB",0.3,0.2,1.3,2
"43",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","1",25,2,4,2.7,23,1,"GFI","Picea abies",1,"NB",0.27,0.23,1.3,1
"44",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","1",26,2,4,2.6,28,2,"GFI","Picea abies",1,"NB",0.26,0.28,1.3,1
"45",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","1",27,2,4,3,25,2,"GFI","Picea abies",1,"NB",0.3,0.25,1.3,1
"46",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","1",28,2,4,2.1,45,5,"GFI","Picea abies",1,"NB",0.21,0.45,1.3,4
"47",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","1",29,2,4,2,24.5,2,"GFI","Picea abies",1,"NB",0.2,0.24,1.3,1
"48",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","1",30,2,4,2,11,3,"GFI","Picea abies",1,"NB",0.2,0.11,1.3,2
"49",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","1",31,2,4,2,17,4,"GFI","Picea abies",1,"NB",0.2,0.17,1.3,3
"50",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","1",32,2,4,3.4,48,4,"GFI","Picea abies",1,"NB",0.34,0.48,1.3,3
"51",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","1",33,2,4,2,26.5,2,"GFI","Picea abies",1,"NB",0.2,0.26,1.3,1
"52",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","1",34,2,4,2,13.5,3,"GFI","Picea abies",1,"NB",0.2,0.13,1.3,2
"53",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","1",35,2,4,2.2,50.5,5,"GFI","Picea abies",1,"NB",0.22,0.5,1.3,4
"54",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","1",36,2,4,2.7,25,2,"GFI","Picea abies",1,"NB",0.27,0.25,1.3,1
"55",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","1",37,2,4,2,15.5,3,"GFI","Picea abies",1,"NB",0.2,0.15,1.3,2
"56",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","1",38,2,4,4.1,51,4,"GFI","Picea abies",1,"NB",0.41,0.51,1.3,3
"57",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","1",39,2,4,2.6,18.5,2,"GFI","Picea abies",1,"NB",0.26,0.18,1.3,1
"58",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","1",40,2,4,2.4,24,1,"GFI","Picea abies",1,"NB",0.24,0.24,1.3,1
"59",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","1",41,2,4,2.4,30,5,"GFI","Picea abies",1,"NB",0.24,0.3,1.3,4
"60",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","1",42,2,4,3.2,34,4,"GFI","Picea abies",1,"NB",0.32,0.34,1.3,3
"61",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","1",43,2,4,2.8,27.5,3,"GFI","Picea abies",1,"NB",0.28,0.27,1.3,2
