"","plot_ID","dec_type","D_mean","L_mean","B_t","C_t","N_t","V_tot_m3","plot_A_ha","MoMoK_A_ha","B_t_ha","C_t_ha","N_t_ha","V_tot_m3_ha","B_t_MA","C_t_MA","N_t_MA","V_tot_m3_MA","C_share","N_share","B_share","V_share"
"1",21020,1,31,15.3,0.0327780849610082,0.0163890424805041,9.08413998197355e-05,0.0565139395879451,0.0500343869018386,0.25,0.655111154360995,0.327555577180498,0.00181557935341459,1.12950199027758,0.163777788590249,0.0818888942951244,0.000453894838353647,0.282375497569395,5.75065410002799,15.8800744070121,5.75065410002799,3.20106465028496
"2",21020,2,20.5,8.475,0.0868171597434579,0.043408579871729,0.000115485460786337,0.149684758178376,0.0500343869018386,0.25,1.7351498663066,0.8675749331533,0.002308121832549,2.99163770052862,0.43378746657665,0.216893733288325,0.000577030458137249,0.747909425132155,15.2313796314032,20.1881269317109,15.2313796314032,8.47844959287635
"3",21020,3,14.3333333333333,6,0.211717583792193,0.105858791896096,0.00017191467803926,0.572209685924845,0.0500343869018386,0.25,4.23144155253779,2.1157207762689,0.00343593054066069,11.4363285203724,1.05786038813445,0.528930194067224,0.000858982635165172,2.8590821300931,37.14416485072,30.0525738742292,37.14416485072,32.4111221323419
"4",21020,4,15,3.38333333333333,0.0754356871785491,0.0377178435892745,6.12537779889819e-05,0.359217557993091,0.0500343869018386,0.25,1.50767685684937,0.753838428424683,0.00122423360776168,7.1794136040446,0.376919214212341,0.188459607106171,0.000306058401940421,1.79485340101115,13.23459086392,10.7078331477264,13.23459086392,20.3468141672192
"5",21020,5,15.4375,2.25,0.163240295873179,0.0816201479365896,0.000132551120249022,0.62784729181992,0.0500343869018386,0.25,3.26256212938987,1.63128106469494,0.00264920044906458,12.5483158822687,0.815640532347468,0.407820266173734,0.000662300112266144,3.13707897056718,28.6392105539288,23.1713916393214,28.6392105539288,35.5625494572776
"6",21030,1,25,16.9,0.0162541360305935,0.00812706801529673,0.000127646248250142,0.0280243724665404,0.0500343869018386,0.25,0.324859302512932,0.162429651256466,0.00255117042806117,0.560102245711951,0.0812148256282329,0.0406074128141164,0.000637792607015293,0.140025561427988,10.9889532781224,54.4209331125862,10.9889532781224,8.04854155082426
"7",21030,2,13,9.7,0.0746751861369313,0.0373375930684657,6.06362511431883e-05,0.128750320925744,0.0500343869018386,0.25,1.49247728933773,0.746238644668865,0.00121189155894224,2.57323670575471,0.373119322334433,0.186559661167216,0.000302972889735559,0.643309176438677,50.4857428256598,25.8517693461293,50.4857428256598,36.9768246867984
"8",21030,3,12,5.8,0.0242706882045733,0.0121353441022867,1.97077988221135e-05,0.0655964546069549,0.0500343869018386,0.25,0.48508015601729,0.242540078008645,0.000393885086686039,1.31102744869538,0.121270039004322,0.0606350195021612,9.84712716715098e-05,0.327756862173844,16.4087133395422,8.40225871263203,16.4087133395422,18.8391654843006
"9",21030,5,14,2.73333333333333,0.0327134043018305,0.0163567021509153,2.65632842930864e-05,0.125820785776271,0.0500343869018386,0.25,0.653818430232996,0.326909215116498,0.000530900565349193,2.51468627012691,0.163454607558249,0.0817273037791245,0.000132725141337298,0.628671567531727,22.1165905566756,11.3250388286524,22.1165905566756,36.1354682780767
"10",23060,2,16,10.4666666666667,0.141762376556006,0.0708811882780031,0.000657002431562117,0.381081657408619,0.0500343869018386,0.25,2.83329896365327,1.41664948182664,0.0131310179307498,7.61639506358407,0.708324740913318,0.354162370456659,0.00328275448268745,1.90409876589602,66.2831351580871,87.2198807672919,66.2831351580871,45.6233642173992
"11",23060,3,7,9.7,0.0229952644190689,0.0114976322095345,3.0698677999457e-05,0.0746599494125614,0.0500343869018386,0.25,0.459589211399409,0.229794605699704,0.000613551597218211,1.4921727642838,0.114897302849852,0.0574486514249261,0.000153387899304553,0.373043191070949,10.7517823594255,4.07538070819602,10.7517823594255,8.93834168683042
