"","plot_ID","SP_code","compartiment","B_t_plot","C_t_plot","N_t_plot","plot_A_ha","MoMok_A_ha","B_t_ha","C_t_ha","N_t_ha","B_t_MA","C_t_MA","N_t_MA","mean_D_cm","mean_H_m","N_trees_plot","plot_tot_B_t","plot_tot_C_t","plot_tot_N_t","plot_tot_N_trees","tot_N_trees_ha","tot_N_trees_MA","SP_N_trees_ha","SP_N_trees_MA","B_SP_share","C_SP_share","N_SP_share","N_trees_SP_share"
"1",21020,"BAH","ag",6.2987728090187e-05,3.14938640450935e-05,2.6946150076982e-07,0.0271000065483963,0.25,0.00232426984759952,0.00116213492379976,9.94322640803075e-06,0.00058106746189988,0.00029053373094994,2.48580660200769e-06,0,1.1,1,0.0232003847143283,0.0116001923571641,0.000162691344856455,26,959.409362265952,239.852340566488,36.900360087152,9.225090021788,0.271494325916443,0.271494325916443,0.165627434580229,0.0384615384615385
"2",21020,"BAH","bg",0,0,0,0.0271000065483963,0.25,0,0,0,0,0,0,0,1.1,1,0.0232003847143283,0.0116001923571641,0.000162691344856455,26,959.409362265952,239.852340566488,36.900360087152,9.225090021788,0,0,0,0.0384615384615385
"3",21020,"BAH","f",0,0,0,0.0271000065483963,0.25,0,0,0,0,0,0,0,1.1,1,0.0232003847143283,0.0116001923571641,0.000162691344856455,26,959.409362265952,239.852340566488,36.900360087152,9.225090021788,0,0,0,0.0384615384615385
"4",21020,"BAH","stem",6.2987728090187e-05,3.14938640450935e-05,2.6946150076982e-07,0.0271000065483963,0.25,0.00232426984759952,0.00116213492379976,9.94322640803075e-06,0.00058106746189988,0.00029053373094994,2.48580660200769e-06,0,1.1,1,0.0232003847143283,0.0116001923571641,0.000162691344856455,26,959.409362265952,239.852340566488,36.900360087152,9.225090021788,0.271494325916443,0.271494325916443,0.165627434580229,0.0384615384615385
"5",21020,"BAH","total",6.2987728090187e-05,3.14938640450935e-05,2.6946150076982e-07,0.0271000065483963,0.25,0.00232426984759952,0.00116213492379976,9.94322640803075e-06,0.00058106746189988,0.00029053373094994,2.48580660200769e-06,0,1.1,1,0.0232003847143283,0.0116001923571641,0.000162691344856455,26,959.409362265952,239.852340566488,36.900360087152,9.225090021788,0.271494325916443,0.271494325916443,0.165627434580229,0.0384615384615385
"6",21020,"HAN","ag",8.160765182572e-07,4.080382591286e-07,3.75476806050138e-09,0.0271000065483963,0.25,3.011351738236e-05,1.505675869118e-05,1.38552293476238e-07,7.52837934558999e-06,3.764189672795e-06,3.46380733690596e-08,0,0.2,1,0.0232003847143283,0.0116001923571641,0.000162691344856455,26,959.409362265952,239.852340566488,36.900360087152,9.225090021788,0.00351751287017754,0.00351751287017754,0.00230790892030198,0.0384615384615385
"7",21020,"HAN","bg",0,0,0,0.0271000065483963,0.25,0,0,0,0,0,0,0,0.2,1,0.0232003847143283,0.0116001923571641,0.000162691344856455,26,959.409362265952,239.852340566488,36.900360087152,9.225090021788,0,0,0,0.0384615384615385
"8",21020,"HAN","f",0,0,0,0.0271000065483963,0.25,0,0,0,0,0,0,0,0.2,1,0.0232003847143283,0.0116001923571641,0.000162691344856455,26,959.409362265952,239.852340566488,36.900360087152,9.225090021788,0,0,0,0.0384615384615385
"9",21020,"HAN","stem",8.160765182572e-07,4.080382591286e-07,3.75476806050138e-09,0.0271000065483963,0.25,3.011351738236e-05,1.505675869118e-05,1.38552293476238e-07,7.52837934558999e-06,3.764189672795e-06,3.46380733690596e-08,0,0.2,1,0.0232003847143283,0.0116001923571641,0.000162691344856455,26,959.409362265952,239.852340566488,36.900360087152,9.225090021788,0.00351751287017754,0.00351751287017754,0.00230790892030198,0.0384615384615385
"10",21020,"HAN","total",8.160765182572e-07,4.080382591286e-07,3.75476806050138e-09,0.0271000065483963,0.25,3.011351738236e-05,1.505675869118e-05,1.38552293476238e-07,7.52837934558999e-06,3.764189672795e-06,3.46380733690596e-08,0,0.2,1,0.0232003847143283,0.0116001923571641,0.000162691344856455,26,959.409362265952,239.852340566488,36.900360087152,9.225090021788,0.00351751287017754,0.00351751287017754,0.00230790892030198,0.0384615384615385
"11",21020,"MBI","ag",0.0029299086074072,0.0014649543037036,1.78023381565419e-05,0.0271000065483963,0.25,0.108114682635772,0.054057341317886,0.000656912688369641,0.027028670658943,0.0135143353294715,0.00016422817209241,2.67,2.66,5,0.0232003847143283,0.0116001923571641,0.000162691344856455,26,959.409362265952,239.852340566488,184.50180043576,46.12545010894,12.6287069955255,12.6287069955255,10.9424002685878,0.192307692307692
"12",21020,"MBI","bg",1.55314976399178e-06,7.7657488199589e-07,5.74665412676959e-09,0.0271000065483963,0.25,5.73117855605719e-05,2.86558927802859e-05,2.12053606574116e-07,1.4327946390143e-05,7.16397319507149e-06,5.3013401643529e-08,2.67,2.66,5,0.0232003847143283,0.0116001923571641,0.000162691344856455,26,959.409362265952,239.852340566488,184.50180043576,46.12545010894,0.00669450004004707,0.00669450004004707,0.00353224329901504,0.192307692307692
"13",21020,"MBI","f",1.99907093889304e-06,9.99535469446519e-07,5.58817214764408e-08,0.0271000065483963,0.25,7.37664374849142e-05,3.68832187424571e-05,2.0620556447706e-06,1.84416093712285e-05,9.22080468561427e-06,5.1551391119265e-07,2.67,2.66,5,0.0232003847143283,0.0116001923571641,0.000162691344856455,26,959.409362265952,239.852340566488,184.50180043576,46.12545010894,0.0086165421975026,0.0086165421975026,0.0343483063132498,0.192307692307692
