bund_nr,ld_bze,bwi_tnr,bwi_eck,team,datum,srid_ist,istre,istho,hbi_status,beart,besttyp,struktur,schlussgrad_schi1,schlussgrad_schi2,mischung,pk1_aufnahme,pk2_aufnahme,pk3_aufnahme,geraet,beschreibungbestockung,anmerkung
140039,176,,,PiKü,2022-10-13,31468,4578850,5607400,2,1,1,4,5,6,1,1,1,1,Vertex,"- Hauptbestand: mittl-st Bmh
- GFI in Nordost geräumt (Käferloch)
- WZE-Satelliten in Nord und Ost ausgefallen (Borkenkäfer)
- RBU-Voranbau - Jungwuchs - flächig
+ zusätzliche Naturverjüngung: GBI + Vogelbeere + GFI
- Grenze 1: NHB - Holzpolter
- Grenze 2: Bestandesgrenze ","keine Angaben von ""Markierungsrohr zu Pflock"",
da der Pflock aufgrund des Holzeinschlags neben der Grube lag
- HBI-Mittelpunkt lokalisiert aber nicht für Derbholzaufnahme verwendbar, da er in der frisch ausgeschachteten Grube liegt 
- Neuaufnahme; ->>Messung von 5 Höhen pro Durchmesserstufe 
 "
140040,184,,,PiKü,2022-09-13,31468,4570300,5591700,1,1,1,5,6,2,1,1,1,1,Vertex IV,"- frisch durchforstet
- Hauptbestand: mittl-starkes Baumholz
- Unterbau aus WTA+RBU, Jungwuchs, gezäunt
- Naturverjüngung aus Vogelbeere+GFI+BAH, durchschnittlich 1m hoch",Markierungsrohr zu Pflock 345cm + 263gon
140041,186,,,PiKü,2022-10-19,31468,4578500,5599550,1,1,1,4,6,1,1,1,1,1,Vertex IV,"- Hauptbestand: mittl-st Bmh
+ mäßig wüchsig
+ minimal RBU eingemischt
+ Kronen allseitig gut entwickelt
+ vereinzelt Kronenbrüche (Schnee, Wind)

- Unterstand: GFI+VB+RBU (truppweise) + (BAH)
+ Jungbestand
+ nahezu 100% geschält (alt und frisch)

Kronenbruch bei Baumnr.: 17,",Markierungsrohr zu Pflock 486cm + 332gon
140042,191,,,PiKü,2022-10-14,31468,4562800,5608000,2,1,1,4,6,1,1,1,1,1,Vertex IV,"- Unterstand aus GFI - Jungbestand
- in Nordwest, etwa 80m von Mittelpunkt entfernt: Wildwiese
- Baum-Nr.: 46+51 - Kronenbrüche
","Markierungsrohr zu Pflock 140cm + 282gon
- Grube in 2022 neu angelegt, HBI-Punkt auch nach langem Suchen nicht auffindbar
-Neuaufnahme; ->>Messung von 5 Höhen pro Durchmesserstufe "
140043,194,,,PiKü,2022-10-14,31468,4554800,5608250,1,1,6,4,2,5,3,1,1,1,Vertex,"- keine Bodebgrube mehr  vorhanden. 
- Messung bei Pinnoccio 2 (Zentralbaum Nr. 194 bzw. WZE Nr. 19 - Rbu  Entfernung 324cm Azimut 135gon)
- Hauptbestand: mittl-st Bmh
- Unterstand: in SW eine Gruppe GFI - Jungbestand
+ ansonsten überwiegend Jungwuchs
- Baumnr. ,it Kronenbruch: 7, 10 --> Höhen dennoch gemessen",Markierungsrohr zu Pflock 235cm + 220gon
140044,198,,,PiKü,2022-10-13,31468,4562200,5592000,1,1,1,1,6,-1,1,1,1,1,Vertex IV,"- Hauptbestand: mittl Bmh; mit einigen wenigen in starkem Bmh
- zahlreiche Schälschäden
- Baum Nr.: 37 nur 285mm stark und somit außerhalb PK2
- Baum Nr.: 25+29+31, 41, 42 mit Kronenbrüchen",Markierungsrohr zu Pflock 362cm + 172gon
140045,200,,,PiKü,2022-09-13,31468,4554200,5592300,1,1,1,5,3,2,1,1,1,1,Vertex IV,"- einzelner markanter Überhälter - RBU - BHD: 1400mm !!
- ganz vereinzelte Einmischung von ELA, mittl Bmh 
- in Nordost: RBU - Stangenholz
- Baumnr.: 1 aufgrund seiner Entferung außerhalb von PK3",Markierungsrohr zu Pflock 432cm + 121gon
140046,205,,,PiKü,2022-10-14,31468,4546500,5600550,1,0,7,3,5,5,3,2,2,2,Vertex,"- Hauptbestand: Sukzession aus GBI+VB+GFI; Jungwuchs
- GFI-Altholz geräumt nach Buchdrucker",Markierungsrohr zu Pflock 250cm + 331gon
140047,209,,,,2022-09-13,31468,4546200,5592500,2,1,1,4,6,2,1,1,1,1,Vertex IV,"- Hauptbestand: mittl Bmh
- frische Durchforstung
- oftmals Stamm- und Rückeschäden
- zahlreiche Kronenbrüche
- vereinzelt RBU+Vogelbeere im Unterstand
- Kronenbruch bei Baumnr.: 46, 47, 50, 51, 56, 57-60, 64, 76, 77, 88, 90","Markierungsrohr zu Pflock 346cm + 317gon
-HBI-Punkt nicht auffindbar
-Neuaufnahme; ->>Messung von 5 Höhen pro Durchmesserstufe "
140048,212,,,PiKü,2022-11-03,31468,4538250,5592800,2,1,1,5,1,6,2,1,1,1,Vertex IV,"- Hauptbestand aus > 70% GFI, dann Pflanzung von ELA, WTA, RBU;
 zusätzlich Naturverjüngung aus VB, AS, GBI, Weide
+ WTA geastet
- Hauptbestand wüchsig
+ Jungbestand - Stangenholz
+ Alter 5-15 Jahre

Oberstand (Überhalt): GFI schw-st Bmh","Markierungsrohr zu Pflock 211cm + 257gon
- HBI-Punkt nicht auffindbar, da 2022 Grube und Pflock neu gesetzt wurde
- Aufnahme mit Bundesinventurleitung
- Neuaufnahme; ->>Messung von 5 Höhen pro Durchmesserstufe pro Baumart"
