bund_nr,ld_standort_methode,ld_standort,ld_wh_stufe,ld_n_stufe,vornachnutz,egart,vorbesttyp,histnutz,anzkalk,kulissekalk
140001,sea95,"Mf TM2, LüPl-5 (Lückendorfer Phonolit-Braunerde)",-9,-9,50,3,99,0,2,-9
140002,sea95,"Uf R3 , RsBA-6 (Rotstein-Basalt-Braunerde)",-9,-9,50,3,99,0,0,-9
140003,sea95,"Uf TM2w, LuLB-5 (Luchsenburger Decklöß-Braunstaugley)",-9,-9,50,4,99,0,0,-9
140004,sea95,"Uf TM1w, HoGB-4h (Hochstein-Granit-Braunstaugley)",-9,-9,50,4,99,0,1,-9
140005,sea95,"Tm WZ2, BaLU5 (Baselitzer Lehm-Staugley)",-9,-9,50,4,99,0,0,-9
140006,sea95,"Tm TZ1, LuSB5 (Lubolzer Sand-Gleyrostpodsol)",-9,-9,50,2,99,0,0,-9
140007,sea95,"Tm WM2, RaLU5 (Radeberger Tieflehm-Staugley)",-9,-9,50,4,99,0,0,-9
140008,sea95,"Tm TZ2, KoS 7 (Korgauer Grand-Braunerde)",-9,-9,50,4,99,0,0,-9
140009,sea95,"Tm TM2+, NeS (Nedlitzer Sand-Braunerde)",-9,-9,50,4,99,0,0,-9
140010,sea95,"Tm OZ2, SMz4 (Sand-Gleymoor ziemlich arm)",-9,-9,50,2,99,0,0,-9
140011,sea95,"Tm NA2, GtSB4 (Gritteler Sand-Gleyhumusrostpodsol)",-9,-9,50,4,99,0,0,-9
140012,sea95,"Tm NA2, WbSB4 (Wabeler Sand-Gleyhumusrostpodsol)",-9,-9,50,4,99,0,0,-9
140013,sea95,"Tm TZ2, BäS 7 (Bärenthorener Sand-Braunerde)",-9,-9,50,2,99,0,0,-9
140014,sea95,"Tm TZ2, BäS6 (Bärenthorener Sand-Braunerde)",-9,-9,50,4,99,0,0,-9
140015,sea95,"Tm TZ2, ZhS6 (Zeißholzer Fuchssand-Braunerde)",-9,-9,50,4,99,0,0,-9
140016,sea95,"Uf SZ3, PoH -6 (Postelwitzer Sandstein-Steilhangkomplex)",-9,-9,50,3,99,0,0,-9
140017,sea95,"Um TM2, LaGt-5 (Laußnitzer Granit-Braunerde)",-9,-9,50,2,99,0,0,-9
140018,sea95,"Uf TM2, LaGt-5h (Laußnitzer Granit-Braunerde)",-9,-9,50,4,99,0,0,-9
140019,sea95,"Um TM1, MzS-4 (Möglenzer Sand-Braunerde)",-9,-9,50,4,99,0,0,-9
140020,sea95,"Tm TZ2+, SaS6 (Sackwitzer Sand-Braunerde)",-9,-9,50,4,99,0,0,-9
140021,sea95,"Um TM-2, BtS -5 (Brottewitzer Sand-Braunerde)",-9,-9,50,2,99,0,0,-9
140022,sea95,"Um TM2w, MoGB-5 (Moritzburger Sand-Granit-Braunstaugley)",-9,-9,50,4,99,0,0,-9
140023,sea95,"Um TM2, CoSy-5h (Cossebauder Syenit-Braunerde)",-9,-9,50,4,99,0,0,-9
140024,sea95,"Um TM2, HeGt-5 (Heidemühlen Sand-Granit-Braunerde)",-9,-9,50,4,99,0,0,-9
140025,sea95,"Tm TZ2, BtS 7-5 (Brottewitzer Sand-Braunerde)",-9,-9,50,4,99,0,0,-9
140026,sea95,"Um TM2, BdSf-5h (Bockendorfer Schiefer-Braunerde)",-9,-9,50,4,99,0,0,-9
140027,sea95,"Uf TM2w, GbLB-5 (Grillenburger Löß-Braunstaugley)",-9,-9,50,2,99,0,1,-9
140028,sea95,"Uf TZ2, NiLs-5h (Nikolsdorfer Lehmsandstein-Braunpodsol)",-9,-9,50,2,99,0,3,-9
140029,sea95,"Mf TM2, RaGt-5 (Rachlauer Granit-Braunerde)",-9,-9,50,2,99,0,0,-9
140030,sea95,"Uf TA3-, ReSn-7 (Reinhardtsdorfer Sandstein-Podsol)",-9,-9,50,2,99,0,0,-9
140031,sea95,"Uf TZ1, LoLs-4h (Lohmener Lehmsandstein-Braunpodsol)",-9,-9,50,2,99,0,0,-9
