bund_nr,ld_bze,bwi_tnr,bwi_eck,datum,srid_ist,istre,istho,beart,besttyp,struktur,schlussgrad_schi1,schlussgrad_schi2,mischung,beschreibungbestockung,anmerkung
130001,-9,,,1970-01-01,31468,4608289,6046646,1,7,1,1,-9,2,"punkt konnte nicht eingemessen werden, kein gps empfang",
130002,-9,,,1970-01-01,31468,4607736,6030543,1,3,4,2,1,1,,
130003,-9,,,1970-01-01,31468,4543477,6024152,1,6,6,3,2,2,,
130004,-9,,,1970-01-01,31468,4519058,6009415,1,7,6,3,3,3,,
130005,-9,,,1970-01-01,31468,4622591,5997878,-9,-9,-9,-9,-9,-9,,
130006,-9,,,1970-01-01,31468,4526766,6001077,1,4,2,3,-9,1,,
130007,-9,,,1970-01-01,31468,4622478,5989835,-9,-9,-9,-9,-9,-9,,
130008,-9,,,1970-01-01,31468,4598480,5990944,1,3,1,2,-9,1,,
130009,-9,,,1970-01-01,31468,4550550,5992262,1,7,2,6,6,2,,
130010,737,,,1970-01-01,31468,4606226,5982492,1,7,1,1,-9,2,,
130011,-9,,,1970-01-01,31468,4558264,5984164,1,1,1,2,-9,1,,
130012,-9,,,1970-01-01,31468,4542295,5984617,1,6,2,2,6,4,,
130013,758,,,1970-01-01,31468,4494280,5986143,1,4,1,1,-9,1,,
130014,761,,,1970-01-01,31468,4478217,5986710,1,2,2,4,6,1,,
130015,-9,,,1970-01-01,31468,4629970,5973859,1,2,2,3,5,1,,
130016,-9,,,1970-01-01,31468,4614205,5974660,-9,-9,-9,-9,-9,-9,,
130017,824,,,1970-01-01,31468,4597979,5974851,1,7,1,1,-9,2,,
130018,-9,,,1970-01-01,31468,4517919,5977292,-9,-9,-9,-9,-9,-9,,
130019,-9,,,1970-01-01,31468,4502063,5977939,1,3,1,2,-9,1,,
130020,-9,,,1970-01-01,31468,4438051,5979944,1,8,1,6,-9,2,,
130021,-9,,,1970-01-01,31468,4467556,5898888,1,2,1,5,-9,1,,
130022,1002,,,1970-01-01,31468,4645665,5957325,1,2,1,2,-9,1,,
130023,1006,,,1970-01-01,31468,4629519,5957860,1,2,1,2,-9,1,,"stellenweise ist organische Auflage teilweise in Mineralboden eingemischt durch Bodenbearbeitung, nicht jedoch am Profil"
130024,-9,,,1970-01-01,31468,4621618,5958126,1,2,1,2,-9,1,,
130025,-9,,,1970-01-01,31468,4605466,5958632,1,2,2,2,5,1,,
130026,1026,,,1970-01-01,31468,4549437,5960339,1,2,2,2,2,1,,
130027,1034,,,1970-01-01,31468,4517389,5961441,1,2,2,2,2,1,,
130028,1044,,,1970-01-01,31468,4477605,5962556,1,2,2,4,6,1,,
130029,1117,,,1970-01-01,31468,4637199,5949579,1,2,1,1,-9,1,,
130030,-9,,,1970-01-01,31468,4525200,5953100,1,4,1,1,-9,1,,
130031,-9,,,1970-01-01,31468,4513000,5954000,-9,-9,-9,-9,-9,-9,,
130032,1213,,,1970-01-01,31468,4653044,5941198,1,7,2,2,2,2,,
