bund_nr,team,datum,geraet,randtyp_1,randform_1,anfang_dist_1,anfang_azi_1,end_dist_1,end_azi_1,knick_dist_1,knick_azi_1,randtyp_2,randform_2,anfang_dist_2,anfang_azi_2,end_dist_2,end_azi_2,knick_dist_2,knick_azi_2,beart,besttyp,struktur,schlussgrad_schi1,schlussgrad_schi2,mischung,pk1_aufnahme,pk2_aufnahme,pk3_aufnahme,anmerkung
120056,KF,2012-03-20,-9,,,,,,,,,,,,,,,,,1,4,1,2,-9,1,1,1,1,
120057,KF,2012-01-21,-9,,,,,,,,,,,,,,,,,1,2,1,6,-9,1,1,1,1,
120058,KF,2012-04-12,-9,1,1,2099,132,1686,47,-2,-2,,,,,,,,,1,2,4,6,6,1,1,1,1,
120059,KF,2012-04-14,-9,,,,,,,,,,,,,,,,,1,3,1,2,-9,2,2,2,2,
120060,KF,2011-09-16,-9,,,,,,,,,,,,,,,,,1,1,1,3,-9,1,1,1,1,
120061,KF,2011-09-23,-9,,,,,,,,,,,,,,,,,1,2,1,2,-9,1,1,1,1,
120062,KF,2012-04-14,-9,,,,,,,,,,,,,,,,,1,2,1,2,-9,1,1,1,1,
120063,KF,2012-04-13,-9,,,,,,,,,,,,,,,,,1,3,6,6,6,2,1,1,1,
120064,-9,1970-01-01,-9,,,,,,,,,,,,,,,,,-9,-9,-9,-9,-9,-9,-1,-1,-1,
120065,KF,2011-09-13,-9,,,,,,,,,,,,,,,,,1,3,1,6,-1,1,1,1,1,
120066,KF,2011-09-28,-9,,,,,,,,,,,,,,,,,1,2,1,3,-9,1,1,1,1,
120067,KF,2011-11-23,-9,,,,,,,,,,,,,,,,,1,2,1,6,-9,1,1,1,2,
120068,KF,2011-11-23,-9,,,,,,,,,,,,,,,,,1,2,1,1,-9,1,1,1,1,
120069,KF,2011-12-01,-9,,,,,,,,,,,,,,,,,1,2,1,1,-9,1,1,1,2,
120070,KF,2012-04-13,-9,,,,,,,,,,,,,,,,,1,2,1,2,-9,1,1,1,1,
120071,KF,2011-09-16,-9,,,,,,,,,,,,,,,,,1,3,4,6,1,1,1,1,1,
120072,KF,2011-09-13,-9,,,,,,,,,,,,,,,,,1,5,5,2,6,2,1,1,1,
120073,KF,2011-10-25,-9,3,1,1943,229,2003,157,-2,-2,,,,,,,,,1,2,1,2,-9,1,1,1,2,
120074,KF,2011-09-15,-9,1,1,1739,268,1822,321,-2,-2,,,,,,,,,1,2,1,1,-9,1,1,1,1,
120075,KF,2011-10-07,-9,3,1,1931,35,1907,106,-2,-2,,,,,,,,,1,2,1,1,-9,1,1,1,1,
120076,KF,2011-10-26,-9,,,,,,,,,,,,,,,,,1,2,1,6,-9,1,1,1,1,
120077,KF,2011-09-22,-9,,,,,,,,,,,,,,,,,1,2,2,4,3,1,1,1,1,
120078,-9,1970-01-01,-9,,,,,,,,,,,,,,,,,-9,-9,-9,-9,-9,-9,-1,-1,-1,
120079,KF,2011-09-26,-9,,,,,,,,,,,,,,,,,1,2,1,1,-9,1,1,1,2,
120080,-9,1970-01-01,-9,,,,,,,,,,,,,,,,,-9,-9,-9,-9,-9,-9,-1,-1,-1,
120081,KF,2011-10-04,-9,2,1,1699,31,1844,140,-2,-2,,,,,,,,,1,2,1,2,-9,1,1,1,1,
120082,-9,1970-01-01,-9,,,,,,,,,,,,,,,,,-9,-9,-9,-9,-9,-9,-1,-1,-1,
120083,KF,2012-03-27,-9,,,,,,,,,,,,,,,,,1,2,4,2,5,1,1,1,1,
120084,KF,2011-10-13,-9,,,,,,,,,,,,,,,,,1,6,1,1,-9,2,1,1,1,
120085,KF,2011-10-26,-9,,,,,,,,,,,,,,,,,1,5,1,1,-9,1,1,1,1,
120086,KF,2011-11-17,-9,,,,,,,,,,,,,,,,,1,2,2,2,6,1,1,1,1,
120087,KF,2011-10-14,-9,,,,,,,,,,,,,,,,,1,8,2,1,5,2,1,1,1,
120088,KF,2011-11-24,-9,,,,,,,,,,,,,,,,,1,2,2,2,6,1,1,1,1,
120089,KF,2011-11-17,-9,,,,,,,,,,,,,,,,,1,2,1,2,-9,1,1,1,1,
120090,KF,2011-10-20,-9,,,,,,,,,,,,,,,,,1,2,1,2,-1,1,1,1,1,
120091,KF,2011-10-20,-9,,,,,,,,,,,,,,,,,1,2,5,3,2,1,1,1,1,
120092,KF,2011-11-16,-9,,,,,,,,,,,,,,,,,1,2,1,2,-9,1,1,1,1,
120093,KF,2011-10-31,-9,3,1,2281,391,2253,81,-2,-2,,,,,,,,,1,2,1,2,-9,1,1,1,1,
120094,KF,2011-10-27,-9,,,,,,,,,,,,,,,,,1,5,1,1,-9,1,1,1,1,
120095,KF,2011-10-24,-9,,,,,,,,,,,,,,,,,1,2,1,2,-9,1,1,1,1,
120096,KF,2012-03-12,-9,,,,,,,,,,,,,,,,,1,2,1,6,-9,1,1,1,2,
120097,KF,2011-11-14,-9,,,,,,,,,,,,,,,,,1,8,2,1,6,1,1,1,1,
120098,KF,2011-11-16,-9,,,,,,,,,,,,,,,,,1,8,1,2,-9,1,1,1,1,
120099,KF,2012-03-22,-9,,,,,,,,,,,,,,,,,1,8,4,5,5,1,1,1,2,
120100,KF,2011-10-28,-9,3,1,1715,100,1912,34,-2,-2,,,,,,,,,1,2,1,6,-9,1,1,1,1,
120101,KF,2011-11-04,-9,,,,,,,,,,,,,,,,,1,2,2,2,2,1,1,1,1,
120102,KF,2011-11-04,-9,,,,,,,,,,,,,,,,,1,2,1,2,-9,1,1,1,1,
120103,KF,2011-11-14,-9,2,1,2219,98,2143,167,-2,-2,,,,,,,,,1,2,1,2,-9,1,1,1,1,
120104,KF,2011-11-02,-9,,,,,,,,,,,,,,,,,1,5,1,1,-9,2,1,1,1,
120105,KF,2011-11-15,-9,,,,,,,,,,,,,,,,,1,2,1,2,-9,1,1,1,1,
120106,KF,2011-11-07,-9,,,,,,,,,,,,,,,,,1,2,2,4,5,1,1,1,1,
120107,KF,2011-11-08,-9,,,,,,,,,,,,,,,,,1,2,1,1,-9,1,1,1,1,
120108,KF,2012-04-30,-9,2,1,1719,221,1668,111,-2,-2,1,2,1668,111,1853,335,1997,3,1,2,1,4,-9,1,1,1,1,
120109,KF,2012-04-30,-9,,,,,,,,,,,,,,,,,1,2,5,5,6,1,1,1,1,
120110,KF,2012-03-14,-9,,,,,,,,,,,,,,,,,1,3,1,6,-9,1,1,1,1,
120111,KF,2012-03-14,-9,,,,,,,,,,,,,,,,,1,2,1,2,-9,1,1,1,1,
120112,KF,2011-11-08,-9,,,,,,,,,,,,,,,,,1,2,4,3,-9,1,1,1,1,
120113,KF,2011-11-02,-9,,,,,,,,,,,,,,,,,1,2,1,6,-9,1,1,1,1,
120114,KF,2011-11-15,-9,,,,,,,,,,,,,,,,,1,2,1,5,-9,1,1,1,1,
120115,KF,2012-04-21,-9,,,,,,,,,,,,,,,,,1,2,1,6,-9,1,1,1,2,
120116,KF,2012-03-13,-9,,,,,,,,,,,,,,,,,1,2,1,2,-9,1,1,1,2,
120117,KF,2011-11-10,-9,3,1,1969,137,2025,196,-2,-2,,,,,,,,,1,3,1,1,-9,1,1,1,2,
120118,KF,2011-11-09,-9,3,1,1543,141,1605,73,-2,-2,,,,,,,,,1,2,1,2,-9,1,1,1,2,
120119,KF,2011-11-01,-9,1,1,1823,195,1678,121,-2,-2,,,,,,,,,1,8,1,5,-9,1,2,1,1,
120120,KF,2012-04-20,-9,,,,,,,,,,,,,,,,,1,2,1,2,-9,1,1,1,1,
120121,-9,1970-01-01,-9,,,,,,,,,,,,,,,,,-9,-9,-9,-9,-9,-9,-1,-1,-1,
120122,KF,2012-03-20,-9,,,,,,,,,,,,,,,,,1,2,1,2,-1,1,1,1,1,
120123,KF,2012-03-19,-9,,,,,,,,,,,,,,,,,1,2,1,6,-9,1,1,1,1,
120124,KF,2012-03-13,-9,,,,,,,,,,,,,,,,,1,2,1,3,-9,1,1,1,1,
120125,KF,2011-11-18,-9,,,,,,,,,,,,,,,,,1,2,1,2,-9,1,1,1,2,
120126,-9,1970-01-01,-9,,,,,,,,,,,,,,,,,-9,-9,-9,-9,-9,-9,-1,-1,-1,
120127,KF,2011-11-18,-9,,,,,,,,,,,,,,,,,1,2,1,6,-9,1,1,1,2,
120128,KF,2011-11-01,-9,,,,,,,,,,,,,,,,,1,2,1,1,-9,1,1,1,1,
