bund_nr,ld_bze,bwi_tnr,bwi_eck,datum,srid_ist,istre,istho,beart,besttyp,struktur,schlussgrad_schi1,schlussgrad_schi2,mischung,beschreibungbestockung,anmerkung
50107,391,,,1970-01-01,25832,460941,5685166,1,1,2,6,6,1,"Von PK-Mittelpunkt zu WZE-Mittelbaum III/1 (Fichte) 13,18 m in 207 gon.",GD BodenProfil Archivnummer: 423
50108,393,,,1970-01-01,25832,460942,5701159,1,4,2,6,1,2,"Von PK-Mittelpunkt zu WZE-Mittelbaum III/1 (Traubeneiche) 15,34 m in 14 gon.",GD BodenProfil Archivnummer:  69
50109,394,,,1970-01-01,25832,460942,5765134,1,1,1,6,-2,2,"Im NW unmittelbar an PK-Mittelpunkt angrenzende Windwurflücke.
Abstand PK-Mittelpunkt zu WZE-Mittelbaum III/1 (Fichte) 7,0 m in 149 gon.",GD BodenProfil Archivnummer: 911
50110,406,,,1970-01-01,31468,4259268,5676601,1,1,2,6,6,1,"Von PK-Mittelpunkt zu WZE-Mittelbaum V/1 (Fichte) 10,0 m in 142 gon.",GD BodenProfil Archivnummer:  66
50111,409,,,1970-01-01,31468,4260021,5692665,1,4,1,3,-2,2,"Von PK-Mittelpunkt zu WZE-Mittelbaum III/1 (Rotbuche) 14,63 m in 107 gon.",GD BodenProfil Archivnummer:   5
50112,412,,,1970-01-01,31468,4260584,5708486,1,1,1,6,-2,1,"Von  PK-Mittelpunkt zu WZE-Mittelbaum V/1 (Fichte) 16,10 m in 190 gon.",GD BodenProfil Archivnummer:  29
50113,414,,,1970-01-01,31468,4261047,5724470,1,8,2,2,1,2,"Von PK-Mittelpunkt zu WZE-Mittelbaum VII/1 (Hainbuche) 14,0 m in 231 gon.",GD BodenProfil Archivnummer: 863
50114,426,,,1970-01-01,25832,476935,5677169,1,7,1,2,-2,3,"Von PK-Mittelpunkt zu WZE-Mittelbaum V/1 (Rotbuche) 10,64 m in 63 gon.",GD BodenProfil Archivnummer:  37
50115,427,,,1970-01-01,25832,476935,5701159,1,4,2,5,1,1,"Von PK-Mittelpunkt zu WZE-Mittelbau IX/1 (Rotbuche) 13,61 m in 353 gon.",GD BodenProfil Archivnummer:  31
50116,428,,,1970-01-01,25832,476935,5717153,1,4,2,3,2,2,"Entfernung von PK-Mittelpunkt zu WZE-Mittelbaum VII/1 (Rotbuche) in 14.3 m, 114 gon.",GD BodenProfil Archivnummer: 862
50117,429,,,1970-01-01,25832,476936,5725149,1,4,1,2,-2,2,"Von PK-Mittelpunkt zu WZE-Mittelbaum III/1 (Lärche) 14,40 m in 346 gon.",GD BodenProfil Archivnummer: 859
50118,431,,,1970-01-01,25832,476937,5789124,1,4,2,2,6,2,"Von PK-Mittelpunkt zu WZE-Mittelbaum III/1 (Rotbuche) 15,57 m in 398 gon.",GD BodenProfil Archivnummer: 909
50119,444,,,1970-01-01,25832,484932,5693162,1,4,2,6,6,1,"Von PK-Mittelpunkt zu WZE-Mittelbaum IX/1 (Rotbuche): 14,71 m in 170 gon.",GD BodenProfil Archivnummer:  26
50120,445,,,1970-01-01,31468,4276536,5707926,1,1,1,6,-2,2,Kahlhiebsfläche mit lückigem Anwuchs von Fichtennaturverjüngung (begradigte Sturmwurffläche).,GD BodenProfil Archivnummer:  81
50121,447,,,1970-01-01,25832,484932,5709156,1,6,2,3,2,3,Von PK-Mittelpunkt zu WZE-Mittelbaum VII/1 (Roteiche). 389 gon in 16 m.,GD BodenProfil Archivnummer:  79
50122,448,,,1970-01-01,25832,484932,5725149,1,1,1,6,-2,1,"Von PK-Mittelpunkt zu WZE-Mittelbaum III/1 (Fichte) 11,95 m in 101 gon.
Schmaler Bestandesstreifen, Fichten zumeist mit Randbaumhabitus; dichte Strauchschicht von Weißdorn, Faulbaum und Hasel.",GD BodenProfil Archivnummer: 861
50123,449,,,1970-01-01,25832,484933,5741143,1,2,1,6,-2,1,"Einzelne Überhälter GKI. Von PK-Mittelpunkt zu WZE Mittelbaum III/1 (Kiefer) 15,28 m in 146 gon.","GD BodenProfil Archivnummer: 887
Einfluß durch Truppenübungsplatz; 30 cm tief gepflügt;
Satellit 7: Wasser ab 90 cm
Satellit 6: Wasser ab 65 cm"
50124,450,,,1970-01-01,31468,4278617,5755793,1,2,5,5,1,2,"Fichte stark geschält.
Von PK-Mittelpunkt zu WZE-Mittelbaum XV/1 (Kiefer) 15,2 m in 51 gon.",GD BodenProfil Archivnummer: 889
50125,452,,,1970-01-01,25832,484934,5805118,1,2,2,3,6,2,"Von PK-Mittelpunkt zu WZE-Mittelbaum III/1 (Kiefer) 15,43 m in 278 gon.",GD BodenProfil Archivnummer: 907
50126,457,,,1970-01-01,25832,492929,5733146,1,4,1,2,-2,2,"Von PK-Mittelpunkt zu WZE-Mittelbaum VII/1 (Rotbuche): 16,05 m in 186 gon.",GD BodenProfil Archivnummer: 856
50127,459,,,1970-01-01,25832,492929,5741143,1,8,1,2,-2,2,"Von PK-Mittelpunkt zu WZE-Mittelbaum  III/1 (Bergahorn) 20,16 m in 157 gon.","GD BodenProfil Archivnummer: 894
im Bereich der Satelliten 3 und 4 sehr alte, mit Mineralboden vermischte Meilerplatte noch schwach morphologisch und bodenkundlich erkennbar.
Satellit 1:Bohrtiefe 2 * 9,0 dm
Satellit 2:Bohrtiefe  9,0 und 6,0 dm
Satelli"
50128,461,,,1970-01-01,25832,492930,5773130,1,1,1,2,-2,1,"Von PK-Mittelpunkt zu WZE-Mittelbaum III/1 (Fichte) 15,0 m in 53 gon.",GD BodenProfil Archivnummer: 899
50129,474,,,1970-01-01,31468,4293218,5723424,1,1,1,2,-2,2,"Von PK-Mittelpunkt zu WZE-Mittelbaum III/1 (Fichte) 14,47 m in 203 gon.",GD BodenProfil Archivnummer: 456
50130,475,,,1970-01-01,31468,4294073,5739231,1,4,3,5,5,1,"Von PK-Mittelpunkt zu WZE-Mittelbaum V/1 (alte Rotbuche): 9,43 m in 229 gon.",GD BodenProfil Archivnummer: 864
50131,477,,,1970-01-01,25832,500926,5741143,1,4,3,2,1,7,"Von PK-Mittelpunkt zu BZE-Probebaum P 2: 2,29 m in 165 gon.",GD BodenProfil Archivnummer: 869
50132,479,,,1970-01-01,31468,4294415,5755206,1,4,6,2,6,2,"Von PK-Mittelpunkt zu WZE-Mittelbaum V/1 (Stieleiche) 14,96 m in 254 gon.",GD BodenProfil Archivnummer: 886
50133,482,,,1970-01-01,31468,4295228,5771254,1,4,2,2,6,2,"Von PK-Mittelpunkt zu WZE-Mitelbaum VII/1 (Rotbuche) 14,94 m in 70 gon.",GD BodenProfil Archivnummer: 895
50134,485,,,1970-01-01,25832,508923,5701159,1,1,1,2,-2,2,"Von PK-Mittelpunkt zu WZE-Mittelbaum III/21 (Fichte): 14,26 m in 94 gon.",GD BodenProfil Archivnummer: 457
50135,486,,,1970-01-01,25832,508923,5725149,1,1,1,2,-2,1,"Von PK-Mittelpunkt zu WZE-Mittelbaum V/1 (Fichte) 14,06 m in 65 gon.",GD BodenProfil Archivnummer: 867
50136,488,,,1970-01-01,25832,508923,5733146,1,4,2,3,6,1,"Von PK-Mittelpunkt zu WZE-Mittelbaum V/1 (Rotbuche): 13,33 m in 173 gon.",GD BodenProfil Archivnummer: 870
50137,489,,,1970-01-01,25832,508923,5757136,1,4,1,1,-2,1,"Von PK-Mittelpunkt zu WZE-Mittelbaum V/1 (Rotbuche) 13,35 m in 217 gon.",GD BodenProfil Archivnummer: 892
50138,494,,,1970-01-01,25832,516920,5725149,1,4,2,4,5,2,"Von PK-Mittelpunkt zu WZE-Mittelbaum V/1 (Rotbuche): 16,08 m in 121 gon.",GD BodenProfil Archivnummer: 873
50139,495,,,1970-01-01,31468,4310010,5738713,1,4,2,3,1,1,"Von PK-Mittelpunkt zu  WZE-Mittelbaum VII/1 (Rotbuche): 8,94 m in 257 gon.",GD BodenProfil Archivnummer: 874
50140,496,,,1970-01-01,31468,4310495,5754557,1,4,1,2,-2,2,"Von PK-Mittelpunkt zu WZE-Mittelbaum III/1 (Rotbuche) 13,93  m in 340 gon.",GD BodenProfil Archivnummer: 881
50141,505,,,1970-01-01,31468,4120122,5668950,1,4,1,2,-2,2,"Von PK-Mittelpunkt zu WZE-Mittelbaum III/1 (Vogelkirsche) 13,56 m in 149 gon.
Frisch durchforstet, Teil der liegenden Buchen wird wahrscheinlich noch durch Brennholzselbstwerbung entnommen.",GD BodenProfil Archivnummer:  84
50142,513,,,1970-01-01,25832,370207,5646174,1,8,6,6,2,2," Von PK-Mittelpunkt zu WZE-Mittelbaum III/1 (Robinie) 16,95 m in 240 gon.",GD BodenProfil Archivnummer:  87
50143,516,,,1970-01-01,31468,4173426,5728782,1,8,2,3,6,1,"Von PK-Mittelpunkt zu WZE-Mittelbaum III/1 (Pappel): 15,0 m in 30 gon.","GD BodenProfil Archivnummer:  85
Hangneigung ""17 gon"" fehlerhaft: GD-Kartierer: 1° - paßt zur Angabe ""Hangrichtung flach""!"
50144,524,,,1970-01-01,25832,428954,5693163,1,1,1,2,-2,1,"Von PK-Mittelpunkt zu WZE-Mittelbaum III/1 (Fichte) 15,17 m in 135 gon.",GD BodenProfil Archivnummer:  88
50145,527,,,1970-01-01,25832,476935,5693162,1,1,1,1,-2,1,"Erstaufforstung.
Von PK-Mittelpunkt zu WZE-Mittelbaum  III/1 (Fichte) 4,34 in 204 gon.",GD BodenProfil Archivnummer:  89
50146,508,,,1970-01-01,25832,356435,5602707,1,2,2,3,6,2,"Von PK-Mittelpunkt zu WZE-Mittelbaum III/1 (Kiefer) 20,87 m  in  102 gon.",GD BodenProfil Archivnummer:  86
