bund_nr,labor,labornr,pnr,anzteile
50001,200,106001,1,1
50001,200,106003,3,1
50001,200,106005,5,1
50001,200,106005,5,1
50001,200,106005,5,1
50001,200,106006,6,1
50001,200,106006,6,1
50001,200,106004,4,1
50001,200,106004,4,1
50001,200,106005,5,1
50001,200,106006,6,1
50001,200,106006,6,1
50001,200,106006,6,1
50001,200,106004,4,1
50001,200,106006,6,1
50001,200,106002,2,1
50001,200,106004,4,1
50001,200,106002,2,1
50001,200,106005,5,1
50001,200,106001,1,1
50001,200,106001,1,1
50001,200,106001,1,1
50001,200,106002,2,1
50001,200,106003,3,1
50001,200,106006,6,1
50001,200,106004,4,1
50001,200,106002,2,1
50001,200,106003,3,1
50001,200,106003,3,1
50001,200,106004,4,1
50001,200,106001,1,1
50001,200,106001,1,1
50001,200,106001,1,1
50001,200,106003,3,1
50001,200,106002,2,1
50001,200,106002,2,1
50001,200,106003,3,1
50001,200,106005,5,1
50001,200,106005,5,1
50001,200,106002,2,1
50001,200,106004,4,1
50001,200,106004,4,1
50001,200,106005,5,1
50001,200,106001,1,1
50001,200,106001,1,1
50001,200,106003,3,1
50001,200,106006,6,1
50001,200,106001,1,1
50001,200,106001,1,1
50001,200,106003,3,1
50001,200,106003,3,1
50001,200,106002,2,1
50001,200,106005,5,1
50001,200,106006,6,1
50001,200,106005,5,1
50001,200,106006,6,1
50001,200,106002,2,1
50001,200,106002,2,1
50001,200,106006,6,1
50001,200,106003,3,1
50001,200,106003,3,1
50001,200,106001,1,1
50001,200,106002,2,1
50001,200,106006,6,1
50001,200,106001,1,1
50001,200,106005,5,1
50001,200,106004,4,1
50001,200,106004,4,1
50001,200,106006,6,1
50001,200,106003,3,1
50001,200,106002,2,1
50001,200,106002,2,1
50001,200,106001,1,1
50001,200,106001,1,1
50001,200,106005,5,1
50001,200,106004,4,1
50001,200,106004,4,1
50001,200,106004,4,1
50001,200,106002,2,1
50001,200,106006,6,1
50001,200,106006,6,1
50001,200,106005,5,1
50001,200,106005,5,1
50001,200,106004,4,1
50001,200,106004,4,1
50001,200,106003,3,1
50001,200,106005,5,1
50001,200,106003,3,1
50001,200,106003,3,1
50001,200,106002,2,1
50002,200,106018,6,1
50002,200,106015,3,1
50002,200,106015,3,1
50002,200,106015,3,1
50002,200,106018,6,1
50002,200,106016,4,1
50002,200,106016,4,1
50002,200,106015,3,1
50002,200,106014,2,1
50002,200,106014,2,1
50002,200,106016,4,1
50002,200,106016,4,1
50002,200,106014,2,1
50002,200,106016,4,1
50002,200,106017,5,1
50002,200,106015,3,1
50002,200,106017,5,1
50002,200,106014,2,1
50002,200,106017,5,1
50002,200,106013,1,1
50002,200,106018,6,1
50002,200,106013,1,1
50002,200,106014,2,1
50002,200,106017,5,1
50002,200,106014,2,1
50002,200,106016,4,1
50002,200,106014,2,1
50002,200,106018,6,1
50002,200,106017,5,1
50002,200,106017,5,1
50002,200,106016,4,1
50002,200,106018,6,1
50002,200,106018,6,1
50002,200,106013,1,1
50002,200,106017,5,1
50002,200,106013,1,1
50002,200,106013,1,1
50002,200,106017,5,1
50002,200,106018,6,1
50002,200,106017,5,1
50002,200,106014,2,1
50002,200,106018,6,1
50002,200,106015,3,1
50002,200,106016,4,1
50002,200,106018,6,1
50002,200,106014,2,1
50002,200,106016,4,1
50002,200,106017,5,1
50002,200,106015,3,1
50002,200,106014,2,1
50002,200,106013,1,1
50002,200,106018,6,1
50002,200,106016,4,1
50002,200,106016,4,1
50002,200,106015,3,1
50002,200,106013,1,1
50002,200,106014,2,1
50002,200,106015,3,1
50002,200,106013,1,1
50002,200,106015,3,1
50002,200,106018,6,1
50002,200,106015,3,1
50002,200,106014,2,1
50002,200,106014,2,1
50002,200,106014,2,1
50002,200,106016,4,1
50002,200,106017,5,1
50002,200,106015,3,1
50002,200,106016,4,1
50002,200,106016,4,1
50002,200,106013,1,1
50002,200,106017,5,1
50002,200,106018,6,1
50002,200,106013,1,1
50002,200,106013,1,1
50002,200,106018,6,1
50002,200,106015,3,1
50002,200,106017,5,1
50002,200,106014,2,1
50002,200,106017,5,1
50002,200,106013,1,1
50002,200,106013,1,1
50002,200,106018,6,1
50002,200,106013,1,1
50002,200,106018,6,1
50002,200,106016,4,1
50002,200,106015,3,1
50002,200,106017,5,1
50002,200,106015,3,1
50002,200,106013,1,1
50003,200,309008,8,1
50003,200,309004,4,1
50003,200,309005,5,1
50003,200,309003,3,1
50003,200,309006,6,1
50003,200,309003,3,1
50003,200,309002,2,1
50003,200,309002,2,1
50003,200,309005,5,1
50003,200,309001,1,1
50003,200,309008,8,1
50003,200,309008,8,1
50003,200,309008,8,1
50003,200,309009,9,1
50003,200,309009,9,1
50003,200,309009,9,1
50003,200,309005,5,1
50003,200,309009,9,1
50003,200,309001,1,1
50003,200,309009,9,1
50003,200,309009,9,1
50003,200,309007,7,1
50003,200,309008,8,1
50003,200,309001,1,1
50003,200,309007,7,1
50003,200,309006,6,1
50003,200,309007,7,1
50003,200,309001,1,1
50003,200,309007,7,1
50003,200,309009,9,1
50003,200,309008,8,1
50003,200,309003,3,1
50003,200,309004,4,1
50003,200,309004,4,1
50003,200,309005,5,1
50003,200,309004,4,1
50003,200,309005,5,1
50003,200,309005,5,1
50003,200,309005,5,1
50003,200,309009,9,1
50003,200,309007,7,1
50003,200,309006,6,1
50003,200,309007,7,1
50003,200,309008,8,1
50003,200,309001,1,1
50003,200,309004,4,1
50003,200,309003,3,1
50003,200,309001,1,1
50003,200,309006,6,1
50003,200,309006,6,1
50003,200,309007,7,1
50003,200,309001,1,1
50003,200,309002,2,1
50003,200,309003,3,1
50003,200,309002,2,1
50003,200,309003,3,1
50003,200,309009,9,1
50003,200,309006,6,1
50003,200,309005,5,1
50003,200,309004,4,1
50003,200,309009,9,1
50003,200,309005,5,1
50003,200,309006,6,1
50003,200,309006,6,1
50003,200,309003,3,1
50003,200,309003,3,1
50003,200,309009,9,1
50003,200,309007,7,1
50003,200,309008,8,1
50003,200,309003,3,1
50003,200,309002,2,1
50003,200,309002,2,1
50003,200,309002,2,1
50003,200,309007,7,1
50003,200,309007,7,1
50003,200,309009,9,1
50003,200,309009,9,1
50003,200,309004,4,1
50003,200,309004,4,1
50003,200,309004,4,1
50003,200,309006,6,1
50003,200,309006,6,1
50003,200,309007,7,1
50003,200,309006,6,1
50003,200,309006,6,1
50003,200,309006,6,1
50003,200,309005,5,1
50003,200,309004,4,1
50003,200,309004,4,1
50003,200,309007,7,1
50003,200,309005,5,1
50003,200,309009,9,1
50003,200,309009,9,1
50003,200,309002,2,1
50003,200,309008,8,1
50003,200,309004,4,1
50003,200,309003,3,1
50003,200,309005,5,1
50003,200,309004,4,1
50003,200,309005,5,1
50003,200,309008,8,1
50003,200,309001,1,1
50003,200,309001,1,1
50003,200,309007,7,1
50003,200,309001,1,1
50003,200,309008,8,1
50003,200,309008,8,1
50003,200,309008,8,1
50003,200,309002,2,1
50003,200,309001,1,1
50003,200,309001,1,1
50003,200,309002,2,1
50003,200,309002,2,1
50003,200,309003,3,1
50003,200,309003,3,1
50003,200,309008,8,1
50003,200,309007,7,1
50003,200,309006,6,1
50003,200,309006,6,1
50003,200,309005,5,1
50003,200,309007,7,1
50003,200,309001,1,1
50003,200,309001,1,1
50003,200,309002,2,1
50003,200,309002,2,1
50003,200,309002,2,1
50003,200,309002,2,1
50003,200,309001,1,1
50003,200,309005,5,1
50003,200,309004,4,1
50003,200,309004,4,1
50003,200,309008,8,1
50003,200,309003,3,1
50003,200,309003,3,1
50003,200,309003,3,1
50004,200,109018,9,1
50004,200,109013,4,1
50004,200,109013,4,1
50004,200,109017,8,1
50004,200,109010,1,1
50004,200,109010,1,1
50004,200,109012,3,1
50004,200,109015,6,1
50004,200,109016,7,1
50004,200,109014,5,1
50004,200,109013,4,1
50004,200,109018,9,1
50004,200,109018,9,1
50004,200,109015,6,1
50004,200,109016,7,1
50004,200,109018,9,1
50004,200,109018,9,1
50004,200,109010,1,1
50004,200,109011,2,1
50004,200,109012,3,1
50004,200,109012,3,1
50004,200,109010,1,1
50004,200,109017,8,1
50004,200,109018,9,1
50004,200,109013,4,1
50004,200,109010,1,1
50004,200,109016,7,1
50004,200,109015,6,1
50004,200,109014,5,1
50004,200,109014,5,1
50004,200,109013,4,1
50004,200,109017,8,1
50004,200,109013,4,1
50004,200,109012,3,1
50004,200,109014,5,1
50004,200,109014,5,1
50004,200,109010,1,1
50004,200,109013,4,1
50004,200,109011,2,1
50004,200,109011,2,1
50004,200,109012,3,1
50004,200,109018,9,1
50004,200,109012,3,1
50004,200,109012,3,1
50004,200,109016,7,1
50004,200,109017,8,1
50004,200,109017,8,1
50004,200,109016,7,1
50004,200,109016,7,1
50004,200,109015,6,1
50004,200,109015,6,1
50004,200,109017,8,1
50004,200,109015,6,1
50004,200,109010,1,1
50004,200,109011,2,1
50004,200,109011,2,1
50004,200,109011,2,1
50004,200,109011,2,1
50004,200,109013,4,1
50004,200,109012,3,1
50004,200,109015,6,1
50004,200,109015,6,1
50004,200,109016,7,1
50004,200,109016,7,1
50004,200,109017,8,1
50004,200,109015,6,1
50004,200,109018,9,1
50004,200,109018,9,1
50004,200,109014,5,1
50004,200,109014,5,1
50004,200,109014,5,1
50004,200,109014,5,1
50004,200,109014,5,1
50004,200,109013,4,1
50004,200,109018,9,1
50004,200,109018,9,1
50004,200,109015,6,1
50004,200,109012,3,1
50004,200,109011,2,1
50004,200,109011,2,1
50004,200,109017,8,1
50004,200,109014,5,1
50004,200,109014,5,1
50004,200,109013,4,1
50004,200,109012,3,1
50004,200,109012,3,1
50004,200,109010,1,1
50004,200,109016,7,1
