bund_nr,status,pk_dist,pk_azi
50001,-9,-9,-9
50002,-9,-9,-9
50003,-9,-9,-9
50004,-9,-9,-9
50005,-9,-9,-9
50006,-9,-9,-9
50007,-9,-9,-9
50008,-9,-9,-9
50009,-9,-9,-9
50010,-9,-9,-9
50011,-9,-9,-9
50012,-9,-9,-9
50013,-9,-9,-9
50014,-9,-9,-9
50015,-9,-9,-9
50016,-9,-9,-9
50017,-9,-9,-9
50018,-9,-9,-9
50019,-9,-9,-9
50020,-9,-9,-9
50021,-9,-9,-9
50022,-9,-9,-9
50023,-9,-9,-9
50024,-9,-9,-9
50025,-9,-9,-9
50026,-9,-9,-9
50027,-9,-9,-9
50028,-9,-9,-9
50029,-9,-9,-9
50030,-9,-9,-9
50031,-9,-9,-9
50032,-9,-9,-9
50033,-9,-9,-9
50034,-9,-9,-9
50035,-9,-9,-9
50036,-9,-9,-9
50037,-9,-9,-9
50038,-9,-9,-9
50039,-9,-9,-9
50040,-9,-9,-9
50041,-9,-9,-9
50042,-9,-9,-9
50043,-9,-9,-9
50044,-9,-9,-9
50045,-9,-9,-9
50046,-9,-9,-9
50047,-9,-9,-9
50048,-9,-9,-9
50049,-9,-9,-9
50050,-9,-9,-9
50051,-9,-9,-9
50052,-9,-9,-9
50053,-9,-9,-9
50054,-9,-9,-9
50055,-9,-9,-9
50056,-9,-9,-9
50057,-9,-9,-9
50058,-9,-9,-9
50059,-9,-9,-9
50060,-9,-9,-9
50061,-9,-9,-9
50062,-9,-9,-9
50063,-9,-9,-9
50064,-9,-9,-9
50065,-9,-9,-9
50066,-9,-9,-9
50067,-9,-9,-9
50068,-9,-9,-9
50069,-9,-9,-9
50070,-9,-9,-9
50071,-9,-9,-9
50072,-9,-9,-9
50073,-9,-9,-9
50074,-9,-9,-9
50075,-9,-9,-9
50076,-9,-9,-9
50077,-9,-9,-9
50078,-9,-9,-9
50079,-9,-9,-9
50080,-9,-9,-9
50081,-9,-9,-9
50082,-9,-9,-9
50083,-9,-9,-9
50084,-9,-9,-9
50085,-9,-9,-9
50086,-9,-9,-9
50087,-9,-9,-9
50088,-9,-9,-9
50089,-9,-9,-9
50090,-9,-9,-9
50091,-9,-9,-9
50092,-9,-9,-9
50093,-9,-9,-9
50094,-9,-9,-9
50095,-9,-9,-9
50096,-9,-9,-9
50097,-9,-9,-9
50098,-9,-9,-9
50099,-9,-9,-9
50100,-9,-9,-9
50101,-9,-9,-9
50102,-9,-9,-9
50103,-9,-9,-9
50104,-9,-9,-9
50105,-9,-9,-9
50106,-9,-9,-9
50107,-9,-9,-9
50108,-9,-9,-9
50109,-9,-9,-9
50110,-9,-9,-9
50111,-9,-9,-9
50112,-9,-9,-9
50113,-9,-9,-9
50114,-9,-9,-9
50115,-9,-9,-9
50116,-9,-9,-9
50117,-9,-9,-9
50118,-9,-9,-9
50119,-9,-9,-9
50120,-9,-9,-9
50121,-9,-9,-9
50122,-9,-9,-9
50123,-9,-9,-9
50124,-9,-9,-9
50125,-9,-9,-9
50126,-9,-9,-9
50127,-9,-9,-9
50128,-9,-9,-9
50129,-9,-9,-9
50130,-9,-9,-9
50131,-9,-9,-9
50132,-9,-9,-9
50133,-9,-9,-9
50134,-9,-9,-9
50135,-9,-9,-9
50136,-9,-9,-9
50137,-9,-9,-9
50138,-9,-9,-9
50139,-9,-9,-9
50140,-9,-9,-9
50141,-9,-9,-9
50142,-9,-9,-9
50143,-9,-9,-9
50144,-9,-9,-9
50145,-9,-9,-9
50146,-9,-9,-9
