bund_nr,pk_nr,pk_richtung,pk_dist,pk_aufnahme,pk_maxdist,pk_anmerkung
140034,2,o,1000,1,440,
140034,3,s,1000,1,240,
140034,4,w,1000,1,310,
140035,1,n,1000,1,370,
140035,2,o,1000,1,470,
140035,3,s,1000,1,410,
140035,4,w,1000,1,190,
140036,1,n,1000,1,475,
140036,2,o,1000,1,420,
140036,3,s,1000,1,215,
140036,4,w,1000,1,490,
140037,1,n,1000,1,340,
140037,2,o,1000,1,245,
140037,3,s,1000,1,340,
140037,4,w,1000,1,160,
140038,1,n,1000,1,285,
140038,2,o,1000,1,260,
140038,3,s,1000,1,330,
140038,4,w,1000,1,95,
140039,1,n,1000,1,493,
140039,2,o,1000,1,195,
140039,3,s,1000,1,290,
140039,4,w,1000,1,300,
140040,1,n,1000,1,160,
140040,2,o,1000,1,364,
140040,3,s,1000,1,420,
140040,4,w,1000,1,302,
140041,1,n,1000,1,74,
140041,2,o,1000,1,55,
140041,3,s,1000,1,86,
140041,4,w,1000,1,33,
140042,1,n,1000,1,72,
140042,2,o,1000,1,48,
140042,3,s,1000,1,163,
140042,4,w,1000,1,60,
140043,1,n,1000,1,173,
140043,2,o,1000,1,430,
140043,3,s,1000,1,125,
140043,4,w,1000,1,154,
140044,1,n,1000,2,-9,
140044,2,o,1000,2,-9,
140044,3,s,1000,1,203,
140044,4,w,1000,1,490,
140045,1,n,1000,1,53,
140045,2,o,1000,1,55,
140045,3,s,1000,1,155,
140045,4,w,1000,1,150,
140046,1,n,1000,1,325,
140046,2,o,1000,1,202,
140046,3,s,1000,2,-9,
140046,4,w,1000,1,262,
140047,1,n,1000,1,170,
140047,2,o,1000,1,190,
140047,3,s,1000,1,330,
140047,4,w,1000,1,250,
140048,1,n,1000,1,67,
140048,2,o,1000,1,35,
140048,3,s,1000,1,80,
140048,4,w,1000,1,75,
140049,1,n,1000,1,500,
140049,2,o,1000,1,500,
140049,3,s,1000,2,-9,
140049,4,w,1000,1,500,
140050,1,n,1000,2,-9,
