zwiesel,d_mess,stufe,bhd_hoehe,hoehe,azi,bart,lfd_nr,bund_nr,baumkennzahl,bhd,alter,schi,kransatz,kraft,hori,alter_methode
,130,,130,,208,dgl,35,50003,-9,,32,1,,2,1256,6
,113,,130,,212,dgl,36,50003,-9,,32,1,,2,1182,6
,134,,130,,215,dgl,37,50003,-9,,32,1,,2,691,6
,79,,130,,223,dgl,38,50003,-9,,32,1,,3,250,6
,282,,130,257,350,gfi,1,50004,-9,,109,1,182,3,166,6
,448,,130,,379,gfi,2,50004,-9,,109,1,,2,1379,6
,390,,130,,380,gfi,3,50004,-9,,109,1,,2,1090,6
,320,,130,290,11,gfi,4,50004,-9,,109,1,182,2,585,6
,417,,160,,14,gfi,5,50004,-9,,109,1,,2,1558,6
,488,,130,,36,gfi,6,50004,-9,,109,1,,1,1171,6
,388,,130,,48,gfi,7,50004,-9,,109,1,,2,1656,6
,452,,140,319,62,gfi,8,50004,-9,,109,1,180,2,847,6
,507,,130,,68,gfi,9,50004,-9,,109,1,,2,1391,6
,230,,130,245,79,gfi,10,50004,-9,,109,1,183,4,297,6
,430,,130,,92,gfi,11,50004,-9,,109,1,,2,1410,6
,350,,130,,111,gfi,12,50004,-9,,109,1,,3,1103,6
,384,,130,,125,gfi,13,50004,-9,,109,1,,2,819,6
,425,,130,317,129,gfi,14,50004,-9,,109,1,209,2,1479,6
,470,,130,,146,gfi,15,50004,-9,,109,1,,1,450,6
,467,,130,,156,gfi,16,50004,-9,,109,1,,2,1318,6
,480,,130,,157,gfi,17,50004,-9,,109,1,,2,1547,6
,310,,130,,173,gfi,18,50004,-9,,109,1,,3,952,6
,376,,130,,181,gfi,19,50004,-9,,109,1,,2,1508,6
,320,,130,,194,gfi,20,50004,-9,,109,1,,2,1755,6
,300,,130,,200,gfi,21,50004,-9,,109,1,,2,810,6
,375,,130,322,201,gfi,22,50004,-9,,109,1,176,2,213,6
,360,,130,,219,gfi,23,50004,-9,,109,1,,2,1441,6
,369,,150,,238,gfi,24,50004,-9,,109,1,,2,1339,6
,465,,130,,251,gfi,25,50004,-9,,109,1,,1,555,6
,364,,130,,256,gfi,26,50004,-9,,109,1,,2,1330,6
,564,,130,342,273,gfi,27,50004,-9,,109,1,193,1,1728,6
,412,,130,,297,gfi,28,50004,-9,,109,1,,2,424,6
,539,,130,324,299,gfi,29,50004,-9,,109,1,175,1,1406,6
,368,,130,,307,gfi,30,50004,-9,,109,1,,2,1760,6
,482,,130,,317,gfi,31,50004,-9,,109,1,,2,1736,6
,342,,130,,327,gfi,32,50004,-9,,109,1,,3,982,6
,440,,130,,335,gfi,33,50004,-9,,109,1,,2,1760,6
,419,,130,,341,gfi,34,50004,-9,,109,1,,2,996,6
,238,,130,,282,bah,1,50005,-9,,64,1,,2,212,6
,128,,130,,294,bah,2,50005,-9,,64,1,,4,671,6
,202,,130,206,298,bah,3,50005,-9,,64,1,132,2,1255,6
,435,,130,234,306,sei,4,50005,-9,,91,1,74,1,1770,5
,154,,130,165,307,bah,5,50005,-9,,64,1,116,3,681,6
,102,,130,,313,bah,6,50005,-9,,64,1,,4,559,6
1,287,,130,,315,bah,7,50005,-9,,64,1,,2,398,6
1,243,,130,,316,bah,8,50005,-9,,64,1,,2,398,6
,312,,130,,327,bah,9,50005,-9,,64,1,,2,1046,6
2,185,,130,,333,bah,10,50005,-9,,64,1,,3,791,6
2,145,,130,,334,bah,11,50005,-9,,64,1,,4,791,6
3,120,,130,,355,bah,12,50005,-9,,64,1,,4,575,6
3,115,,130,171,356,bah,13,50005,-9,,64,1,112,4,575,6
,309,,130,,357,bah,14,50005,-9,,64,1,,2,1127,6
,190,,130,,361,bah,15,50005,-9,,64,1,,3,887,6
4,268,,130,212,364,bah,16,50005,-9,,64,1,84,2,1224,6
4,147,,130,,365,bah,17,50005,-9,,64,1,,4,1224,6
,221,,130,,366,bah,18,50005,-9,,64,1,,4,1053,6
,188,,130,,382,bah,19,50005,-9,,64,1,,2,927,6
,146,,130,,390,bah,20,50005,-9,,64,1,,4,433,6
,252,,130,,5,bah,21,50005,-9,,64,1,,2,1219,6
,130,,130,,7,bah,22,50005,-9,,64,1,,4,732,6
,303,,130,,12,bah,23,50005,-9,,64,1,,1,415,6
,150,,130,,14,bah,24,50005,-9,,64,1,,4,275,6
,337,,130,239,14,bah,25,50005,-9,,64,1,110,2,1756,6
,208,,130,,23,bah,26,50005,-9,,64,1,,2,997,6
,155,,130,,32,bah,27,50005,-9,,64,1,,4,1050,6
,322,,130,,48,bah,28,50005,-9,,64,1,,2,1678,6
,111,,130,,44,bah,29,50005,-9,,64,1,,4,750,6
5,241,,140,,52,bah,30,50005,-9,,64,1,,2,1099,6
