ld_bze,eu_wze,ld_wze,ld,raster,istre,istho,srid_ist,hoehenn,bund_nr
1,-9,25015735,-9,-9,293878,5737366,25832,55,50001
6,-9,25095679,-9,-9,299576,5681078,25832,60,50002
13,-9,25175599,-9,-9,304319,5600812,25832,540,50003
16,-9,25175615,-9,-9,304967,5616800,25832,390,50004
18,-9,25175679,-9,-9,307570,5680752,25832,55,50005
19,-9,25175687,-9,-9,307897,5688746,25832,40,50006
21,-9,25175711,-9,-9,308880,5712727,25832,26,50007
26,-9,25255583,-9,-9,311667,5584501,25832,650,50008
28,-9,25255599,-9,-9,312313,5600489,25832,525,50009
30,-9,25255615,-9,-9,312961,5616476,25832,420,50010
32,416,25255623,-9,-9,4101709,5638358,31468,280,50011
34,365,25255671,-9,-9,4105569,5686008,31468,75,50012
35,-9,25255679,-9,-9,315564,5680425,25832,65,50013
38,-9,25255727,-9,-9,317530,5728385,25832,60,50014
45,-9,25335599,-9,-9,320307,5600166,25832,445,50015
46,-9,25335607,-9,-9,320630,5608159,25832,440,50016
48,-9,25335615,-9,-9,320954,5616152,25832,300,50017
60,-9,25415583,-9,-9,327654,5583856,25832,590,50018
61,448,25415591,-9,-9,4115150,5604784,31468,560,50019
63,-9,25415599,-9,-9,328300,5599842,25832,470,50020
69,-9,25495583,-9,-9,335647,5583533,25832,410,50021
70,-9,25495607,-9,-9,336616,5607512,25832,320,50022
75,-9,25575599,-9,-9,344285,5599196,25832,450,50023
77,350,25575687,-9,-9,4138821,5699391,31468,40,50024
78,-9,25575695,-9,-9,348189,5695103,25832,40,50025
80,-9,25575711,-9,-9,348844,5711087,25832,40,50026
81,315,25575719,-9,-9,4141461,5731343,31468,63,50027
98,-9,25655607,-9,-9,352601,5606864,25832,340,50028
99,-9,25655655,-9,-9,354549,5654816,25832,40,50029
101,-9,25655687,-9,-9,355854,5686783,25832,120,50030
105,-9,25655767,-9,-9,359140,5766700,25832,65,50031
115,-9,25735615,-9,-9,360917,5614532,25832,170,50032
116,403,25735639,-9,-9,4150929,5650255,31468,45,50033
117,-9,25735663,-9,-9,362866,5662482,25832,90,50034
120,-9,25735727,-9,-9,365484,5726414,25832,45,50035
130,-9,25815639,-9,-9,369881,5638182,25832,70,50036
133,-9,25815663,-9,-9,370858,5662156,25832,220,50037
136,-9,25815695,-9,-9,372164,5694121,25832,195,50038
137,-9,25815703,-9,-9,372491,5702112,25832,95,50039
139,-9,25815767,-9,-9,375122,5766040,25832,95,50040
151,-9,25895615,-9,-9,376899,5613885,25832,290,50041
152,-9,25895679,-9,-9,379501,5677812,25832,220,50042
153,352,25895687,-9,-9,4170780,5696874,31468,275,50043
163,-9,25975647,-9,-9,386188,5645523,25832,315,50044
168,-9,25975759,-9,-9,390773,5757389,25832,145,50045
184,421,26055623,-9,-9,4181503,5631643,31468,260,50046
186,388,26055655,-9,-9,4184137,5663617,31468,210,50047
189,-9,33975647,-9,-9,396967,5645182,25832,245,50048
191,-9,33975663,-9,-9,396967,5661176,25832,350,50049
193,-9,33975687,-9,-9,396967,5685166,25832,185,50050
194,-9,33975727,-9,-9,396967,5725151,25832,100,50051
207,-9,34055631,-9,-9,404963,5629188,25832,240,50052
209,-9,34055663,-9,-9,404963,5661176,25832,460,50053
210,371,34055671,-9,-9,4195213,5679028,31468,455,50054
212,-9,34055679,-9,-9,404964,5677169,25832,390,50055
213,354,34055687,-9,-9,4195883,5695171,31468,225,50056
214,-9,34055695,-9,-9,404964,5693163,25832,265,50057
215,300,34055735,-9,-9,4197859,5743177,31468,81,50058
228,-9,34135647,-9,-9,412960,5645182,25832,350,50059
230,-9,34135663,-9,-9,412960,5661176,25832,400,50060
232,-9,34135679,-9,-9,412960,5677169,25832,315,50061
234,-9,34135687,-9,-9,412960,5685166,25832,475,50062
237,-9,34135711,-9,-9,412961,5709157,25832,135,50063
239,-9,34135791,-9,-9,412962,5789125,25832,130,50064
252,9407,34215639,-9,-9,4209959,5646557,31468,350,50065
253,-9,34215647,-9,-9,420957,5645182,25832,410,50066
254,390,36215655,-9,-9,4210636,5662411,31468,440,50067
257,372,34215671,-9,-9,4211229,5678500,31468,380,50068
261,245,34215783,-9,-9,4215855,5790547,31468,62,50069
263,-9,34215791,-9,-9,420959,5789125,25832,120,50070
274,-9,34295631,-9,-9,428954,5629188,25832,470,50071
275,-9,34295639,-9,-9,428954,5637185,25832,320,50072
277,-9,34295655,-9,-9,428954,5653179,25832,390,50073
279,-9,34295663,-9,-9,428954,5661175,25832,480,50074
280,-9,34295671,-9,-9,428954,5669172,25832,260,50075
282,-9,34295679,-9,-9,428954,5677169,25832,485,50076
286,-9,34295735,-9,-9,428955,5733147,25832,95,50077
288,-9,34295767,-9,-9,428955,5765134,25832,50,50078
303,424,34375623,-9,-9,4225298,5629851,31468,580,50079
306,408,34375639,-9,-9,4226027,5645950,31468,300,50080
307,-9,34375647,-9,-9,436951,5645182,25832,430,50081
309,391,34375655,-9,-9,4226500,5661759,31468,540,50082
311,-9,34375663,-9,-9,436951,5661175,25832,480,50083
313,373,34375671,-9,-9,4227220,5677852,31468,400,50084
315,-9,34375679,-9,-9,436951,5677169,25832,450,50085
318,339,34375703,-9,-9,4228574,5709870,31468,250,50086
319,283,34375751,-9,-9,4230485,5757769,31468,72,50087
332,-9,34455639,-9,-9,444948,5637185,25832,540,50088
334,-9,34455647,-9,-9,444948,5645182,25832,630,50089
335,-9,34455655,-9,-9,444948,5653178,25832,550,50090
337,-9,34455663,-9,-9,444948,5661175,25832,560,50091
339,-9,34455687,-9,-9,444948,5685166,25832,560,50092
340,-9,34455695,-9,-9,444948,5693163,25832,340,50093
342,-9,34455703,-9,-9,444948,5701160,25832,325,50094
356,409,34535639,-9,-9,4241888,5645454,31468,500,50095
358,-9,34535647,-9,-9,452944,5645182,25832,550,50096
360,-9,34535663,-9,-9,452944,5661175,25832,650,50097
363,-9,34535679,-9,-9,452945,5677169,25832,570,50098
365,357,34535687,-9,-9,4243826,5693254,31468,420,50099
366,-9,34535695,-9,-9,452945,5693163,25832,490,50100
367,340,34535703,-9,-9,4244747,5709268,31468,320,50101
368,-9,34535775,-9,-9,452946,5773131,25832,140,50102
383,-9,34615647,-9,-9,460941,5645181,25832,490,50103
385,-9,34615663,-9,-9,460941,5661175,25832,520,50104
387,-9,34615671,-9,-9,460941,5669172,25832,680,50105
389,-9,34615679,-9,-9,460941,5677169,25832,640,50106
391,-9,34615687,-9,-9,460941,5685166,25832,500,50107
393,-9,34615703,-9,-9,460942,5701159,25832,370,50108
394,-9,34615767,-9,-9,460942,5765134,25832,240,50109
406,375,34695671,-9,-9,4259268,5676601,31468,530,50110
409,358,34695687,-9,-9,4260021,5692665,31468,660,50111
412,341,34695703,-9,-9,4260584,5708486,31468,380,50112
414,323,34695719,-9,-9,4261047,5724470,31468,200,50113
426,-9,34775679,-9,-9,476935,5677169,25832,490,50114
427,-9,34775703,-9,-9,476935,5701159,25832,440,50115
428,-9,34775719,-9,-9,476935,5717153,25832,230,50116
429,-9,34775727,-9,-9,476936,5725149,25832,135,50117
431,-9,34775791,-9,-9,476937,5789124,25832,88,50118
444,-9,34855695,-9,-9,484932,5693162,25832,400,50119
445,342,34855703,-9,-9,4276536,5707926,31468,440,50120
447,-9,34855711,-9,-9,484932,5709156,25832,340,50121
448,-9,34855727,-9,-9,484932,5725149,25832,19,50122
449,-9,34855743,-9,-9,484933,5741143,25832,155,50123
450,286,34855751,-9,-9,4278617,5755793,31468,220,50124
452,-9,34855807,-9,-9,484934,5805118,25832,50,50125
