bund_nr,lfd_nr,randtyp,randform,anfang_dist,anfang_azi,end_dist,end_azi,knick_dist,knick_azi
50004,1,2,2,4231,109,5035,153,3524,155
50005,1,3,1,1907,262,241,356,-2,-2
50006,1,1,1,2676,240,2827,293,-2,-2
50007,1,2,1,1822,220,2199,347,-2,-2
50009,1,3,1,1618,33,1885,294,-2,-2
50009,2,2,1,3502,84,3030,136,-2,-2
50010,1,3,2,3090,225,2306,186,1481,213
50013,1,1,1,2684,384,2469,24,-2,-2
50014,1,2,1,2403,266,2349,347,-2,-2
50023,1,2,2,3201,1,2911,300,1940,332
50024,1,3,2,3138,244,269,121,643,138
50025,1,3,1,2549,185,2525,262,-2,-2
50026,1,1,1,2687,175,2552,102,-2,-2
50032,1,3,-9,3092,160,3294,222,1207,202
50033,1,1,1,3007,113,2681,172,-2,-2
50036,1,3,1,4498,28,3794,343,-2,-2
50039,1,1,1,2922,298,3089,355,-2,-2
50039,2,1,1,2362,82,2088,166,-2,-2
50041,1,3,1,2814,350,2696,21,-2,-2
50042,1,2,1,2664,7,2648,128,-2,-2
50042,2,3,2,2007,211,2981,329,893,281
50045,1,3,1,1958,28,1994,307,-2,-2
50047,1,3,1,1828,375,1302,77,-2,-2
50048,1,3,1,1498,94,1581,330,-2,-2
50050,1,3,1,1601,312,2106,0,-2,-2
50052,1,3,2,2075,241,2095,186,1284,188
50053,1,3,1,1608,31,2136,311,-2,-2
50056,1,3,1,1918,52,2012,383,-2,-2
50057,1,1,2,1432,391,2015,308,1175,327
50057,2,1,1,2664,235,2538,149,-2,-2
50058,1,3,1,2352,120,2277,159,-2,-2
50059,1,1,1,2568,232,2864,298,-2,-2
50059,2,3,1,2980,335,2550,10,-2,-2
50060,1,3,1,1800,64,1889,356,-2,-2
50061,1,3,1,2419,393,1933,311,-2,-2
50062,1,3,2,3651,366,2812,35,2384,31
50063,1,3,1,2481,396,2210,290,-2,-2
50063,2,3,1,2412,195,2497,101,-2,-2
50064,1,1,1,2011,92,1372,372,-2,-2
50065,1,3,1,1591,4,1954,292,-2,-2
50068,1,3,2,2122,112,1828,387,1523,78
50069,1,2,1,2699,300,3007,235,-2,-2
50069,2,3,1,3096,71,2845,129,-2,-2
50070,1,3,1,1921,317,2319,182,-2,-2
50072,1,2,1,557,6,1957,302,-2,-2
50073,1,1,2,2950,352,3085,32,2167,398
50075,1,3,2,3050,358,3370,17,2366,12
50075,2,3,1,2725,262,3070,218,-2,-2
50080,1,1,2,3051,328,2736,382,2321,362
50080,2,3,2,2107,305,1245,213,271,275
50083,1,3,1,2608,217,2269,128,-2,-2
50086,1,3,1,2575,320,2250,22,-2,-2
50090,1,3,1,3277,169,2684,100,-2,-2
50092,1,3,1,2035,258,2123,74,-2,-2
50094,1,3,2,2913,175,2759,326,4249,232
50101,1,3,2,2524,221,2651,321,0,0
50102,1,1,2,2744,225,2149,163,1697,211
50102,2,1,1,2643,21,2857,395,-2,-2
50104,1,2,1,2098,2,2152,325,-2,-2
50106,1,1,1,3594,84,4097,27,-2,-2
50107,1,1,1,3169,54,2945,118,-2,-2
50109,1,3,2,2423,187,1829,386,833,245
50110,1,2,1,2031,145,1534,26,-2,-2
50110,2,3,1,2838,320,2630,240,-2,-2
50111,1,2,1,2144,129,2773,30,-2,-2
50112,1,3,2,3425,110,4411,194,2881,171
50114,1,1,1,3083,302,2250,17,-2,-2
50117,1,3,1,2614,394,4146,132,-2,-2
50117,2,2,1,4146,132,4092,183,-2,-2
50121,1,2,1,2111,313,1856,392,-2,-2
50122,1,1,2,1470,325,2383,196,1398,236
50122,2,1,1,1838,115,1825,20,-2,-2
50123,1,2,1,3497,239,2798,154,-2,-2
50124,1,2,1,3295,59,3523,5,-2,-2
50128,1,1,1,3450,368,3761,46,-2,-2
50131,1,3,2,2370,61,2785,144,1809,110
50132,1,3,1,2561,244,2266,316,-2,-2
50133,1,2,1,3109,143,2471,63,-2,-2
50134,1,3,1,3173,158,2806,115,-2,-2
50141,1,2,1,2453,202,2666,282,-2,-2
50142,1,2,2,3051,233,2906,302,2224,301
50142,2,1,1,1913,388,1820,118,-2,-2
50144,1,3,1,2018,48,1829,322,-2,-2
50145,1,3,1,2427,57,1767,376,-2,-2
50145,2,1,1,2986,252,2403,184,-2,-2
