bund_nr,lfd_nr,aufnahme,distanz,azimut,flaeche,zersetzung,baumgruppe,faktor
50001,1,-9,,,,-9,-9,-9.0
50001,2,-9,,,,-9,-9,-9.0
50001,3,-9,,,,-9,-9,-9.0
