id;kurz;lang;gueltig_ab;gueltig_bis
-9;fehlt;Merkmal vergessen, nicht rekonstruierbar oder unbekannt;01.01.1998;
-2;nicht ausgeprägt;Merkmal nicht ausgeprägt/nicht vorhanden;01.01.1998;
-1;nicht erhoben;Merkmal nicht erhoben;01.01.1998;
1;L;Linie;01.01.1989;
2;E;Eck;01.01.1989;
