"Nr_code","Chr_code_ger","name","icode","bot_name","bot_genus","bot_species","BWI","LH_NH","tpS_SP_com_name","tpS_ID","H_SP_group","BWI_SP_group","Bio_SP_group","N_SP_group","N_bg_SP_group","N_f_SP_group_MoMoK","RG_Wolff_bio","BWI_comparisson_group","bark_type_SP_group","fruit_type_SP_group"
"bpa","BPa","Balsampappel",127,"Populus balsamifera","Populus","balsamifera","pa","LB","Populus balsamifera",20,"bu","aLn","shw","BI","BI","aLB","BI","aLn","Populus balsamifera","Populus balsamifera"
"els","Els","Elsbeere",130,"Sorbus torminalis","Sorbus","torminalis","vb","LB","Sorbus torminalis",32,"bu","aLh","bu","BU","BU","aLB","VB","aLh","Sorbus torminalis","Sorbus torminalis"
"es","Es","Esche",131,"Fraxinus excelsior","Fraxinus","excelsior","es","LB","Fraxinus excelsior",21,"bu","aLh","bu","ES","BU","aLB","ES","aLh","Fraxinus excelsior","Fraxinus excelsior"
"fah","FAh","Feldahorn",132,"Acer campestre","Acer","campestre","fah","LB","Acer campestre",25,"bu","aLh","bu","AH","BU","aLB","BAH","aLh","Acer campestre","Acer campestre"
"wta","WTa","WeiÃŸ-Tanne",201,"Abies alba","Abies","alba","ta","NB","Abies alba",3,"ta","fi","fi","FI","FI","aNB","FI","ta","Abies alba","Abies alba"
"kta","KTa","Kuesten-Tanne",202,"Abies grandis","Abies","grandis","ta","NB","Abies grandis",4,"ta","fi","fi","FI","FI","aNB","FI","ta","Abies alba","Abies alba"
"lae","Lae","Laerche",203,"Larix spp.","Larix","spp.","lae","NB","Larix spp.",9,"lae","ki","ki","KI","LA","aNB","FI","lae","Larix spp.","Larix spp."
"ela","ELa","Europaeische Laerche",204,"Larix decidua","Larix","decidua","ela","NB","Larix decidua",10,"lae","ki","ki","KI","LA","aNB","FI","lae","Larix decidua","Larix decidua"
"jla","JLa","Japanische Laerche",205,"Larix kaempferi","Larix","kaempferi","jla","NB","Larix kaempferi",11,"lae","ki","ki","KI","LA","aNB","FI","lae","Larix kaempferi","Larix kaempferi"
"gfi","GFi","Gewoehnliche Fichte",207,"Picea abies","Picea","abies","fi","NB","Picea abies",1,"fi","fi","fi","FI","FI","FI","FI","fi","Picea abies","Picea abies"
"ski","SKi","Schwarz-Kiefer",210,"Pinus nigra","Pinus","nigra","ki","NB","Pinus nigra",6,"ki","ki","ki","KI","KIN","KI","KI","ki","Pinus nigra","Pinus nigra"
