"Nr_code","Chr_code_ger","name","icode","bot_name","bot_genus","bot_species","BWI","LH_NH","tpS_SP_com_name","tpS_ID","H_SP_group","BWI_SP_group","Bio_SP_group","N_SP_group","N_bg_SP_group","N_f_SP_group_MoMoK","RG_Wolff_bio","BWI_comparisson_group","bark_type_SP_group","fruit_type_SP_group"
"saw","SaW","Stink-Wacholder/Sadebaum",322,"Juniperus sabina","Juniperus","sabina","snb","NB","Coniferales trees",14,"fi","fi","fi","FI","FI","aNB","FI","fi","conifer species","conifer species"
"twa","TWa","Spanischer Wacholder",323,"Juniperus thurifera","Juniperus","thurifera","snb","NB","Coniferales trees",14,"fi","fi","fi","FI","FI","aNB","FI","fi","conifer species","conifer species"
"hzw","HZw","Hauszwetschge",324,"Prunus domestica","Prunus","domestica","kir","LB","Prunus avium",29,"bu","aLn","shw","BI","BI","aLB","BI","aLn","Prunus avium","Prunus avium"
"gbu","GBu","GewÃ¶hnliche Buchsbaum",325,"Buxus sempervirens","Buxus","sempervirens","slb","LB","Magnoliopsida trees",35,"bu","aLn","shw","BI","BI","aLB","BI","aLn","broadleaf species","broadleaf species"
"ohb","Ohb","Orientalische Hainbuche",326,"Carpinus orientalis","Carpinus","orientalis","hbu","LB","Carpinus betulus",16,"bu","aLh","bu","BU","BU","aLB","ES","aLh","Carpinus betulus","Carpinus betulus"
"han","HaN","Haselnussstrauch",327,"Corylus avellana","Corylus","avellana","slb","LB","Magnoliopsida trees",35,"bu","aLh","bu","BU","BU","aLB","ES","aLh","broadleaf species","broadleaf species"
"euk","Euk","Eukalypten",328,"Eucalyptus spp.","Eucalyptus","spp.","slb","LB","Magnoliopsida trees",35,"bu","aLn","shw","BI","BI","aLB","BI","aLn","broadleaf species","broadleaf species"
"fam","FaM","? Fagus moesiaca",329,"Fagus moesiaca","Fagus","moesiaca","bu","LB","Fagus sylvatica",15,"bu","bu","bu","BU","BU","aLB","BU","bu","Fagus sylvatica","Fagus sylvatica"
"sbe","SbE","SchmalblÃ¤ttrige Esche",330,"Fraxinus angustifolia spp. oxycarpa","Fraxinus","angustifolia spp. oxycarpa","es","LB","Fraxinus excelsior",21,"bu","aLh","bu","ES","BU","aLB","ES","aLh","Fraxinus excelsior","Fraxinus excelsior"
"mae","MaE","Manna-Esche",331,"Fraxinus ornus","Fraxinus","ornus","es","LB","Fraxinus excelsior",21,"bu","aLh","bu","ES","BU","aLB","ES","aLh","Fraxinus excelsior","Fraxinus excelsior"
"est","ESt","EuropÃ¤ische Stechpalme",332,"Ilex aquifolium","Ilex","aquifolium","slb","LB","Magnoliopsida trees",35,"bu","aLn","shw","BI","BI","aLB","BI","aLn","broadleaf species","broadleaf species"
"eoe","EOe","Echtem Ã–lbaum",333,"Olea europaea","Olea","europaea","slb","LB","Magnoliopsida trees",35,"bu","aLn","shw","BI","BI","aLB","BI","aLn","broadleaf species","broadleaf species"
"hob","HoB","Hopfenbuche",334,"Ostrya carpinifolia","Ostrya","carpinifolia","slb","LB","Magnoliopsida trees",35,"bu","aLn","shw","BI","BI","aLB","BI","aLn","broadleaf species","broadleaf species"
"opl","OPl","Orientalische Platane",335,"Platanus orientalis","Platanus","orientalis","slb","LB","Magnoliopsida trees",35,"bu","aLh","bu","BU","BU","aLB","ES","aLh","broadleaf species","broadleaf species"
"mab","MaB","Mandelbaum",336,"Prunus dulcis","Prunus","dulcis","kir","LB","Prunus avium",29,"bu","aLh","bu","BU","BU","aLB","ES","aLh","Prunus avium","Prunus avium"
"ste","StE","Stech-/Kermes-Eiche",337,"Quercus coccifera","Quercus","coccifera","ei","LB","Quercus spp.",17,"ei","ei","ei","EI","EI","aLB","EI","ei","Quercus spp.","Quercus spp."
"poe","PoE","Portugiesische-/Zen-Eiche",338,"Quercus faginea","Quercus","faginea","ei","LB","Quercus spp.",17,"ei","ei","ei","EI","EI","aLB","EI","ei","Quercus spp.","Quercus spp."
"une","UnE","Ungarische Eiche",339,"Quercus frainetto","Quercus","frainetto","ei","LB","Quercus spp.",17,"ei","ei","ei","EI","EI","aLB","EI","ei","Quercus spp.","Quercus spp."
"gae","GaE","Gallen-/FÃ¤rber-Eiche",340,"Quercus fruticosa","Quercus","fruticosa","ei","LB","Quercus spp.",17,"ei","ei","ei","EI","EI","aLB","EI","ei","Quercus spp.","Quercus spp."
"see","SeE","Steineiche",341,"Quercus ilex","Quercus","ilex","ei","LB","Quercus spp.",17,"ei","ei","ei","EI","EI","aLB","EI","ei","Quercus spp.","Quercus spp."
"vae","VaE","Valonia Eiche",342,"Quercus macrolepis","Quercus","macrolepis","ei","LB","Quercus spp.",17,"ei","ei","ei","EI","EI","aLB","EI","ei","Quercus spp.","Quercus spp."
"fle","FlE","Flaumeiche",343,"Quercus pubescens","Quercus","pubescens","ei","LB","Quercus spp.",17,"ei","ei","ei","EI","EI","aLB","EI","ei","Quercus spp.","Quercus spp."
"pye","PyE","PyrenÃ¤en-Eiche",345,"Quercus pyrenaica","Quercus","pyrenaica","ei","LB","Quercus spp.",17,"ei","ei","ei","EI","EI","aLB","EI","ei","Quercus spp.","Quercus spp."
"sie","SiE","Steineiche",346,"Quercus rotundifolia","Quercus","rotundifolia","ei","LB","Quercus spp.",17,"ei","ei","ei","EI","EI","aLB","EI","ei","Quercus spp.","Quercus spp."
"koe","KoE","Korkeiche",347,"Quercus suber","Quercus","suber","ei","LB","Quercus spp.",17,"ei","ei","ei","EI","EI","aLB","EI","ei","Quercus spp.","Quercus spp."
"mze","MzE","Mazedonische Eiche",348,"Quercus trojana","Quercus","trojana","ei","LB","Quercus spp.",17,"ei","ei","ei","EI","EI","aLB","EI","ei","Quercus spp.","Quercus spp."
"aaw","AaW","Asch-Weide",349,"Salix cinerea","Salix","cinerea","slb","LB","Salix spp.",34,"bu","aLn","shw","BI","BI","aLB","BI","aLn","Salix spp.","Salix spp."
"law","LaW","Lavendel-Weide",350,"Salix eleagnos","Salix","eleagnos","slb","LB","Salix spp.",34,"bu","aLn","shw","BI","BI","aLB","BI","aLn","Salix spp.","Salix spp."
"aft","AfT","Afrikanische Tamariske",351,"Tamarix africana","Tamarix","africana","slb","LB","Magnoliopsida trees",35,"bu","aLn","shw","BI","BI","aLB","BI","aLn","broadleaf species","broadleaf species"
"jbb","Jbb","Johannisbrotbaum",352,"Ceratonia siliqua","Ceratonia","siliqua","slb","LB","Magnoliopsida trees",35,"bu","aLn","shw","BI","BI","aLB","BI","aLn","broadleaf species","broadleaf species"
"gjb","GJb","GewÃ¶hnliche Judasbaum",353,"Cercis siliquastrum","Cercis","siliquastrum","slb","LB","Magnoliopsida trees",35,"bu","aLn","shw","BI","BI","aLB","BI","aLn","broadleaf species","broadleaf species"
"bhe","BHe","Baumheide",354,"Erica arborea","Erica","arborea","slb","LB","Magnoliopsida trees",35,"bu","aLn","shw","BI","BI","aLB","BI","aLn","broadleaf species","broadleaf species"
"she","SHe","Spanische Besen-Heide",355,"Erica scoparia","Erica","scoparia","slb","LB","Magnoliopsida trees",35,"bu","aLn","shw","BI","BI","aLB","BI","aLn","broadleaf species","broadleaf species"
"elo","ELo","Echte Lorbeer",356,"Laurus nobilis","Laurus","nobilis","slb","LB","Magnoliopsida trees",35,"bu","aLn","shw","BI","BI","aLB","BI","aLn","broadleaf species","broadleaf species"
"gmy","GMy","Gemeine Myrte",357,"Myrtus communis","Myrtus","communis","slb","LB","Magnoliopsida trees",35,"bu","aLn","shw","BI","BI","aLB","BI","aLn","broadleaf species","broadleaf species"
"ssl","SSL","Steinlinde",358,"Phillyrea angustifolia","Phillyrea","angustifolia","slb","LB","Magnoliopsida trees",35,"bu","aLn","shw","BI","BI","aLB","BI","aLn","broadleaf species","broadleaf species"
"tpi","TPi","Terpentin-Pistazie",359,"Pistacia terebinthus","Pistacia","terebinthus","slb","LB","Magnoliopsida trees",35,"bu","aLn","shw","BI","BI","aLB","BI","aLn","broadleaf species","broadleaf species"
"swd","SWd","Schwarzer WeiÃŸdorn",360,"Rhamnus oleoides","Rhamnus","oleoides","slb","LB","Magnoliopsida trees",35,"bu","aLh","bu","BU","BU","aLB","FKD","aLh","broadleaf species","broadleaf species"
"skd","SKd","Stechpalmen-Kreuzdorn",361,"Rhamnus alaternus","Rhamnus","alaternus","slb","LB","Magnoliopsida trees",35,"bu","aLh","bu","BU","BU","aLB","FKD","aLh","broadleaf species","broadleaf species"
"fjb","FjB","Fjellbirke",362,"Betula tortuosa","Betula","tortuosa","bi","LB","Betula spp.",26,"bu","aLn","shw","BI","BI","BI","BI","aLn","Betula spp.","Betula spp."
"kas","KaS","Kanarische Stechpalme",363,"Ilex canariensis","Ilex","canariensis","slb","LB","Magnoliopsida trees",35,"bu","aLn","shw","BI","BI","aLB","BI","aLn","broadleaf species","broadleaf species"
"azl","AzL","Azoren-Lorbeer",364,"Laurus canariensis","Laurus","canariensis","slb","LB","Magnoliopsida trees",35,"bu","aLn","shw","BI","BI","aLB","BI","aLn","broadleaf species","broadleaf species"
"gab","GaB","Gagelbaum",365,"Myrica faya","Myrica","faya","slb","LB","Magnoliopsida trees",35,"bu","aLn","shw","BI","BI","aLB","BI","aLn","broadleaf species","broadleaf species"
"zae","ZAE","Zentralanatolische Eichen",366,"Quercus ?","Quercus","?","ei","LB","Quercus spp.",17,"ei","ei","ei","EI","EI","aLB","EI","ei","Quercus spp.","Quercus spp."
"bta","BTa","Bulgarische Tanne",367,"Abies borisii-regis","Abies","borisii-regis","ta","NB","Abies alba",3,"ta","fi","fi","FI","FI","aNB","FI","ta","Abies alba","Abies alba"
"gta","GTa","Griechische Tanne",368,"Abies cephalonica","Abies","cephalonica","ta","NB","Abies alba",3,"ta","fi","fi","FI","FI","aNB","FI","ta","Abies alba","Abies alba"
"spt","SpT","Spanische Tanne",369,"Abies pinsapo","Abies","pinsapo","ta","NB","Abies alba",3,"ta","fi","fi","FI","FI","aNB","FI","ta","Abies alba","Abies alba"
"atz","AtZ","Atlas-Zeder",370,"Cedrus atlantica","Cedrus","atlantica","snb","NB","Coniferales trees",14,"fi","fi","fi","FI","FI","aNB","FI","fi","conifer species","conifer species"
"hiz","HiZ","Himalaya-Zeder",371,"Cedrus deodara","Cedrus","deodara","snb","NB","Coniferales trees",14,"fi","fi","fi","FI","FI","aNB","FI","fi","conifer species","conifer species"
"wze","WZe","WeiÃŸe Zeder",372,"Cupressus lusitanica","Cupressus","lusitanica","snb","NB","Coniferales trees",14,"fi","fi","fi","FI","FI","aNB","FI","fi","conifer species","conifer species"
"mzy","MZy","Mittelmeerzypresse",373,"Cupressus sempervirens","Cupressus","sempervirens","snb","NB","Coniferales trees",14,"fi","fi","fi","FI","FI","aNB","FI","fi","conifer species","conifer species"
"kki","KKi","Kalabrische Kiefer",374,"Pinus brutia","Pinus","brutia","ki","NB","Pinus sylvestris",5,"ki","ki","ki","KI","KI","KI","KI","ki","Pinus spp.","Pinus spp."
"kak","KaK","Kanarische Kiefer",375,"Pinus canariensis","Pinus","canariensis","ki","NB","Pinus sylvestris",5,"ki","ki","ki","KI","KI","KI","KI","ki","Pinus spp.","Pinus spp."
"aki","AKi","Aleppo-Kiefer",376,"Pinus halepensis","Pinus","halepensis","ki","NB","Pinus sylvestris",5,"ki","ki","ki","KI","KI","KI","KI","ki","Pinus spp.","Pinus spp."
"sck","ScK","Schlangenhaut-Kiefer",377,"Pinus heldreichii","Pinus","heldreichii","ki","NB","Pinus sylvestris",5,"ki","ki","ki","KI","KI","KI","KI","ki","Pinus spp.","Pinus spp."
"shk","ShK","Schlangenhaut-Kiefer",378,"Pinus leucodermis","Pinus","leucodermis","ki","NB","Pinus sylvestris",5,"ki","ki","ki","KI","KI","KI","KI","ki","Pinus spp.","Pinus spp."
"sek","SeK","See-Kiefer",379,"Pinus pinaster","Pinus","pinaster","ki","NB","Pinus sylvestris",5,"ki","ki","ki","KI","KI","KI","KI","ki","Pinus spp.","Pinus spp."
"isk","ISK","Italienische Steinkiefer",380,"Pinus pinea","Pinus","pinea","ki","NB","Pinus sylvestris",5,"ki","ki","ki","KI","KI","KI","KI","ki","Pinus spp.","Pinus spp."
"mok","MoK","Monterey-Kiefer",381,"Pinus radiata","Pinus","radiata","ki","NB","Pinus sylvestris",5,"ki","ki","ki","KI","KI","KI","KI","ki","Pinus spp.","Pinus spp."
"zyz","ZyZ","Zypern-Zeder",382,"Cedrus brevifolia","Cedrus","brevifolia","snb","NB","Coniferales trees",14,"fi","fi","fi","FI","FI","aNB","FI","fi","conifer species","conifer species"
"hei","Hei","Hartwiss-Eiche",383,"Quercus hartwissiana","Quercus","hartwissiana","ei","LB","Quercus spp.",17,"ei","ei","ei","EI","EI","aLB","EI","ei","Quercus spp.","Quercus spp."
"kei","KEi","Kasnak-Eiche",384,"Quercus vulcanica","Quercus","vulcanica","ei","LB","Quercus spp.",17,"ei","ei","ei","EI","EI","aLB","EI","ei","Quercus spp.","Quercus spp."
"aei","AEi","Aleppo-Eiche",385,"Quercus infectoria","Quercus","infectoria","ei","LB","Quercus spp.",17,"ei","ei","ei","EI","EI","aLB","EI","ei","Quercus spp.","Quercus spp."
"pei","PEi","Persische Eiche",386,"Quercus macranthera","Quercus","macranthera","ei","LB","Quercus spp.",17,"ei","ei","ei","EI","EI","aLB","EI","ei","Quercus spp.","Quercus spp."
"lei","LEi","Libanon-Eiche",387,"Quercus libani","Quercus","libani","ei","LB","Quercus spp.",17,"ei","ei","ei","EI","EI","aLB","EI","ei","Quercus spp.","Quercus spp."
"bei","BEi","Brant'sche Eiche",388,"Quercus brantii","Quercus","brantii","ei","LB","Quercus spp.",17,"ei","ei","ei","EI","EI","aLB","EI","ei","Quercus spp.","Quercus spp."
"mei","MEi","Mount Tabor-Eiche",389,"Quercus ithaburensis","Quercus","ithaburensis","ei","LB","Quercus spp.",17,"ei","ei","ei","EI","EI","aLB","EI","ei","Quercus spp.","Quercus spp."
"aue","AuE","Auchers Eiche",390,"Quercus aucheri","Quercus","aucheri","ei","LB","Quercus spp.",17,"ei","ei","ei","EI","EI","aLB","EI","ei","Quercus spp.","Quercus spp."
"are","ArE","Armenische Eiche",391,"Quercus pontica","Quercus","pontica","ei","LB","Quercus spp.",17,"ei","ei","ei","EI","EI","aLB","EI","ei","Quercus spp.","Quercus spp."
"eah","EAh","Eschen-Ahorn / EschenblÃ¤ttriger Ahorn",392,"Acer negundo","Acer","negundo","ah","LB","Acer spp.",22,"bu","aLh","bu","AH","BU","aLB","BAH","aLh","Acer spp.","Acer spp."
"sca","ScA","Schneeball-Ahorn / SchneeballblÃ¤ttriger Ahorn",393,"Acer obtusatum","Acer","obtusatum","ah","LB","Acer spp.",22,"bu","aLh","bu","AH","BU","aLB","BAH","aLh","Acer spp.","Acer spp."
"sia","SiA","Silber-Ahorn",394,"Acer saccharinum","Acer","saccharinum","ah","LB","Acer spp.",22,"bu","aLh","bu","AH","BU","aLB","BAH","aLh","Acer spp.","Acer spp."
"tsa","TSA","Tatarische Steppen-Ahorn",395,"Acer tataricum","Acer","tataricum","ah","LB","Acer spp.",22,"bu","aLh","bu","AH","BU","aLB","BAH","aLh","Acer spp.","Acer spp."
"gÃ¶b","GÃ¶B","GÃ¶tterbaum",396,"Ailanthus altissima","Ailanthus","altissima","slb","LB","Magnoliopsida trees",35,"bu","aLn","shw","BI","BI","aLB","BI","aLn","broadleaf species","broadleaf species"
"pmb","PMB"," Papiermaulbeerbaum",398,"Broussonetia papyrifera","Broussonetia","papyrifera","slb","LB","Magnoliopsida trees",35,"bu","aLn","shw","BI","BI","aLB","BI","aLn","broadleaf species","broadleaf species"
"shi","SHi","Schindelborkige Hickorynuss / Schuppenrinden-Hickorynus",399,"Carya ovata","Carya","ovata","slb","LB","Magnoliopsida trees",35,"bu","aLn","shw","BI","BI","aLB","BI","aLn","broadleaf species","broadleaf species"
"bha","BHa","Baum-Hasel, auch TÃ¤rkische Hasel",400,"Corylus colurna","Corylus","colurna","slb","LB","Magnoliopsida trees",35,"bu","aLh","bu","BU","BU","aLB","ES","aLh","broadleaf species","broadleaf species"
"zgw","ZgW"," Zweigriffelige WeiÃŸdorn",401,"Crataegus laevigata","Crataegus","laevigata","slb","LB","Magnoliopsida trees",35,"bu","aLn","shw","BI","BI","aLB","BI","aLn","broadleaf species","broadleaf species"
"agr","AGR","Alpen-Goldregen",403,"Laburnum alpinum","Laburnum","alpinum","slb","LB","Magnoliopsida trees",35,"bu","aLn","shw","BI","BI","aLB","BI","aLn","broadleaf species","broadleaf species"
"ggr","GGR","GewÃ¶hnlicher Goldregen",404,"Laburnum anagyroides","Laburnum","anagyroides","slb","LB","Magnoliopsida trees",35,"bu","aLn","shw","BI","BI","aLB","BI","aLn","broadleaf species","broadleaf species"
"bgb","BGB","Blauglockenbaum",406,"Paulownia tomentosa","Paulownia","tomentosa","slb","LB","Magnoliopsida trees",35,"bu","aLn","shw","BI","BI","aLB","BI","aLn","broadleaf species","broadleaf species"
"pet","PET","Petterie",407,"Petteria ramentacea","Petteria","ramentacea","slb","LB","Magnoliopsida trees",35,"bu","aLn","shw","BI","BI","aLB","BI","aLn","broadleaf species","broadleaf species"
"bst","BSt","BreitblÃ¤ttrige Steinlinde",408,"Phillyrea media","Phillyrea","media","slb","LB","Magnoliopsida trees",35,"bu","aLn","shw","BI","BI","aLB","BI","aLn","broadleaf species","broadleaf species"
"ruk","RuK","Rumelische Kiefer, Mazedonische Kiefer oder Balkankiefe",409,"Pinus peuce","Pinus","peuce","ki","NB","Pinus sylvestris",5,"ki","ki","ki","KI","KI","KI","KI","ki","Pinus spp.","Pinus spp."
"tÃ¤k","TÃ¤K","TrÃ¤nenkiefer",410,"Pinus wallichiana","Pinus","wallichiana","ki","NB","Pinus sylvestris",5,"ki","ki","ki","KI","KI","KI","KI","ki","Pinus spp.","Pinus spp."
"apl","APl","AhornblÃ¤ttrige Platane/Bastard-Platane, GewÃ¶hnliche Pla",411,"Platanus x acerifolia","Platanus","x acerifolia","slb","LB","Magnoliopsida trees",35,"bu","aLh","bu","BU","BU","aLB","ES","aLh","broadleaf species","broadleaf species"
"ksp","KSP","Kanadische Schwarz-Pappel oder Rosenkranz-Pappel",412,"Populus deltoides","Populus","deltoides","pa","LB","Populus spp.",19,"bu","aLn","shw","BI","BI","aLB","BI","aLn","Populus spp.","Populus balsamifera"
"lok","LoK","Lorbeerkirsche/Pontische Lorbeer-Kirsche und Kirschlorb",413,"Prunus laurocerasus","Prunus","laurocerasus","kir","LB","Prunus avium",29,"bu","aLn","shw","BI","BI","aLB","BI","aLn","Prunus avium","Prunus avium"
"stw","StW","Steinweichsel, Felsen-oder Weichselkirsche",414,"Prunus mahaleb","Prunus","mahaleb","kir","LB","Prunus avium",29,"bu","aLn","shw","BI","BI","aLB","BI","aLn","Prunus avium","Prunus avium"
"scd","ScD","Schlehdorn, Schwarzdorn",415,"Prunus sppinosa","Prunus","sppinosa","kir","LB","Prunus avium",29,"bu","aLn","shw","BI","BI","aLB","BI","aLn","Prunus avium","Prunus avium"
"gbe","GbE","GestieltblÃ¤tige Eiche",416,"Quercus pedunculiflora","Quercus","pedunculiflora","ei","LB","Quercus spp.",17,"ei","ei","ei","EI","EI","aLB","EI","ei","Quercus spp.","Quercus spp."
"puw","PuW","Purpurweide / Bachweide",417,"Salix purpurea","Salix","purpurea","slb","LB","Salix spp.",34,"bu","aLn","shw","BI","BI","aLB","BI","aLn","Salix spp.","Salix spp."
"maw","MaW","Mandelweide",418,"Salix triandra","Salix","triandra","slb","LB","Salix spp.",34,"bu","aLn","shw","BI","BI","aLB","BI","aLn","Salix spp.","Salix spp."
"kow","KoW","Korb-Weide / Hanf-Weide",419,"Salix viminalis","Salix","viminalis","slb","LB","Salix spp.",34,"bu","aLn","shw","BI","BI","aLB","BI","aLn","Salix spp.","Salix spp."
"Ã¶mb","Ã–Mb","Ostalpen-Mehlbeere, Alpen-Mehlbeere und Alpen-Oxelbirne",420,"Sorbus austriaca","Sorbus","austriaca","vb","LB","Sorbus aucuparia",36,"bu","aLh","bu","BU","BU","aLB","VB","aLh","Sorbus spp.","Sorbus spp."
"sot","SoT","Sommertamariske",421,"Tamarix ramosissima","Tamarix","ramosissima","slb","LB","Magnoliopsida trees",35,"bu","aLn","shw","BI","BI","aLB","BI","aLn","broadleaf species","broadleaf species"
"esz","ESZ","Echte Sumpfzypresse",422,"Taxodium distichum","Taxodium","distichum","slb","LB","Magnoliopsida trees",35,"bu","aLn","shw","BI","BI","aLB","BI","aLn","broadleaf species","broadleaf species"
"sil","SiL","Silber-Linde",423,"Tilia tomentosa","Tilia","tomentosa","li","LB","Tilia spp.",27,"bu","aLh","bu","BU","BU","aLB","ES","aLh","Tilia spp.","Tilia spp."
"hlt","HLT","Kanadische Hemlocktanne / Kanadische Schierlingstanne",424,"Tsuga canadensis","Tsuga","canadensis","snb","NB","Tsuga heterophylla",13,"fi","fi","fi","FI","FI","aNB","FI","fi","conifer species","conifer species"
"fue","FUE","Flatterulme / FlatterrÃ¼ster",425,"Ulmus laevis","Ulmus","laevis","ul","LB","Ulmus spp.",30,"bu","aLh","bu","BU","BU","aLB","ES","aLh","Ulmus spp.","Ulmus spp."
"feu","FeU","Feldulme / Iper",426,"Ulmus minor","Ulmus","minor","ul","LB","Ulmus spp.",30,"bu","aLh","bu","BU","BU","aLB","ES","aLh","Ulmus spp.","Ulmus spp."
