ICode;ACode;KurzD;KurzE;LangD;LangE;Sort;Farbe;Zu_1;Zu_2;Zu_3;Zu_4;Zu_5;BFH_Bemerkung;Konv_Ba2_Ba3;AutoKonv_Ba2_Ba3;Gattung;Art;BaGr;ba_str;ba_tarif;ba_ekh;ba_ln;ba_BWI1;ba_BWI1Schulze;Zu_2k;Zu_2l;BaEFDAC_2010;Zu_Ba1;Zu_Ba1Schulze;Zu_Ba2;Zu_Ba3;Zu_Ba3korr;Zu_BaEU;Zu_BaStf;Zu_BaGattung;Zu_BaFBa;Zu_BaRaum;Zu_BaBWI;Zu_BaBWIb;Zu_BaBWIc;Zu_BaBWId;Zu_BaStammhoehe;Zu_BaWSE;Zu_BaWehamDF;Zu_BaWehamW;Zu_BaWehamW2012;Zu_BaBDat20;Zu_BaLN;Zu_Ba_EiBuFiKi;Zu_Ba_LhNh;Konv_Ba1_Ba2;bart_bze;bart_bze_genau;Zu_2yz;Konv_Ba2_Ba2yz;Zu_ba_ehk2012;Zu_Wachs2012;Zu_BaVerj_BBuBE;VerjMinN_ha_BBuBE;Zu_BaAlle;Zu_BaHolz_Alle;DNA
-1;NULL;Angabe fehlt;missing;Angabe fehlt;missing data;NULL;NULL;0;0;0;NULL;NULL;;-1;-1;-;-;-  ;-  ;-  ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;-1;NULL;-1;-1;-1;-1;-1;-1;-1;NULL;-1;-1;-1;NULL;-1;-1;-1;-1;NULL;-1;-1;-1;-1;-1;NULL;NULL;0;-1;NULL;NULL;NULL;NULL;9999;9999;0
10;10;GFI;GFI;Gemeine Fichte;Norway spruce (Picea abies);3201;NULL;0;1;1;NULL;NULL;;10;10;Picea;abies;FI ;FI ;FI ;FI ;N;FI ;FI ;1;1;26004001;30914;30914;10;10;10;30001;32001;32019;30221;5;5;5;5;15;NULL;30014;30101;30101;30101;1;32000;31103;32000;10;GFi;GFi;1;10;0;1;12010;4000;9999;9999;1
11;11;OFI;OFI;Omorikafichte;Serbian spruce (Picea omorika);3202;NULL;0;1;0;NULL;NULL;;19;19;Picea;omorika;FI ;FI ;FI ;FI ;N;FI ;SNB;1;1;26004007;30914;30930;11;NULL;19;30001;32001;32019;30221;5;5;5;5;15;NULL;30012;30101;30101;30101;1;32000;31103;32000;11;Fi ;NULL;1;11;0;1;NULL;NULL;9999;9999;0
12;12;SFI;SFI;Sitkafichte;sitka spruce (Picea sitchensis);3203;NULL;0;1;1;NULL;NULL;BWI2 Code 19 (kurze Liste) oder 12 (lange Liste), evtl. beim Einzelbaum anhand BWI1-Codierung 927 bzw. 'SFI' rekonstruierbar;12;12;Picea;sitchensis;FI ;FI ;FI ;FI ;N;FI ;SFI;0;1;NULL;30914;30927;12;12;12;30000;32001;32019;30221;5;5;5;5;15;NULL;30012;30101;30101;30101;2;32000;31103;32000;12;SFi;SFi;0;19;0;1;12010;4000;9999;9999;0
13;13;SWFI;SWFI;Schwarzfichte;black spruce (Picea mariana);3204;NULL;0;1;0;NULL;NULL;;19;19;Picea;mariana;FI ;FI ;FI ;FI ;N;FI ;SNB;0;1;NULL;30914;30930;13;NULL;19;30000;32001;32019;30221;5;5;5;5;15;NULL;30012;30101;30101;30101;1;32000;31103;32000;13;Fi ;NULL;0;19;0;1;NULL;NULL;9999;9999;0
14;14;EFI;EFI;Engelmannsfichte;Engelmann spruce (Picea engelmannii);3205;NULL;0;1;0;NULL;NULL;;19;19;Picea;engelmannii;FI ;FI ;FI ;FI ;N;FI ;SNB;0;1;NULL;30914;30930;14;NULL;19;30000;32001;32019;30221;5;5;5;5;15;NULL;30012;30101;30101;30101;1;32000;31103;32000;14;Fi ;NULL;0;19;0;1;NULL;NULL;9999;9999;0
15;15;BFI;BFI;Blaufichte, Stechfichte;blue spruce (Picea pungens);3206;NULL;0;1;0;NULL;NULL;;19;19;Picea;pungens;FI ;FI ;FI ;FI ;N;FI ;SNB;0;1;NULL;30914;30930;15;NULL;19;30000;32001;32019;30221;5;5;5;5;15;NULL;30012;30101;30101;30101;1;32000;31103;32000;15;Fi ;NULL;0;19;0;1;NULL;NULL;9999;9999;0
16;16;WFI;WFI;Weißfichte;white spruce (Picea glauca);3207;NULL;0;1;0;NULL;NULL;;19;19;Picea;glauca;FI ;FI ;FI ;FI ;N;FI ;SNB;0;1;NULL;30914;30930;16;NULL;19;30000;32001;32019;30221;5;5;5;5;15;NULL;30012;30101;30101;30101;1;32000;31103;32000;16;Fi ;NULL;0;19;0;1;NULL;NULL;9999;9999;0
19;19;SOFI;SOFI;Sonstige Fichten;other spruces;3208;NULL;0;1;1;NULL;NULL;Achtung: Bei BWI2 (lange Liste) war unter Icode=19 auch Sitkafichte enthalten, sie ist bei BWI3 separat mit Icode=12 heraus zu lösen;19;19;Picea;(sonstige);FI ;FI ;FI ;FI ;N;FI ;SNB;1;0;26004999;30914;30930;19;19;19;30000;32001;32019;30221;5;5;5;5;15;NULL;30012;30101;30101;30101;1;32000;31103;32000;19;Fi ;NULL;1;19;0;1;12010;4000;9999;9999;0
20;20;KI;KI;Gemeine Kiefer;Scots pine (Pinus sylvestris);3261;NULL;0;1;1;NULL;NULL;;20;20;Pinus;sylvestris;KI ;KI ;KI ;KI ;N;KI ;KI ;1;1;26007007;30918;30918;20;20;20;30001;32003;32029;30222;8;8;8;8;18;NULL;30015;30101;30104;30102;5;32000;31104;32000;20;GKi;GKi;1;20;3;2;12020;8000;9999;9999;1
21;21;BKI;BKI;Bergkiefer;mountain pine (Pinus mugo);3262;NULL;0;1;1;NULL;NULL;;21;21;Pinus;mugo;KI ;KI ;KI ;KI ;N;KI ;SNB;1;1;26007008;30918;30930;21;21;21;30001;32003;32029;30222;8;8;8;8;18;NULL;30012;30101;30104;30102;5;32000;31104;32000;21;Ki ;NULL;1;21;3;2;12020;8000;9999;9999;0
22;22;SKI;SKI;Schwarzkiefer;European black pine (Pinus nigra);3263;NULL;0;1;1;NULL;NULL;;22;22;Pinus;nigra;KI ;KI ;KI ;KI ;N;KI ;SKI;1;1;26007006;30928;30928;22;22;22;30001;32003;32029;30222;8;8;8;8;18;NULL;30012;30101;30104;30102;6;32000;31104;32000;22;SKi;SKi;1;22;3;2;12020;8000;9999;9999;0
23;23;RKI;RKI;Rumelische Kiefer;macedonian pine (Pinus peuce) ;3264;NULL;0;1;0;NULL;NULL;;29;29;Pinus;peuce;KI ;KI ;KI ;KI ;N;KI ;SNB;1;1;26007999;30918;30930;23;NULL;29;30001;32003;32029;30222;8;8;8;8;18;NULL;30012;30101;30104;30102;5;32000;31104;32000;23;Ki ;NULL;1;23;3;2;NULL;NULL;9999;9999;0
24;24;ZKI;ZKI;Zirbelkiefer;Pinus cembra (Cembra pine);3265;NULL;0;1;1;NULL;NULL;;24;24;Pinus;cembra;KI ;KI ;KI ;KI ;N;KI ;SNB;1;1;26007014;30918;30930;24;24;24;30001;32003;32029;30222;8;8;8;8;18;NULL;30012;30101;30104;30102;5;32000;31104;32000;24;Ki ;NULL;1;24;3;2;12020;8000;9999;9999;0
25;25;WKI;WKI;Weymouthskiefer;eastern white pine (Pinus strobus);3266;NULL;0;1;1;NULL;NULL;BWI2 Code 29 (kurze Liste) oder 25 (lange Liste), evtl. beim Einzelbaum anhand BWI1-Codierung 937 bzw. 'WEY' rekonstruierbar;25;25;Pinus;strobus;KI ;KI ;KI ;KI ;N;WEY;WEY;0;1;NULL;30937;30937;25;25;25;30000;32003;32029;30222;8;8;8;8;18;NULL;30012;30101;30104;30102;7;32000;31104;32000;25;Ki ;NULL;0;29;3;2;12020;8000;9999;9999;0
