id,kurz,lang,gueltig_ab,gueltig_bis
-9,fehlt,"Merkmal vergessen, nicht rekonstruierbar oder unbekannt",2022-01-01,
-2,nicht ausgeprägt,Merkmal nicht ausgeprägt/nicht vorhanden,2022-01-01,
-1,nicht erhoben,Merkmal nicht erhoben,2022-01-01,
1,1,"bei Bodenbeprobung auf drei			1 m2 Flächen erhoben, Länge, Mittendurchmesser			gemessen",2022-01-01,
2,2,"bei Bestandeserhebung auf drei1 m2 Flächen erhoben, Länge, Mittendurchmessergemessen",2022-01-01,
3,3,bei Bodenbeprobung auf dreiFlächen mit anderer Fläche erhoben,2022-01-01,
4,4,"bei Bestandeserhebung auf dreiFlächen mit anderer Fläche erhoben Länge, Mittendurchmessergemessen",2022-01-01,
5,5,"bei Bodenbeprobung auf drei			Flächen mit anderer Fläche erhoben, Gewicht gewogen",2022-01-01,
6,6,"bei Bodenbeprobung auf drei			1m2 Flächen erhoben, Gewicht gewogen",2022-01-01,
9,9,kein Totholz vorhanden,2022-01-01,
