id,kurz,lang,gueltig_ab,gueltig_bis
-9,fehlt,"Merkmal vergessen, nicht rekonstruierbar oder unbekannt",1998-01-01,
-2,nicht ausgeprägt,Merkmal nicht ausgeprägt/nicht vorhanden,1998-01-01,2006-01-01
-1,nicht erhoben,Merkmal nicht erhoben,1998-01-01,
fs,fS,Feinsand,2006-01-01,
fsms,fSms,mittelsandiger Feinsand,2006-01-01,
fsgs,fSgs,grobsandiger Feinsand,2006-01-01,
ms,mS,Mittelsand,2006-01-01,
msfs,mSfs,feinsandiger Mittelsand,2006-01-01,
msgs,mSgs,grobsandiger Mittelsand,2006-01-01,
gs,gS,Grobsand,2006-01-01,
su2,Su2,schwach schluffiger Sand,2006-01-01,
sl2,Sl2,schwach lehmiger Sand,2006-01-01,
sl3,Sl3,mittel lehmiger Sand,2006-01-01,
st2,St2,schwach toniger Sand,2006-01-01,
su3,Su3,mittel schluffiger Sand,2006-01-01,
su4,Su4,stark schluffiger Sand,2006-01-01,
slu,Slu,schluffig-lehmiger Sand,2006-01-01,
sl4,Sl4,stark lehmiger Sand,2006-01-01,
st3,St3,mittel toniger Sand,2006-01-01,
ls2,Ls2,schwach sandiger Lehm,2006-01-01,
ls3,Ls3,mittel sandiger Lehm,2006-01-01,
ls4,Ls4,stark sandiger Lehm,2006-01-01,
lt2,Lt2,schwach toniger Lehm,2006-01-01,
lts,Lts,sandig-toniger Lehm,2006-01-01,
ts4,Ts4,stark sandiger Ton,2006-01-01,
ts3,Ts3,mittel sandiger Ton,2006-01-01,
uu,Uu,reiner Schluff,2006-01-01,
us,Us,sandiger Schluff,2006-01-01,
ut2,Ut2,schwach toniger Schluff,2006-01-01,
ut3,Ut3,mittel toniger Schluff,2006-01-01,
uls,Uls,sandig-lehmiger Schluff,2006-01-01,
ut4,Ut4,stark toniger Schluff,2006-01-01,
lu,Lu,schluffiger Lehm,2006-01-01,
lt3,Lt3,mittel toniger Lehm,2006-01-01,
tu3,Tu3,mittel schluffiger Ton,2006-01-01,
tu4,Tu4,stark schluffiger Ton,2006-01-01,
ts2,Ts2,schwach sandiger Ton,2006-01-01,
tl,Tl,lehmiger Ton,2006-01-01,
tu2,Tu2,schwach schluffiger Ton,2006-01-01,
tt,Tt,reiner Ton,2006-01-01,
hhsy,Hhsy,Cymbifolia-Torf,2006-01-01,
hhsu,Hhsu,Cuspidata-Torf-Torf,2006-01-01,
hhsa,Hhsa,Acutifolia-Torf,2006-01-01,
hnb,Hnb,verschiedene Torfarten,2006-01-01,
hhe,Hhe,Wollgrastorf,2006-01-01,
hha,Hha,Blasenbinsentorf,2006-01-01,
hnmy,Hnmy,Fieberkleetorf,2006-01-01,
hnq,Hnq,Schachtelhalmtorf,2006-01-01,
hnr,Hnr,Radizellentorf,2006-01-01,
hnp,Hnp,Schilftorf,2006-01-01,
hnd,Hnd,Schneidriedtorf,2006-01-01,
hhi,Hhi,Heidekrauttorf,2006-01-01,
hhk,Hhk,Kiefernhochmoortorf,2006-01-01,
hulk,Hulk,Kiefernbruchwaldtorf,2006-01-01,
hulb,Hulb,Birkenbruchwaldtorf,2006-01-01,
hnle,Hnle,Erlenbruchwaldtorf,2006-01-01,
ha,Ha,amorphe Torfe,2006-01-01,
ss,Ss,Sand,1998-01-01,
l,L,Lehm,1998-01-01,2006-01-01
ls,Ls,sandiger Lehm,1998-01-01,2006-01-01
lt,Lt,toniger Lehm,1998-01-01,2006-01-01
s,S,Sand,1998-01-01,2006-01-01
sl,Sl,lehmiger Sand,1998-01-01,2006-01-01
su,Su,schluffiger Sand,1998-01-01,2006-01-01
t,T,Ton,1998-01-01,2006-01-01
ts,Ts,sandiger Ton,1998-01-01,2006-01-01
tu,Tu,schluffiger Ton,1998-01-01,2006-01-01
u,U,Schluff,1998-01-01,2006-01-01
ul,Ul,lehmiger Schluff,1998-01-01,2006-01-01
ut,Ut,toniger Schluff,1998-01-01,2006-01-01
h,H,Torf,1998-01-01,2006-01-01
sss,Sss,reiner Sand,2022-01-01,2006-01-01
hhs,Hhs,sonstige Torfe,2022-01-01,
