id,kurz,lang,kombi_hori,gueltig_ab,gueltig_bis
-1,nicht erhoben,Merkmal nicht erhoben,-9,1998-01-01,
-2,nicht ausgeprägt,Merkmal nicht ausgeprägt/nicht vorhanden,-2,1998-01-01,
-9,fehlt,"Merkmal vergessen, nicht rekonstruierbar oder unbekannt",-1,1998-01-01,
a,a,anmoorig,a,1998-01-01,
a,a,bei Absonderungsgefüge,h,1998-01-01,
(b),(b),gebändert,b,1998-01-01,
d,d,"wasserstauend, dicht",s,1998-01-01,
e,e,"eluvial, ausgewaschen, sauergebleicht",a,1998-01-01,
f,f,fragmentiert,o,1998-01-01,
(f),(f),lockeres Gefüge (Lockerbraunerde),b,1998-01-01,
g,g,haftnässegeprägt,s,1998-01-01,
h,h,humifiziert,o,1998-01-01,
i,i,"initial, sehr schwach entwickelt",a,1998-01-01,
j,j,fersiallitisch,c,1998-01-01,
(k),(k),konkretioniert,b,1998-01-01,
l,l,"tonverarmt, lessiviert",a,1998-01-01,
(m),(m),"massiv, pedogen verfestigt",b,1998-01-01,
n,n,"neu, frisch, unverwittert",c,1998-01-01,
o,o,oxidiert,f,1998-01-01,
p,p,"bearbeitet, gepflügt",a,1998-01-01,
q,q,Knickhorizont,s,1998-01-01,
r,r,reduziert,f,1998-01-01,
s,s,sesquioxidangereichert,h,1998-01-01,
t,t,tonangereichert,b,1998-01-01,
t,t,geschrumpft,h,1998-01-01,
u,u,rubefiziert,b,1998-01-01,
v,v,vererdet (bei Torfen),h,1998-01-01,
v,v,verwittert,b,1998-01-01,
w,w,stauwasserleitend,s,1998-01-01,
(z),(z),"pedogen salzhaltig Leitfähigkeit >= 0,75 mS / cm im Sättigungsextrakt, verursacht durch leicht löslic",h,1998-01-01,
a,a,niedriger oxalatlöslicher Si-Gehalt,n,2022-01-01,
ff,ff,ff: Anteil organischer Feinsubstanz zwischen 10 und 30 Vol-% der Summe organischer Feinsubstanz und oberirdischen Pflanzenresten,o,2022-01-01,2022-01-01
hf,hf,hf: Anteil organischer Feinsubstanz zwi-schen 30 und 70 Vol-% der Summe or-ganischer Feinsubstanz und oberirdi-schen Pflanzenresten,o,2022-01-01,
f,f,"faserig, organische Substanz aus nicht oder nur schwach zersetzten Pflanzenres-ten, Pflanzenstrukturen deutlich erkenn-bar, Wasser beim Quetschen farblos bis braun, Rückstand nicht breiartig. Humi-fizierungsgrad nach von Post H1 bis H4",h,2022-01-01,
bh,bh,bh: bröckelig,o,2022-01-01,
kh,kh,kh: kompakt gelagert,o,2022-01-01,
sh,sh,"sh: scharfkantig, brechbar",o,2022-01-01,
vh,vh,vh: im Kontakt zu festem Gestein  oder Grobskelett,o,2022-01-01,
h,h,"humifiziert, an der Bodenoberfläche organische Substanz aus stark und sehr stark zersetzten Pflanzenresten, H8-H10",h,2022-01-01,
(k),(k),kultotroph,a,2022-01-01,
m,m,"mittel, organische Substanz aus mittel zersetzten Pflanzenresten, H5-H7",h,2022-01-01,
s,s,hoher oxalatlöslicher Si-Gehalt,n,2022-01-01,
u,u,"Sehr stark durchwurzelt, Anteil Feinwurzeldichte (< 2 mm) mehr als 50 Vol-%",o,2022-01-01,2022-01-01
(c),(c),"Carbonatangereichert, sekundär",g,2022-01-01,
w,w,zeitweilig grundwassererfüllt,f,2022-01-01,
(x),(x),biogen gemixt,a,2022-01-01,
(b),(b),gebändert,c,1998-01-01,
c,c,"Carbonatangereichert, sekundär",m,2022-01-01,
(c),(c),"Carbonatangereichert, sekundär",b,2022-01-01,
c,c,"Carbonatangereichert, sekundär",c,2022-01-01,
(c),(c),"Carbonatangereichert, sekundär",a,2022-01-01,
(c),(c),"Carbonatangereichert, sekundär",t,2022-01-01,
(c),(c),"Carbonatangereichert, sekundär",h,2022-01-01,
(c),(c),"Carbonatangereichert, sekundär",s,2022-01-01,
(e),(e),"eluvial, ausgewaschen, sauergebleicht",s,1998-01-01,
h,h,humos,a,1998-01-01,
h,h,humos,b,1998-01-01,
(h),(h),humushaltig,g,1998-01-01,
h,h,humus,f,1998-01-01,
i,i,"initial, sehr schwach entwickelt",f,1998-01-01,
(k),(k),konkretioniert,c,1998-01-01,
(k),(k),konkretioniert,g,1998-01-01,
k,k,kultotroph,h,2022-01-01,
(m),(m),"massiv, pedogen verfestigt",g,1998-01-01,
o,o,oxidiert,g,1998-01-01,
o,o,oxidiert,y,1998-01-01,
p,p,"bearbeitet, gepflügt",h,1998-01-01,
(r),(r),reduziert,s,1998-01-01,
r,r,reduziert,g,1998-01-01,
r,r,reduziert,h,1998-01-01,
r,r,reduziert,y,1998-01-01,
s,s,sesquioxidangereichert,b,1998-01-01,
(s),(s),sesquioxidangereichert,g,1998-01-01,
(t),(t),tonangereichert,c,1998-01-01,
u,u,rubefiziert,t,1998-01-01,
u,u,"Sehr stark durchwurzelt, Anteil Feinwurzeldichte (< 2 mm) mehr als 50 Vol-%",h,2022-01-01,
u,u,"Sehr stark durchwurzelt, Anteil Feinwurzeldichte (< 2 mm) mehr als 50 Vol-%",a,2022-01-01,
(v),(v),vererdet (bei Torfen),o,1998-01-01,2022-01-01
v,v,verwittert,t,1998-01-01,
v,v,verwittert,c,1998-01-01,
