id,kurz,lang,gueltig_ab,gueltig_bis
-1,nicht erhoben,"Merkmal vergessen, nicht rekonstruierbar oder unbekannt",1989-01-01,
-2,nicht ausgeprägt,Merkmal nicht ausgeprägt/nicht vorhanden,1989-01-01,2006-01-01
-9,fehlt,Merkmal nicht erhoben,1989-01-01,
pts,PTS,aus Profilgrube bzw. Aufschluss: Tiefenstufenprobe von drei Profilwänden entnommen i. d. R. mehrere vertikale Schlitzproben pro Profilwand,1989-01-01,
phg,PHG,aus Profilgrube bzw. Aufschluss: Probe eines Horizontes i. d. R. mehrere vertikale Schlitzproben von drei Profilwänden entnommen,1989-01-01,
pss,PSS,aus Profilgrube bzw. Aufschluss: Schwermetallbestimmung: Beprobung am Profil für die BGR,1989-01-01,
pha,PHA,Probe von Horizonten des Auflagehumus am Profil entnommen,1989-01-01,
pks,PKS,Kleinschurf,1989-01-01,2006-01-01
phz,PHZ,"Horizontbezogene, volumengerechte Probe für die Bodenphysik",2022-01-01,
ptz,PTZ,"Tiefenstufenbezogene, volumengerechte Probe für die Bodenphysik",2022-01-01,
ssh,SSH,Horizontbezogene Spaten-/Schippenprobe,2022-01-01,
sst,SST,Tiefenstufenbezogene Spaten-/Schippenprobe,2022-01-01,
fha,FHA,Probe von Horizonten des Auflagehumus (mit Stechrahmen an 8 Stellen entnommen),1989-01-01,
fhg,FHG,Gesamtprobe eines Horizontes (mit Probenbohrer an 8 Stellen horizontbezogen entnommen),1989-01-01,
fts,FTS,"Tiefenstufenbezogene, volumengerechte Probe für die Bodenphysik (TRD)",2022-01-01,
ftg,FTG,Mischprobe aus einer Tiefenstufe (mit Probenbohrer an acht Stellen u. ggf. zusätzlich am Profil nach Tiefenstufen entnommen),2022-01-01,
fhs,FHS,"Horizontbezogene, volumengerechte Probe für die Bodenphysik (TRD)",2022-01-01,
