bfhnr;bart;N-Gehalt [g/kg];Moor oder nicht;;;;;;;;
10030;Gewoehnliche Fichte;13,1;nicht Moor;;;;;;;;
10033;Gewoehnliche Fichte;14,8;nicht Moor;;;;;;;;
10033;Gewoehnliche Fichte;13,3;nicht Moor;;;;;;;;
10033;Gewoehnliche Kiefer;NULL;nicht Moor;;;;;;;;
10033;Gewoehnliche Kiefer;NULL;nicht Moor;;;;;;;;
10033;Gewoehnliche Kiefer;18,2;nicht Moor;;;;;;;;
10033;Gewoehnliche Kiefer;17,2;nicht Moor;;;;;;;;
10035;Gewoehnliche Fichte;16,2;nicht Moor;;;;;;;;
10035;Gewoehnliche Fichte;13,6;nicht Moor;;;;;;;;
10036;Gewoehnliche Fichte;16,4;nicht Moor;;;;;;;;
10036;Gewoehnliche Fichte;15,1;nicht Moor;;;;;;;;
10038;Gewoehnliche Fichte;17,5;nicht Moor;;;;;;;;
10038;Gewoehnliche Fichte;17;nicht Moor;;;;;;;;
10042;Gewoehnliche Fichte;16;nicht Moor;;;;;;;;
10042;Gewoehnliche Fichte;15,4;nicht Moor;;;;;;;;
30014;Gewoehnliche Fichte;17,18;nicht Moor;;;;;;;;
30014;Gewoehnliche Fichte;16,05;nicht Moor;;;;;;;;
30014;Gewoehnliche Fichte;15,17;nicht Moor;;;;;;;;
30016;Gewoehnliche Fichte;15,94;nicht Moor;;;;;;;;
30016;Gewoehnliche Fichte;15,75;nicht Moor;;;;;;;;
30016;Gewoehnliche Fichte;14,12;nicht Moor;;;;;;;;
30029;Gewoehnliche Fichte;16,54;nicht Moor;;;;;;;;
30029;Gewoehnliche Fichte;14,87;nicht Moor;;;;;;;;
30029;Gewoehnliche Fichte;14,21;nicht Moor;;;;;;;;
30031;Gewoehnliche Fichte;14,9;nicht Moor;;;;;;;;
30031;Gewoehnliche Fichte;13,64;nicht Moor;;;;;;;;
30031;Gewoehnliche Fichte;12,87;nicht Moor;;;;;;;;
30032;Gewoehnliche Fichte;15,44;nicht Moor;;;;;;;;
30032;Gewoehnliche Fichte;14,33;nicht Moor;;;;;;;;
30032;Gewoehnliche Fichte;14,16;nicht Moor;;;;;;;;
30034;Gewoehnliche Fichte;17,75;nicht Moor;;;;;;;;
30034;Gewoehnliche Fichte;16,41;nicht Moor;;;;;;;;
30034;Gewoehnliche Fichte;16,18;nicht Moor;;;;;;;;
30036;Gewoehnliche Fichte;16,81;nicht Moor;;;;;;;;
30036;Gewoehnliche Fichte;16,12;nicht Moor;;;;;;;;
30036;Gewoehnliche Fichte;15,7;nicht Moor;;;;;;;;
30039;Gewoehnliche Fichte;15,55;nicht Moor;;;;;;;;
30039;Gewoehnliche Fichte;14,49;nicht Moor;;;;;;;;
30039;Gewoehnliche Fichte;13,07;nicht Moor;;;;;;;;
30040;Gewoehnliche Fichte;15,07;nicht Moor;;;;;;;;
30040;Gewoehnliche Fichte;15,3;nicht Moor;;;;;;;;
30040;Gewoehnliche Fichte;13,21;nicht Moor;;;;;;;;
30042;Gewoehnliche Fichte;17;nicht Moor;;;;;;;;
30042;Gewoehnliche Fichte;15,8;nicht Moor;;;;;;;;
30042;Gewoehnliche Fichte;14,65;nicht Moor;;;;;;;;
30053;Gewoehnliche Fichte;16,7307;nicht Moor;;;;;;;;
30053;Gewoehnliche Fichte;15,11;nicht Moor;;;;;;;;
30053;Gewoehnliche Fichte;14,29;nicht Moor;;;;;;;;
30062;Gewoehnliche Fichte;18,75;nicht Moor;;;;;;;;
30062;Gewoehnliche Fichte;16,66;nicht Moor;;;;;;;;
30062;Gewoehnliche Fichte;15,83;nicht Moor;;;;;;;;
30063;Gewoehnliche Fichte;16,49;nicht Moor;;;;;;;;
30063;Gewoehnliche Fichte;16,85;nicht Moor;;;;;;;;
30063;Gewoehnliche Fichte;18,09;nicht Moor;;;;;;;;
30077;Gewoehnliche Fichte;17,9;nicht Moor;;;;;;;;
30077;Gewoehnliche Fichte;17,98;nicht Moor;;;;;;;;
30077;Gewoehnliche Fichte;16,5;nicht Moor;;;;;;;;
30088;Gewoehnliche Kiefer;20,36;nicht Moor;;;;;;;;
30088;Gewoehnliche Kiefer;21,98;nicht Moor;;;;;;;;
30089;Gewoehnliche Kiefer;16,9;nicht Moor;;;;;;;;
30089;Gewoehnliche Kiefer;16,84;nicht Moor;;;;;;;;
30094;Gewoehnliche Kiefer;17,71;nicht Moor;;;;;;;;
30094;Gewoehnliche Kiefer;17,51;nicht Moor;;;;;;;;
30098;Gewoehnliche Fichte;17,59;nicht Moor;;;;;;;;
30098;Gewoehnliche Fichte;16,4;nicht Moor;;;;;;;;
30098;Gewoehnliche Fichte;15,53;nicht Moor;;;;;;;;
30099;Gewoehnliche Kiefer;17,18;nicht Moor;;;;;;;;
30099;Gewoehnliche Kiefer;17,78;nicht Moor;;;;;;;;
30105;Gewoehnliche Kiefer;17,96;nicht Moor;;;;;;;;
30105;Gewoehnliche Kiefer;18,97;nicht Moor;;;;;;;;
30107;Gewoehnliche Kiefer;15,17;nicht Moor;;;;;;;;
30107;Gewoehnliche Kiefer;15,87;nicht Moor;;;;;;;;
30110;Gewoehnliche Kiefer;17,34;nicht Moor;;;;;;;;
30110;Gewoehnliche Kiefer;16,19;nicht Moor;;;;;;;;
30111;Gewoehnliche Fichte;18,36;nicht Moor;;;;;;;;
30111;Gewoehnliche Fichte;15,85;nicht Moor;;;;;;;;
30111;Gewoehnliche Fichte;14,49;nicht Moor;;;;;;;;
30112;Gewoehnliche Kiefer;17,71;nicht Moor;;;;;;;;
30112;Gewoehnliche Kiefer;16,44;nicht Moor;;;;;;;;
30118;Gewoehnliche Kiefer;20,73;nicht Moor;;;;;;;;
30118;Gewoehnliche Kiefer;25,82;nicht Moor;;;;;;;;
30119;Gewoehnliche Fichte;18,69;nicht Moor;;;;;;;;
30119;Gewoehnliche Fichte;16,25;nicht Moor;;;;;;;;
30119;Gewoehnliche Fichte;15,23;nicht Moor;;;;;;;;
30123;Gewoehnliche Fichte;21,39;nicht Moor;;;;;;;;
30123;Gewoehnliche Fichte;19,16;nicht Moor;;;;;;;;
30123;Gewoehnliche Fichte;19,26;nicht Moor;;;;;;;;
30123;Gewoehnliche Kiefer;20,39;nicht Moor;;;;;;;;
30123;Gewoehnliche Kiefer;22,05;nicht Moor;;;;;;;;
