bfhnr;bart;N-Gehalt [g/kg];Moor oder nicht;;;;;;;;
70164;Gewoehnliche Kiefer;17,5;nicht Moor;;;;;;;;
70165;Gewoehnliche Kiefer;17,4;nicht Moor;;;;;;;;
70165;Gewoehnliche Kiefer;18;nicht Moor;;;;;;;;
80002;Gewoehnliche Fichte;17,7;nicht Moor;;;;;;;;
80002;Gewoehnliche Fichte;10,8;nicht Moor;;;;;;;;
80002;Gewoehnliche Fichte;8,7;nicht Moor;;;;;;;;
80009;Gewoehnliche Fichte;12,6;nicht Moor;;;;;;;;
80009;Gewoehnliche Fichte;12,4;nicht Moor;;;;;;;;
80009;Gewoehnliche Fichte;10,4;nicht Moor;;;;;;;;
80010;Gewoehnliche Fichte;17,1;nicht Moor;;;;;;;;
80010;Gewoehnliche Fichte;13,5;nicht Moor;;;;;;;;
80010;Gewoehnliche Fichte;9,6;nicht Moor;;;;;;;;
80012;Gewoehnliche Fichte;14;nicht Moor;;;;;;;;
80012;Gewoehnliche Fichte;11,5;nicht Moor;;;;;;;;
80012;Gewoehnliche Fichte;9,1;nicht Moor;;;;;;;;
80013;Gewoehnliche Fichte;15,5;nicht Moor;;;;;;;;
80013;Gewoehnliche Fichte;11,9;nicht Moor;;;;;;;;
80013;Gewoehnliche Fichte;10,4;nicht Moor;;;;;;;;
80014;Gewoehnliche Fichte;11,8;nicht Moor;;;;;;;;
80014;Gewoehnliche Fichte;12,7;nicht Moor;;;;;;;;
80014;Gewoehnliche Fichte;10,2;nicht Moor;;;;;;;;
80017;Gewoehnliche Fichte;14,1;nicht Moor;;;;;;;;
80017;Gewoehnliche Fichte;NULL;nicht Moor;;;;;;;;
80017;Gewoehnliche Fichte;9,3;nicht Moor;;;;;;;;
80019;Gewoehnliche Fichte;15,4;nicht Moor;;;;;;;;
80019;Gewoehnliche Fichte;13,2;nicht Moor;;;;;;;;
80019;Gewoehnliche Fichte;9,2;nicht Moor;;;;;;;;
80020;Gewoehnliche Fichte;12,1;nicht Moor;;;;;;;;
80020;Gewoehnliche Fichte;11,6;nicht Moor;;;;;;;;
80020;Gewoehnliche Fichte;8,7;nicht Moor;;;;;;;;
80021;Gewoehnliche Fichte;14,4;nicht Moor;;;;;;;;
80021;Gewoehnliche Fichte;14;nicht Moor;;;;;;;;
80021;Gewoehnliche Fichte;10,8;nicht Moor;;;;;;;;
80022;Gewoehnliche Fichte;11,9;nicht Moor;;;;;;;;
80022;Gewoehnliche Fichte;11;nicht Moor;;;;;;;;
80022;Gewoehnliche Fichte;7,8;nicht Moor;;;;;;;;
80023;Gewoehnliche Fichte;11;nicht Moor;;;;;;;;
80023;Gewoehnliche Fichte;9,5;nicht Moor;;;;;;;;
80023;Gewoehnliche Fichte;9,7;nicht Moor;;;;;;;;
80024;Gewoehnliche Fichte;18,5;nicht Moor;;;;;;;;
80024;Gewoehnliche Fichte;17,7;nicht Moor;;;;;;;;
80024;Gewoehnliche Fichte;10;nicht Moor;;;;;;;;
80025;Gewoehnliche Fichte;12,6;nicht Moor;;;;;;;;
80025;Gewoehnliche Fichte;9,8;nicht Moor;;;;;;;;
80025;Gewoehnliche Fichte;8,3;nicht Moor;;;;;;;;
80028;Gewoehnliche Fichte;13,5;nicht Moor;;;;;;;;
80028;Gewoehnliche Fichte;11,8;nicht Moor;;;;;;;;
80028;Gewoehnliche Fichte;8,2;nicht Moor;;;;;;;;
80030;Gewoehnliche Fichte;18,6;nicht Moor;;;;;;;;
80030;Gewoehnliche Fichte;13,5;nicht Moor;;;;;;;;
80030;Gewoehnliche Fichte;9,9;nicht Moor;;;;;;;;
80031;Gewoehnliche Fichte;14;nicht Moor;;;;;;;;
80031;Gewoehnliche Fichte;10,3;nicht Moor;;;;;;;;
80032;Gewoehnliche Fichte;14,3;nicht Moor;;;;;;;;
80032;Gewoehnliche Fichte;13,4;nicht Moor;;;;;;;;
80032;Gewoehnliche Fichte;10,4;nicht Moor;;;;;;;;
80033;Gewoehnliche Fichte;14,8;nicht Moor;;;;;;;;
80033;Gewoehnliche Fichte;9,8;nicht Moor;;;;;;;;
80033;Gewoehnliche Fichte;9,2;nicht Moor;;;;;;;;
80034;Gewoehnliche Fichte;12,1;nicht Moor;;;;;;;;
80034;Gewoehnliche Fichte;9,7;nicht Moor;;;;;;;;
80034;Gewoehnliche Fichte;7;nicht Moor;;;;;;;;
80036;Gewoehnliche Fichte;16,5;nicht Moor;;;;;;;;
80036;Gewoehnliche Fichte;13,3;nicht Moor;;;;;;;;
80036;Gewoehnliche Fichte;10,9;nicht Moor;;;;;;;;
80040;Gewoehnliche Fichte;13,6;nicht Moor;;;;;;;;
80040;Gewoehnliche Fichte;13,3;nicht Moor;;;;;;;;
80040;Gewoehnliche Fichte;9,2;nicht Moor;;;;;;;;
80041;Gewoehnliche Fichte;13,5;nicht Moor;;;;;;;;
80041;Gewoehnliche Fichte;11,5;nicht Moor;;;;;;;;
80041;Gewoehnliche Fichte;7,2;nicht Moor;;;;;;;;
80042;Gewoehnliche Fichte;13,2;nicht Moor;;;;;;;;
80042;Gewoehnliche Fichte;8,5;nicht Moor;;;;;;;;
80042;Gewoehnliche Fichte;7,3;nicht Moor;;;;;;;;
80044;Gewoehnliche Fichte;11,6;nicht Moor;;;;;;;;
80044;Gewoehnliche Fichte;12,3;nicht Moor;;;;;;;;
80044;Gewoehnliche Fichte;10,8;nicht Moor;;;;;;;;
80045;Gewoehnliche Fichte;15,7;nicht Moor;;;;;;;;
80045;Gewoehnliche Fichte;14,3;nicht Moor;;;;;;;;
80045;Gewoehnliche Fichte;10,6;nicht Moor;;;;;;;;
80046;Gewoehnliche Fichte;13,1;nicht Moor;;;;;;;;
80046;Gewoehnliche Fichte;13;nicht Moor;;;;;;;;
80046;Gewoehnliche Fichte;11,2;nicht Moor;;;;;;;;
80048;Gewoehnliche Fichte;15,2;nicht Moor;;;;;;;;
80048;Gewoehnliche Fichte;12,3;nicht Moor;;;;;;;;
80048;Gewoehnliche Fichte;7,8;nicht Moor;;;;;;;;
80049;Gewoehnliche Fichte;15,4;nicht Moor;;;;;;;;
80049;Gewoehnliche Fichte;12,6;nicht Moor;;;;;;;;
80049;Gewoehnliche Fichte;9,3;nicht Moor;;;;;;;;
80050;Gewoehnliche Fichte;16,4;nicht Moor;;;;;;;;
80050;Gewoehnliche Fichte;14,9;nicht Moor;;;;;;;;
80050;Gewoehnliche Fichte;10,3;nicht Moor;;;;;;;;
80051;Gewoehnliche Fichte;15,9;nicht Moor;;;;;;;;
80051;Gewoehnliche Fichte;14,8;nicht Moor;;;;;;;;
80051;Gewoehnliche Fichte;13,3;nicht Moor;;;;;;;;
80052;Gewoehnliche Fichte;13,4;nicht Moor;;;;;;;;
80052;Gewoehnliche Fichte;12,2;nicht Moor;;;;;;;;
80052;Gewoehnliche Fichte;8,2;nicht Moor;;;;;;;;
80053;Gewoehnliche Fichte;17,5;nicht Moor;;;;;;;;
80053;Gewoehnliche Fichte;15,4;nicht Moor;;;;;;;;
80053;Gewoehnliche Fichte;10,3;nicht Moor;;;;;;;;
80056;Gewoehnliche Fichte;11;nicht Moor;;;;;;;;
80056;Gewoehnliche Fichte;9,9;nicht Moor;;;;;;;;
80056;Gewoehnliche Fichte;8,2;nicht Moor;;;;;;;;
80057;Gewoehnliche Fichte;14,1;nicht Moor;;;;;;;;
80057;Gewoehnliche Fichte;9,9;nicht Moor;;;;;;;;
80057;Gewoehnliche Fichte;5,2;nicht Moor;;;;;;;;
80058;Gewoehnliche Fichte;11,3;nicht Moor;;;;;;;;
80058;Gewoehnliche Fichte;10,3;nicht Moor;;;;;;;;
80058;Gewoehnliche Fichte;4,8;nicht Moor;;;;;;;;
80059;Gewoehnliche Fichte;13,1;nicht Moor;;;;;;;;
80059;Gewoehnliche Fichte;10,8;nicht Moor;;;;;;;;
80059;Gewoehnliche Fichte;7,6;nicht Moor;;;;;;;;
80061;Gewoehnliche Fichte;12,7;nicht Moor;;;;;;;;
80061;Gewoehnliche Fichte;15,7;nicht Moor;;;;;;;;
80061;Gewoehnliche Fichte;11,5;nicht Moor;;;;;;;;
80063;Gewoehnliche Fichte;15,5;nicht Moor;;;;;;;;
80063;Gewoehnliche Fichte;12,6;nicht Moor;;;;;;;;
80063;Gewoehnliche Fichte;9,5;nicht Moor;;;;;;;;
80065;Gewoehnliche Fichte;15,6;nicht Moor;;;;;;;;
80065;Gewoehnliche Fichte;15,7;nicht Moor;;;;;;;;
80065;Gewoehnliche Fichte;7,9;nicht Moor;;;;;;;;
80066;Gewoehnliche Fichte;17,6;nicht Moor;;;;;;;;
80066;Gewoehnliche Fichte;11,9;nicht Moor;;;;;;;;
80066;Gewoehnliche Fichte;8,7;nicht Moor;;;;;;;;
80067;Gewoehnliche Fichte;13,4;nicht Moor;;;;;;;;
80067;Gewoehnliche Fichte;11;nicht Moor;;;;;;;;
80067;Gewoehnliche Fichte;7,9;nicht Moor;;;;;;;;
80072;Gewoehnliche Fichte;14;nicht Moor;;;;;;;;
80072;Gewoehnliche Fichte;13;nicht Moor;;;;;;;;
80072;Gewoehnliche Fichte;9,7;nicht Moor;;;;;;;;
80073;Gewoehnliche Fichte;17,2;nicht Moor;;;;;;;;
80073;Gewoehnliche Fichte;11,1;nicht Moor;;;;;;;;
80073;Gewoehnliche Fichte;8,7;nicht Moor;;;;;;;;
80075;Gewoehnliche Fichte;14,5;nicht Moor;;;;;;;;
80075;Gewoehnliche Fichte;11,1;nicht Moor;;;;;;;;
80075;Gewoehnliche Fichte;7,6;nicht Moor;;;;;;;;
80076;Gewoehnliche Fichte;15,5;nicht Moor;;;;;;;;
80076;Gewoehnliche Fichte;12,2;nicht Moor;;;;;;;;
80076;Gewoehnliche Fichte;7,9;nicht Moor;;;;;;;;
80077;Gewoehnliche Fichte;14,5;nicht Moor;;;;;;;;
80077;Gewoehnliche Fichte;13,2;nicht Moor;;;;;;;;
80077;Gewoehnliche Fichte;11,3;nicht Moor;;;;;;;;
80080;Gewoehnliche Fichte;14,9;nicht Moor;;;;;;;;
80080;Gewoehnliche Fichte;14,1;nicht Moor;;;;;;;;
80080;Gewoehnliche Fichte;9,9;nicht Moor;;;;;;;;
80081;Gewoehnliche Fichte;13,9;nicht Moor;;;;;;;;
80081;Gewoehnliche Fichte;10,6;nicht Moor;;;;;;;;
80081;Gewoehnliche Fichte;8,8;nicht Moor;;;;;;;;
80082;Gewoehnliche Fichte;17,2;nicht Moor;;;;;;;;
80082;Gewoehnliche Fichte;16;nicht Moor;;;;;;;;
80082;Gewoehnliche Fichte;9;nicht Moor;;;;;;;;
80086;Gewoehnliche Fichte;12,4;nicht Moor;;;;;;;;
80086;Gewoehnliche Fichte;10,3;nicht Moor;;;;;;;;
80086;Gewoehnliche Fichte;9;nicht Moor;;;;;;;;
80087;Gewoehnliche Fichte;13,8;nicht Moor;;;;;;;;
80087;Gewoehnliche Fichte;12,4;nicht Moor;;;;;;;;
80087;Gewoehnliche Fichte;11,3;nicht Moor;;;;;;;;
80089;Gewoehnliche Fichte;13,8;nicht Moor;;;;;;;;
80089;Gewoehnliche Fichte;11,4;nicht Moor;;;;;;;;
80089;Gewoehnliche Fichte;8,2;nicht Moor;;;;;;;;
80090;Gewoehnliche Fichte;15,9;nicht Moor;;;;;;;;
80090;Gewoehnliche Fichte;12,8;nicht Moor;;;;;;;;
80090;Gewoehnliche Fichte;8,9;nicht Moor;;;;;;;;
80091;Gewoehnliche Fichte;16,4;nicht Moor;;;;;;;;
80091;Gewoehnliche Fichte;14,3;nicht Moor;;;;;;;;
80091;Gewoehnliche Fichte;12,2;nicht Moor;;;;;;;;
80092;Gewoehnliche Fichte;16,9;nicht Moor;;;;;;;;
80092;Gewoehnliche Fichte;12,6;nicht Moor;;;;;;;;
80092;Gewoehnliche Fichte;11;nicht Moor;;;;;;;;
80094;Gewoehnliche Fichte;15,3;nicht Moor;;;;;;;;
80094;Gewoehnliche Fichte;12;nicht Moor;;;;;;;;
80094;Gewoehnliche Fichte;8,7;nicht Moor;;;;;;;;
80098;Gewoehnliche Fichte;18,1;nicht Moor;;;;;;;;
80098;Gewoehnliche Fichte;12,7;nicht Moor;;;;;;;;
80098;Gewoehnliche Fichte;8,5;nicht Moor;;;;;;;;
80099;Gewoehnliche Fichte;14,2;nicht Moor;;;;;;;;
80099;Gewoehnliche Fichte;10,9;nicht Moor;;;;;;;;
80099;Gewoehnliche Fichte;9;nicht Moor;;;;;;;;
80100;Gewoehnliche Fichte;18,3;nicht Moor;;;;;;;;
80100;Gewoehnliche Fichte;15,9;nicht Moor;;;;;;;;
80100;Gewoehnliche Fichte;10,9;nicht Moor;;;;;;;;
80101;Gewoehnliche Fichte;14;nicht Moor;;;;;;;;
80101;Gewoehnliche Fichte;13,5;nicht Moor;;;;;;;;
80101;Gewoehnliche Fichte;12,8;nicht Moor;;;;;;;;
80107;Gewoehnliche Fichte;17,2;nicht Moor;;;;;;;;
80107;Gewoehnliche Fichte;13,9;nicht Moor;;;;;;;;
80107;Gewoehnliche Fichte;9,4;nicht Moor;;;;;;;;
80111;Gewoehnliche Fichte;13,9;nicht Moor;;;;;;;;
80111;Gewoehnliche Fichte;12,2;nicht Moor;;;;;;;;
80111;Gewoehnliche Fichte;7,8;nicht Moor;;;;;;;;
80112;Gewoehnliche Fichte;16,4;nicht Moor;;;;;;;;
80112;Gewoehnliche Fichte;14,2;nicht Moor;;;;;;;;
80112;Gewoehnliche Fichte;10,5;nicht Moor;;;;;;;;
80113;Gewoehnliche Fichte;18;nicht Moor;;;;;;;;
80113;Gewoehnliche Fichte;12;nicht Moor;;;;;;;;
80113;Gewoehnliche Fichte;9,1;nicht Moor;;;;;;;;
80114;Gewoehnliche Fichte;18,8;nicht Moor;;;;;;;;
80114;Gewoehnliche Fichte;15,2;nicht Moor;;;;;;;;
80114;Gewoehnliche Fichte;7,3;nicht Moor;;;;;;;;
80117;Gewoehnliche Fichte;14,8;nicht Moor;;;;;;;;
80117;Gewoehnliche Fichte;11,7;nicht Moor;;;;;;;;
80117;Gewoehnliche Fichte;9,9;nicht Moor;;;;;;;;
80118;Gewoehnliche Fichte;17,4;nicht Moor;;;;;;;;
80118;Gewoehnliche Fichte;11,9;nicht Moor;;;;;;;;
80118;Gewoehnliche Fichte;10,1;nicht Moor;;;;;;;;
80119;Gewoehnliche Fichte;16,2;nicht Moor;;;;;;;;
80119;Gewoehnliche Fichte;10,2;nicht Moor;;;;;;;;
80119;Gewoehnliche Fichte;7,4;nicht Moor;;;;;;;;
80120;Gewoehnliche Fichte;14,2;nicht Moor;;;;;;;;
80120;Gewoehnliche Fichte;12;nicht Moor;;;;;;;;
80120;Gewoehnliche Fichte;7,4;nicht Moor;;;;;;;;
80121;Gewoehnliche Fichte;18,1;nicht Moor;;;;;;;;
80121;Gewoehnliche Fichte;13,1;nicht Moor;;;;;;;;
80121;Gewoehnliche Fichte;10,8;nicht Moor;;;;;;;;
80122;Gewoehnliche Fichte;12,3;nicht Moor;;;;;;;;
80122;Gewoehnliche Fichte;12,3;nicht Moor;;;;;;;;
80122;Gewoehnliche Fichte;10,2;nicht Moor;;;;;;;;
80127;Gewoehnliche Fichte;14,5;nicht Moor;;;;;;;;
80127;Gewoehnliche Fichte;11,7;nicht Moor;;;;;;;;
80127;Gewoehnliche Fichte;7,1;nicht Moor;;;;;;;;
80128;Gewoehnliche Fichte;15,4;nicht Moor;;;;;;;;
80128;Gewoehnliche Fichte;12,1;nicht Moor;;;;;;;;
80128;Gewoehnliche Fichte;8,3;nicht Moor;;;;;;;;
80129;Gewoehnliche Fichte;15,5;nicht Moor;;;;;;;;
80129;Gewoehnliche Fichte;13,4;nicht Moor;;;;;;;;
80129;Gewoehnliche Fichte;9,7;nicht Moor;;;;;;;;
80130;Gewoehnliche Fichte;14,3;nicht Moor;;;;;;;;
80130;Gewoehnliche Fichte;13,8;nicht Moor;;;;;;;;
80130;Gewoehnliche Fichte;10,1;nicht Moor;;;;;;;;
80131;Gewoehnliche Fichte;16,5;nicht Moor;;;;;;;;
80131;Gewoehnliche Fichte;13;nicht Moor;;;;;;;;
80131;Gewoehnliche Fichte;9,9;nicht Moor;;;;;;;;
80135;Gewoehnliche Fichte;13,8;nicht Moor;;;;;;;;
80135;Gewoehnliche Fichte;9,7;nicht Moor;;;;;;;;
80135;Gewoehnliche Fichte;7,9;nicht Moor;;;;;;;;
80137;Gewoehnliche Fichte;18,6;nicht Moor;;;;;;;;
80137;Gewoehnliche Fichte;12;nicht Moor;;;;;;;;
80137;Gewoehnliche Fichte;10,8;nicht Moor;;;;;;;;
80138;Gewoehnliche Fichte;14,6;nicht Moor;;;;;;;;
80138;Gewoehnliche Fichte;14,7;nicht Moor;;;;;;;;
80138;Gewoehnliche Fichte;11,8;nicht Moor;;;;;;;;
80139;Gewoehnliche Fichte;15,6;nicht Moor;;;;;;;;
80139;Gewoehnliche Fichte;12,7;nicht Moor;;;;;;;;
80139;Gewoehnliche Fichte;9,2;nicht Moor;;;;;;;;
80140;Gewoehnliche Fichte;16,9;nicht Moor;;;;;;;;
80140;Gewoehnliche Fichte;14,2;nicht Moor;;;;;;;;
80140;Gewoehnliche Fichte;11,5;nicht Moor;;;;;;;;
80141;Gewoehnliche Fichte;15,3;nicht Moor;;;;;;;;
80141;Gewoehnliche Fichte;13,6;nicht Moor;;;;;;;;
80141;Gewoehnliche Fichte;12,8;nicht Moor;;;;;;;;
80142;Gewoehnliche Fichte;17,1;nicht Moor;;;;;;;;
80142;Gewoehnliche Fichte;15,9;nicht Moor;;;;;;;;
80142;Gewoehnliche Fichte;12,3;nicht Moor;;;;;;;;
80143;Gewoehnliche Fichte;18,4;nicht Moor;;;;;;;;
80143;Gewoehnliche Fichte;14,9;nicht Moor;;;;;;;;
80143;Gewoehnliche Fichte;8,9;nicht Moor;;;;;;;;
80144;Gewoehnliche Fichte;16,3;nicht Moor;;;;;;;;
80144;Gewoehnliche Fichte;13,2;nicht Moor;;;;;;;;
80144;Gewoehnliche Fichte;8,1;nicht Moor;;;;;;;;
80145;Gewoehnliche Fichte;15,8;nicht Moor;;;;;;;;
80145;Gewoehnliche Fichte;15,6;nicht Moor;;;;;;;;
80145;Gewoehnliche Fichte;12,5;nicht Moor;;;;;;;;
80148;Gewoehnliche Fichte;18,1;nicht Moor;;;;;;;;
80148;Gewoehnliche Fichte;14,4;nicht Moor;;;;;;;;
80148;Gewoehnliche Fichte;12,2;nicht Moor;;;;;;;;
80149;Gewoehnliche Fichte;17,6;nicht Moor;;;;;;;;
80149;Gewoehnliche Fichte;15,5;nicht Moor;;;;;;;;
80149;Gewoehnliche Fichte;10,6;nicht Moor;;;;;;;;
80150;Gewoehnliche Fichte;16,6;nicht Moor;;;;;;;;
80150;Gewoehnliche Fichte;15,1;nicht Moor;;;;;;;;
80150;Gewoehnliche Fichte;11,2;nicht Moor;;;;;;;;
80151;Gewoehnliche Fichte;18,4;nicht Moor;;;;;;;;
80151;Gewoehnliche Fichte;14,5;nicht Moor;;;;;;;;
80151;Gewoehnliche Fichte;11,3;nicht Moor;;;;;;;;
80152;Gewoehnliche Fichte;13,9;nicht Moor;;;;;;;;
80152;Gewoehnliche Fichte;13,1;nicht Moor;;;;;;;;
80152;Gewoehnliche Fichte;11,5;nicht Moor;;;;;;;;
80153;Gewoehnliche Fichte;19,3;nicht Moor;;;;;;;;
80153;Gewoehnliche Fichte;15,3;nicht Moor;;;;;;;;
80153;Gewoehnliche Fichte;9,4;nicht Moor;;;;;;;;
80154;Gewoehnliche Fichte;14,5;nicht Moor;;;;;;;;
80154;Gewoehnliche Fichte;10,8;nicht Moor;;;;;;;;
80154;Gewoehnliche Fichte;8,6;nicht Moor;;;;;;;;
80155;Gewoehnliche Fichte;14,3;nicht Moor;;;;;;;;
80155;Gewoehnliche Fichte;11,8;nicht Moor;;;;;;;;
80155;Gewoehnliche Fichte;9,5;nicht Moor;;;;;;;;
80157;Gewoehnliche Fichte;14,8;nicht Moor;;;;;;;;
80157;Gewoehnliche Fichte;12;nicht Moor;;;;;;;;
80157;Gewoehnliche Fichte;9,5;nicht Moor;;;;;;;;
80158;Gewoehnliche Fichte;18,9;nicht Moor;;;;;;;;
80158;Gewoehnliche Fichte;13,7;nicht Moor;;;;;;;;
80158;Gewoehnliche Fichte;10,1;nicht Moor;;;;;;;;
80159;Gewoehnliche Fichte;21,5;nicht Moor;;;;;;;;
80159;Gewoehnliche Fichte;20;nicht Moor;;;;;;;;
80159;Gewoehnliche Fichte;11,8;nicht Moor;;;;;;;;
80160;Gewoehnliche Fichte;13,9;nicht Moor;;;;;;;;
80160;Gewoehnliche Fichte;13,5;nicht Moor;;;;;;;;
80160;Gewoehnliche Fichte;10,9;nicht Moor;;;;;;;;
80161;Gewoehnliche Fichte;12,6;nicht Moor;;;;;;;;
80161;Gewoehnliche Fichte;13,9;nicht Moor;;;;;;;;
80161;Gewoehnliche Fichte;10,8;nicht Moor;;;;;;;;
80163;Gewoehnliche Fichte;17,1;nicht Moor;;;;;;;;
80163;Gewoehnliche Fichte;12,7;nicht Moor;;;;;;;;
80163;Gewoehnliche Fichte;9,9;nicht Moor;;;;;;;;
80164;Gewoehnliche Fichte;17,8;nicht Moor;;;;;;;;
80164;Gewoehnliche Fichte;11,7;nicht Moor;;;;;;;;
80164;Gewoehnliche Fichte;9,3;nicht Moor;;;;;;;;
80167;Gewoehnliche Fichte;19,2;nicht Moor;;;;;;;;
80167;Gewoehnliche Fichte;13,7;nicht Moor;;;;;;;;
80167;Gewoehnliche Fichte;8,2;nicht Moor;;;;;;;;
80169;Gewoehnliche Fichte;18,7;nicht Moor;;;;;;;;
80169;Gewoehnliche Fichte;16,3;nicht Moor;;;;;;;;
80169;Gewoehnliche Fichte;11,4;nicht Moor;;;;;;;;
80171;Gewoehnliche Fichte;15,7;nicht Moor;;;;;;;;
80171;Gewoehnliche Fichte;15,6;nicht Moor;;;;;;;;
80171;Gewoehnliche Fichte;16,1;nicht Moor;;;;;;;;
80173;Gewoehnliche Fichte;21,1;nicht Moor;;;;;;;;
80173;Gewoehnliche Fichte;20,7;nicht Moor;;;;;;;;
80173;Gewoehnliche Fichte;11,4;nicht Moor;;;;;;;;
80196;Gewoehnliche Fichte;12,6;nicht Moor;;;;;;;;
80196;Gewoehnliche Fichte;11;nicht Moor;;;;;;;;
80196;Gewoehnliche Fichte;8,8;nicht Moor;;;;;;;;
80204;Gewoehnliche Fichte;15,1;nicht Moor;;;;;;;;
80204;Gewoehnliche Fichte;12,8;nicht Moor;;;;;;;;
80204;Gewoehnliche Fichte;12,2;nicht Moor;;;;;;;;
80204;Gewoehnliche Fichte;9,3;nicht Moor;;;;;;;;
80262;Gewoehnliche Fichte;17,8;nicht Moor;;;;;;;;
80262;Gewoehnliche Fichte;14,5;nicht Moor;;;;;;;;
80262;Gewoehnliche Fichte;11,6;nicht Moor;;;;;;;;
80262;Gewoehnliche Fichte;7,9;nicht Moor;;;;;;;;
80264;Gewoehnliche Fichte;14,7;nicht Moor;;;;;;;;
80264;Gewoehnliche Fichte;14,1;nicht Moor;;;;;;;;
80264;Gewoehnliche Fichte;12,9;nicht Moor;;;;;;;;
80264;Gewoehnliche Fichte;10,4;nicht Moor;;;;;;;;
80265;Gewoehnliche Kiefer;19,9;nicht Moor;;;;;;;;
80265;Gewoehnliche Kiefer;18,9;nicht Moor;;;;;;;;
80265;Gewoehnliche Kiefer;18,3;nicht Moor;;;;;;;;
80268;Gewoehnliche Fichte;15,6;nicht Moor;;;;;;;;
80268;Gewoehnliche Fichte;13,7;nicht Moor;;;;;;;;
80268;Gewoehnliche Fichte;12,3;nicht Moor;;;;;;;;
80268;Gewoehnliche Fichte;9,8;nicht Moor;;;;;;;;
80269;Gewoehnliche Fichte;15,2;nicht Moor;;;;;;;;
80269;Gewoehnliche Fichte;13,5;nicht Moor;;;;;;;;
80269;Gewoehnliche Fichte;12,8;nicht Moor;;;;;;;;
80269;Gewoehnliche Fichte;10,3;nicht Moor;;;;;;;;
80271;Gewoehnliche Fichte;13,5;nicht Moor;;;;;;;;
80271;Gewoehnliche Fichte;9,1;nicht Moor;;;;;;;;
80271;Gewoehnliche Fichte;8;nicht Moor;;;;;;;;
80271;Gewoehnliche Fichte;6,3;nicht Moor;;;;;;;;
80275;Gewoehnliche Fichte;14,3;nicht Moor;;;;;;;;
80275;Gewoehnliche Fichte;12,6;nicht Moor;;;;;;;;
80275;Gewoehnliche Fichte;11,1;nicht Moor;;;;;;;;
80275;Gewoehnliche Fichte;7,7;nicht Moor;;;;;;;;
80277;Gewoehnliche Fichte;17,7;nicht Moor;;;;;;;;
80277;Gewoehnliche Fichte;16;nicht Moor;;;;;;;;
80277;Gewoehnliche Fichte;13;nicht Moor;;;;;;;;
80277;Gewoehnliche Fichte;7,4;nicht Moor;;;;;;;;
80278;Gewoehnliche Fichte;15;nicht Moor;;;;;;;;
80278;Gewoehnliche Fichte;14,4;nicht Moor;;;;;;;;
80278;Gewoehnliche Fichte;12,8;nicht Moor;;;;;;;;
80278;Gewoehnliche Fichte;9,9;nicht Moor;;;;;;;;
80281;Gewoehnliche Fichte;12,2;nicht Moor;;;;;;;;
80281;Gewoehnliche Fichte;11,8;nicht Moor;;;;;;;;
80281;Gewoehnliche Fichte;11,3;nicht Moor;;;;;;;;
80281;Gewoehnliche Fichte;9,2;nicht Moor;;;;;;;;
80281;Gewoehnliche Kiefer;14,8;nicht Moor;;;;;;;;
80281;Gewoehnliche Kiefer;18,8;nicht Moor;;;;;;;;
80282;Gewoehnliche Fichte;16,5;nicht Moor;;;;;;;;
80282;Gewoehnliche Fichte;15,7;nicht Moor;;;;;;;;
80282;Gewoehnliche Fichte;13,7;nicht Moor;;;;;;;;
80282;Gewoehnliche Fichte;8,4;nicht Moor;;;;;;;;
80283;Gewoehnliche Fichte;14,7;nicht Moor;;;;;;;;
80283;Gewoehnliche Fichte;13,8;nicht Moor;;;;;;;;
80283;Gewoehnliche Fichte;11,4;nicht Moor;;;;;;;;
80283;Gewoehnliche Fichte;10,5;nicht Moor;;;;;;;;
80284;Gewoehnliche Fichte;24,2;nicht Moor;;;;;;;;
80284;Gewoehnliche Fichte;17,6;nicht Moor;;;;;;;;
80284;Gewoehnliche Fichte;11,9;nicht Moor;;;;;;;;
80284;Gewoehnliche Fichte;9,3;nicht Moor;;;;;;;;
80286;Gewoehnliche Fichte;11,8;nicht Moor;;;;;;;;
80286;Gewoehnliche Fichte;14,3;nicht Moor;;;;;;;;
80286;Gewoehnliche Fichte;12;nicht Moor;;;;;;;;
80286;Gewoehnliche Fichte;9,1;nicht Moor;;;;;;;;
80287;Gewoehnliche Fichte;17,5;nicht Moor;;;;;;;;
80287;Gewoehnliche Fichte;15,7;nicht Moor;;;;;;;;
80287;Gewoehnliche Fichte;15,2;nicht Moor;;;;;;;;
80287;Gewoehnliche Fichte;11,7;nicht Moor;;;;;;;;
80288;Gewoehnliche Fichte;16,3;nicht Moor;;;;;;;;
80288;Gewoehnliche Fichte;14,3;nicht Moor;;;;;;;;
80288;Gewoehnliche Fichte;14,9;nicht Moor;;;;;;;;
80288;Gewoehnliche Fichte;11,4;nicht Moor;;;;;;;;
80291;Gewoehnliche Fichte;13,9;nicht Moor;;;;;;;;
80291;Gewoehnliche Fichte;11,4;nicht Moor;;;;;;;;
80291;Gewoehnliche Fichte;12,7;nicht Moor;;;;;;;;
80291;Gewoehnliche Fichte;9,3;nicht Moor;;;;;;;;
80293;Gewoehnliche Fichte;16,6;nicht Moor;;;;;;;;
80293;Gewoehnliche Fichte;12,9;nicht Moor;;;;;;;;
80293;Gewoehnliche Fichte;12,5;nicht Moor;;;;;;;;
80293;Gewoehnliche Fichte;10,9;nicht Moor;;;;;;;;
